"","#wt","#mut","pvalue","p_adj"
"KRAS",302,81,6.90637127143147e-49,4.27228126850751e-45
"TP53",193,190,4.03659578110563e-20,1.24851907509597e-16
"BRAF",316,67,1.45344365327004e-18,2.99700081304282e-15
"CTNNB1",358,25,9.73974632078084e-13,1.50625176850876e-09
"NRAS",357,26,8.45839587909997e-12,1.04647273816225e-08
"PIK3CA",328,55,1.21081155150531e-11,1.24834670960197e-08
"DDX27",373,10,6.1241518425311e-06,0.0054120004711282
"DCAF8L2",367,16,7.39074239477567e-05,0.0571489155676029
"RBM39",373,10,8.42368916500407e-05,0.0578988235274613
"MMS22L",366,17,0.00020064274002277,0.123606502063307
"SCAP",363,20,0.000219798176963527,0.123606502063307
"ANKRD29",374,9,0.000245579036844139,0.126595993493154
"RNF20",368,15,0.000278379938111086,0.132466022858091
"TOP2A",374,9,0.000328440480263661,0.145123772207929
"SLC2A2",374,9,0.000411716012564214,0.169791683581482
"FBXW7",359,24,0.000650133914997599,0.246129166505646
"SKIV2L2",373,10,0.000676397644777883,0.246129166505646
"FCGRT",376,7,0.000727200689788488,0.24991463705731
"CCNK",374,9,0.000812281879072249,0.255123032773915
"MDM2",374,9,0.000824840067164291,0.255123032773915
"RNF40",367,16,0.00091116844224657,0.258580163994088
"DDX39B",377,6,0.000919619076603609,0.258580163994088
"TTK",369,14,0.000977582024726527,0.262927061085143
"PDE5A",370,13,0.00117249785913804,0.284636929415642
"WDR46",374,9,0.00122514774079863,0.284636929415642
"XRCC5",374,9,0.00127039514247274,0.284636929415642
"DLX5",376,7,0.00135387421707329,0.284636929415642
"WDR70",374,9,0.00137919367541665,0.284636929415642
"KCTD9",377,6,0.00137994710849723,0.284636929415642
"POLE2",369,14,0.00138039248019225,0.284636929415642
"TAF3",364,19,0.00144665800964266,0.288678272504822
"PPIL2",377,6,0.00158136803771711,0.302566758942823
"SORD",376,7,0.00168797909476679,0.302566758942823
"RRAS2",380,3,0.00170351693971831,0.302566758942823
"ATP5B",380,3,0.00174581841445184,0.302566758942823
"APC",336,47,0.00176081527997763,0.302566758942823
"SOX3",370,13,0.00208359413417499,0.348354413892067
"MYC",377,6,0.00218510318568152,0.350088496101428
"LRP1B",262,121,0.0022071534671768,0.350088496101428
"MED8",380,3,0.00242546068734167,0.375097495297389
"UBA3",376,7,0.00250285637204755,0.377626085792345
"TBL3",372,11,0.00257821792125405,0.379734668116132
"KIF2B",346,37,0.0027115534171023,0.384912045579627
"RASGEF1A",372,11,0.00278315207995694,0.384912045579627
"PRRX1",373,10,0.00293098077999712,0.384912045579627
"SREBF1",368,15,0.00303333816125384,0.384912045579627
"RNPC3",374,9,0.00303536217551294,0.384912045579627
"PRMT1",378,5,0.00304133752457381,0.384912045579627
"ARSG",363,20,0.0030489314958619,0.384912045579627
"AAMP",378,5,0.00322573708113615,0.390306198470138
"GLDC",365,18,0.00324115990875267,0.390306198470138
"TENC1",362,21,0.00328094444236133,0.390306198470138
"ERN2",366,17,0.00351281037227882,0.403914836895952
"FPR1",369,14,0.00353060957864459,0.403914836895952
"SLC38A6",373,10,0.00368992810716837,0.403914836895952
"LAMA5",312,71,0.00370627703632203,0.403914836895952
"KEAP1",352,31,0.00372181469496755,0.403914836895952
"EZH2",363,20,0.00385729980401571,0.411400975648986
"WDR82",381,2,0.00415112644742572,0.432337559551096
"RAB36",374,9,0.00419338079099026,0.432337559551096
"IDO2",375,8,0.0042735165607164,0.433376613845765
"IL1RL1",361,22,0.00437465148866473,0.436477324336774
"AIFM1",379,4,0.00452383493748743,0.44106636665982
"MAPKAPK2",371,12,0.00471262525554111,0.44106636665982
"NFE2L2",367,16,0.00485740037518275,0.44106636665982
"CCNI",379,4,0.0049833628183537,0.44106636665982
"SMAD4",365,18,0.00508988718338171,0.44106636665982
"CTSB",376,7,0.0051079199346983,0.44106636665982
"RFC5",376,7,0.0051210979799813,0.44106636665982
"RNF43",364,19,0.0051276661983186,0.44106636665982
"UBE2D3",381,2,0.0051294779625127,0.44106636665982
"GPR19",378,5,0.00520446258533667,0.44106636665982
"DDX46",373,10,0.00529143590501976,0.44106636665982
"NBEAL1",362,21,0.00534519971371506,0.44106636665982
"NSUN2",371,12,0.00540937014000612,0.44106636665982
"CDK4",379,4,0.00541885610509963,0.44106636665982
"UTY",377,6,0.00563210572797932,0.446641121271282
"POLD1",356,27,0.00564904138491788,0.446641121271282
"GGA2",377,6,0.00570395224384599,0.446641121271282
"OGDH",371,12,0.00581628526440365,0.448471296679717
"ABCA1",345,38,0.00587232056758116,0.448471296679717
"RNF19A",378,5,0.0060244488350943,0.454478542608455
"SERPINA1",377,6,0.00614100626125716,0.456731781288376
"DNA2",366,17,0.00620198345105457,0.456731781288376
"CDH1",371,12,0.00654973666520277,0.466974866286024
"KLF5",376,7,0.00655470437281783,0.466974866286024
"SH2D6",378,5,0.00656754176638928,0.466974866286024
"COPS8",381,2,0.00676758195244557,0.468622321994073
"BCL2L10",380,3,0.00683788568077044,0.468622321994073
"BTBD2",375,8,0.0068814220855244,0.468622321994073
"ATP5A1",378,5,0.00694632632763943,0.468622321994073
"DLD",372,11,0.00696948813828883,0.468622321994073
"KIF12",367,16,0.00718367385407398,0.47760949988083
"CD83",380,3,0.00725756433701876,0.47760949988083
"PYROXD1",374,9,0.00739146215661167,0.481300893692629
"FKBP10",371,12,0.00751108069286682,0.483995262146606
"GLUD2",370,13,0.0076520837199186,0.487128517955236
