"","#wt","#mut","pvalue","p_adj"
"ARID1A",326,57,0.000119738140780812,0.606593421195594
"ABCA10",374,9,0.00161800474361662,0.855312358087944
"CBX8",370,13,0.00178561560824109,0.855312358087944
"DNMBP",376,7,0.00197572134190771,0.855312358087944
"FGD5",379,4,0.00213350595362616,0.855312358087944
"KDM5B",373,10,0.00226100531500062,0.855312358087944
"CAPNS1",377,6,0.00253718354531751,0.855312358087944
"MMEL1",377,6,0.00266282765136039,0.855312358087944
"G2E3",377,6,0.00280710145383001,0.855312358087944
"PAN3",379,4,0.00290121196224191,0.855312358087944
"DNMT3A",376,7,0.00301517336114321,0.855312358087944
"ZFP36L2",373,10,0.00310275119221781,0.855312358087944
"ZCWPW2",378,5,0.00370401738813397,0.855312358087944
"RGPD3",380,3,0.0037479156732434,0.855312358087944
"GLYR1",372,11,0.00375661075334988,0.855312358087944
"AKAP13",376,7,0.00377312151029308,0.855312358087944
"WDR62",379,4,0.00442646923052603,0.855312358087944
"XPA",374,9,0.00448057143561797,0.855312358087944
"SULT1C3",380,3,0.00453813300509232,0.855312358087944
"PDPN",379,4,0.00478926188535955,0.855312358087944
"MAP4K3",369,14,0.00520591334174481,0.855312358087944
"BCL6",379,4,0.00589929424959523,0.855312358087944
"NCSTN",378,5,0.00590744192619752,0.855312358087944
"SREK1IP1",379,4,0.00601994454508514,0.855312358087944
"SLC5A1",381,2,0.00778358346213359,0.855312358087944
"RTN4RL2",381,2,0.00843494814586854,0.855312358087944
"TEAD2",367,16,0.00851061496868055,0.855312358087944
"CYP4B1",377,6,0.00865676362479617,0.855312358087944
"GBP2",380,3,0.00899293591782802,0.855312358087944
"HTR1F",380,3,0.0101458541480188,0.855312358087944
"CCNA2",381,2,0.0105256792420022,0.855312358087944
"RACGAP1",381,2,0.0105875717101811,0.855312358087944
"DHX29",376,7,0.0110634823270044,0.855312358087944
"HOXA5",381,2,0.0112622866602238,0.855312358087944
"TEAD1",381,2,0.0112794507447544,0.855312358087944
"POLK",379,4,0.0114772280889153,0.855312358087944
"NTRK1",380,3,0.0115891903900961,0.855312358087944
"CPN2",381,2,0.0117040555470576,0.855312358087944
"TLK2",379,4,0.0120027185091471,0.855312358087944
"WDR82",380,3,0.0122897703045801,0.855312358087944
"TRADD",381,2,0.0126130380078102,0.855312358087944
"SLTM",376,7,0.0126838503394467,0.855312358087944
"HECW1",378,5,0.0131249681308786,0.855312358087944
"ATP2B4",381,2,0.0131438024499017,0.855312358087944
"DGKG",379,4,0.0133582162194598,0.855312358087944
"CACNG1",381,2,0.0134409038658662,0.855312358087944
"SMARCAD1",378,5,0.0135542577330017,0.855312358087944
"NR1H2",376,7,0.0135673871980723,0.855312358087944
"TRPM1",376,7,0.0137136482996587,0.855312358087944
"LARP4B",371,12,0.0142153666571859,0.855312358087944
"ARNTL",378,5,0.0144738865333037,0.855312358087944
"CIITA",379,4,0.0145364780931634,0.855312358087944
"ITGA6",372,11,0.0146740454125428,0.855312358087944
"SMARCB1",378,5,0.0147512090837981,0.855312358087944
"EED",379,4,0.0148335534042969,0.855312358087944
"CDC42",381,2,0.0152213593617931,0.855312358087944
"LRP10",380,3,0.0153284509973666,0.855312358087944
"COL8A1",381,2,0.016024147484702,0.855312358087944
"SLC47A1",378,5,0.016074267269246,0.855312358087944
"PIK3R2",380,3,0.0162145347947936,0.855312358087944
"GNB1",381,2,0.0166594906977854,0.855312358087944
"CNST",381,2,0.0168866895002899,0.855312358087944
"VAX2",378,5,0.016897959054792,0.855312358087944
"IL20RA",380,3,0.0172303491930718,0.855312358087944
"CARD11",375,8,0.017291393180957,0.855312358087944
"ARPC1A",380,3,0.0174880698807368,0.855312358087944
"IGSF21",377,6,0.0177921753444423,0.855312358087944
"FCGR2A",381,2,0.0184327629158725,0.855312358087944
"HLA-G",378,5,0.0185231578369045,0.855312358087944
"ZC3HAV1",378,5,0.0186281738922263,0.855312358087944
"FABP1",381,2,0.0186475632720583,0.855312358087944
"LGALS9",377,6,0.0188755274269879,0.855312358087944
"MMP10",381,2,0.0189925137727557,0.855312358087944
"ELN",380,3,0.0192004466643542,0.855312358087944
"IRF9",381,2,0.0193329579266471,0.855312358087944
"OGDH",380,3,0.0195048694369804,0.855312358087944
"KLHL13",380,3,0.0197090617425362,0.855312358087944
"ABCC2",376,7,0.0199240802404389,0.855312358087944
"TCEA1",379,4,0.0199640325992259,0.855312358087944
"FLT4",374,9,0.0199647177498644,0.855312358087944
"CYP8B1",381,2,0.0200568714459528,0.855312358087944
"GLI2",378,5,0.0204095169726063,0.855312358087944
"HTR3A",381,2,0.0204496702042143,0.855312358087944
"WDR87",367,16,0.0205960253297044,0.855312358087944
"HS3ST4",381,2,0.0206965237005736,0.855312358087944
"GLIS3",380,3,0.0206995985321913,0.855312358087944
"SGCE",380,3,0.0209339425272915,0.855312358087944
"ABCD4",378,5,0.0209994781575737,0.855312358087944
"GTF2IRD2",381,2,0.0210730506540612,0.855312358087944
