"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"ARID1A","ARID1A",57,0.00016085744909633,326,"0.820967838561915",0.814903837122008
"RGPD3","RGPD3",3,0.000272728316338067,380,"0.18452728731039",1
"CCNA2","CCNA2",2,0.000282064074944133,381,"0.1402156442825",1
"ARL11","ARL11",1,0.000458248460620814,382,"0.0569923797993003",1
"FGD5","FGD5",4,0.000474747786158414,379,"0.402142092652339",1
"NFKBIA","NFKBIA",1,0.000610990167252634,382,"0.605158481061174",1
"CBX8","CBX8",13,0.000747147970756368,370,"0.259686762588039",1
"TEAD1","TEAD1",2,0.000872571278930145,381,"0.202392024740014",1
"RRAS","RRAS",1,0.00122195699377992,382,"0.877933299587122",1
"TRADD","TRADD",2,0.00131301933745176,381,"0.134230478026914",1
"DDX4","DDX4",1,0.00137469870041185,382,"0.25654283056454",1
"DNMT3A","DNMT3A",7,0.00154716023901147,376,"0.343107469009052",1
"WDR62","WDR62",4,0.00170854622633065,379,"0.302196791841198",1
"RTN4RL2","RTN4RL2",2,0.00176516442862895,381,"0.897540778730993",1
"ZCWPW2","ZCWPW2",5,0.00182062689964502,378,"0.381879915720886",1
"XPA","XPA",9,0.00184451852383383,374,"0.142403163241207",1
"ZFP36L2","ZFP36L2",10,0.00208573095066611,373,"0.467832672003475",1
"RACGAP1","RACGAP1",2,0.00223275979582349,381,"0.635413338145926",1
"HOXA5","HOXA5",2,0.00243622986605108,381,"0.548750241270386",1
"SULT1C3","SULT1C3",3,0.00245814323391391,380,"0.891979386054144",1
"G2E3","G2E3",6,0.00246521268416589,377,"0.797259200629209",1
"PROKR2","PROKR2",1,0.00274937406009823,382,"0.478343998274178",1
"PAN3","PAN3",4,0.00277696076557177,379,"0.967243420306087",1
"CPN2","CPN2",2,0.00302247666339539,381,"0.574476282963633",1
"DNMBP","DNMBP",7,0.00308107270676505,376,"0.973587305604011",1
"MMEL1","MMEL1",6,0.00335970982187572,377,"0.947605889871682",1
"ABCA10","ABCA10",9,0.0033721101100217,374,"0.985622992715114",1
"KDM5B","KDM5B",10,0.0033986577145857,373,"0.921573057135703",1
"SLC5A1","SLC5A1",2,0.00375679486356928,381,"0.995283598036554",1
"CAPNS1","CAPNS1",6,0.00383589958386588,377,"0.979182967167726",1
"AKAP13","AKAP13",7,0.0041877680678204,376,"0.846636157609639",1
"FABP5","FABP5",1,0.00420042027310041,382,"0.178824261807924",1
"SREK1IP1","SREK1IP1",4,0.00454495400683108,379,"0.70542534183686",1
"PDPN","PDPN",4,0.00488519164551171,379,"0.932740452760859",1
"ANKRD6","ANKRD6",1,0.00488775795294372,382,"0.0661391810652802",1
"GBP2","GBP2",3,0.00523356416535581,380,"0.527840792595016",1
"CDC42","CDC42",2,0.00557789114708795,381,"0.386932036377308",1
"COL8A1","COL8A1",2,0.00561891313700102,381,"0.288577020116397",1
"ZBTB26","ZBTB26",1,0.00603332075268237,382,"0.536061079164877",1
"TOP1","TOP1",1,0.00618606245931419,382,"0.218716131125818",1
"POLK","POLK",4,0.00621432219754725,379,"0.161411303548194",1
"GLYR1","GLYR1",11,0.00629310959121543,372,"0.931084017564626",1
"TLK2","TLK2",4,0.00663333103043184,379,"0.162515548549684",1
"BCL6","BCL6",4,0.0066462501258876,379,"0.942443928294254",1
"BUD31","BUD31",1,0.00687340013915738,382,"0.48514339761396",1
"CTSF","CTSF",1,0.00710251269910511,382,"0.895126517935151",1
"GNB1","GNB1",2,0.0071974390966465,381,"0.38171699703404",1
"FABP1","FABP1",2,0.00729858356009916,381,"0.182737300401296",1
"EED","EED",4,0.00734694802932523,379,"0.0647276036234528",1
"MAP4K3","MAP4K3",14,0.0075664841336156,369,"0.855700740725806",1
"CIITA","CIITA",4,0.0077503136557614,379,"0.098331991969298",1
"HS3ST4","HS3ST4",2,0.00798769746656236,381,"0.0949594013805819",1
"DGKG","DGKG",4,0.00869506140991916,379,"0.25984506036619",1
"SLTM","SLTM",7,0.00869590736509018,376,"0.293451976250388",1
"DCLRE1B","DCLRE1B",1,0.00870630061873934,382,"0.934574232775862",1
"CACNG1","CACNG1",2,0.00876846924563313,381,"0.90256461322149",1
"IRF9","IRF9",2,0.00898214030684463,381,"0.253657263967867",1
"IGSF21","IGSF21",6,0.0090297714008224,377,"0.0644368735358086",1
"ATP2B4","ATP2B4",2,0.00910539289254142,381,"0.93345066700375",1
"HTR1F","HTR1F",3,0.00919660230963759,380,"0.848370807116797",1
"GTPBP8","GTPBP8",1,0.00931726744526651,382,"0.379974229650597",1
"NTRK1","NTRK1",3,0.0095043741707096,380,"0.710289594772686",1
"CYP4B1","CYP4B1",6,0.0103574095182821,377,"0.855899988837916",1
"TRPM1","TRPM1",7,0.0104450812968022,376,"0.374870512546682",1
"CARD11","CARD11",8,0.0106789006287639,375,"0.184213111337705",1
"CASP9","CASP9",1,0.0109974262182166,382,"0.762958749276932",1
"PIK3R2","PIK3R2",3,0.0111591697669521,380,"0.324814706524092",1
"FCGR2A","FCGR2A",2,0.011261975100064,381,"0.559523607136065",1
"ARNTL","ARNTL",5,0.0115774260561673,378,"0.431329387868755",1
"OR52I1","OR52I1",1,0.0118375056046917,382,"0.263546645111086",1
"SLC47A1","SLC47A1",5,0.0118827552838617,378,"0.321926831287563",1
"CEACAM5","CEACAM5",2,0.0121958528278708,381,"0.0591857651743946",1
"NCSTN","NCSTN",5,0.0124472000314528,378,"0.998437558905758",1
"IL20RA","IL20RA",3,0.012591239951678,380,"0.361263528934403",1
"HECW1","HECW1",5,0.0127403368160771,378,"0.670127333094874",1
"ELN","ELN",3,0.012919174864185,380,"0.220250509664071",1
"DTL","DTL",1,0.0132131787041533,382,"0.0772899482074845",1
"ITGA6","ITGA6",11,0.0132289353178273,372,"0.526387748602819",1
"LRP10","LRP10",3,0.0134397263626718,380,"0.649318878099711",1
"VAX2","VAX2",5,0.0135354654652744,378,"0.398883330487677",1
"RNF213","RNF213",11,0.0138282851061993,372,"0.23029763145612",1
"SMARCAD1","SMARCAD1",5,0.0140978729378985,378,"0.735834037749359",1
"OGDH","OGDH",3,0.0142909870131219,380,"0.302905140355072",1
"NR1H2","NR1H2",7,0.0145145373416318,376,"0.710734458214888",1
"TEAD2","TEAD2",16,0.0147035858077783,367,"0.903533337598214",1
"TCEA1","TCEA1",4,0.0147380832918463,379,"0.269695904309907",1
"KLHL13","KLHL13",3,0.0148399065071899,380,"0.330318780825131",1
"ZC3HAV1","ZC3HAV1",5,0.0150169433277366,378,"0.385630830604563",1
"SMARCB1","SMARCB1",5,0.0156298528262677,378,"0.742711962326073",1
"TSSC1","TSSC1",1,0.0164961276569623,382,"0.422747323439494",1
"CYP8B1","CYP8B1",2,0.0170082558675477,381,"0.797136444299097",1
"CNST","CNST",2,0.0177342019787753,381,"0.973471005871205",1
"FLT4","FLT4",9,0.0179283633452112,374,"0.493398551202323",1
"HLA-G","HLA-G",5,0.0188436533167028,378,"0.667959824631299",1
"MPP5","MPP5",3,0.0190986739166586,380,"0.133826438998617",1
"CD83","CD83",1,0.0194745909362829,382,"0.363865958044661",1
"KCNA2","KCNA2",1,0.0194745909362829,382,"0.200280061804537",1
"SOCS1","SOCS1",1,0.0194745909362829,382,"0.923536828479457",1
"RBM23","RBM23",17,0.0194955050075283,366,"0.156286394176652",1
"CALD1","CALD1",3,0.0197823334665018,380,"0.547656403907959",1
