"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"KRAS","KRAS",7,9.47850057395229e-08,16,"1.97684951273236e-13",0.000183977696140414,NA,NA
"TNS3","TNS3",3,0.00148910313369771,20,"0.0274857410512159",1,NA,NA
"DCAF7","DCAF7",2,0.00161859632038834,21,"0.327848870245265",1,NA,NA
"TMEM207","TMEM207",3,0.0025320535916518,20,"0.179447021068656",1,NA,NA
"CAMK2B","CAMK2B",2,0.00308785256573417,21,"0.0265058337614681",1,NA,NA
"LRCH3","LRCH3",4,0.00581157416431088,19,"1.05856517334205e-06",1,NA,NA
"NOTCH4","NOTCH4",2,0.0059801447645907,21,"0.268832808663271",1,NA,NA
"CCND2","CCND2",2,0.00684452269350584,21,"0.460329670281512",1,NA,NA
"PCOLCE2","PCOLCE2",3,0.00795220133667064,20,"0.105911962774773",1,NA,NA
"GNA13","GNA13",2,0.00862745083576472,21,"0.205367941424553",1,NA,NA
"ACTB","ACTB",2,0.00998134962294547,21,"0.833717579351662",1,NA,NA
"PAQR9","PAQR9",3,0.0145170171162197,20,"0.692084940845529",1,NA,NA
"HEATR2","HEATR2",2,0.0164223767053427,21,"0.260832542286094",1,NA,NA
"DDX5","DDX5",2,0.0172911325398055,21,"0.202098061956382",1,NA,NA
"B4GALNT3","B4GALNT3",2,0.0173479878346044,21,"0.134959570488973",1,NA,NA
"USP13","USP13",2,0.0188589808600141,21,"0.0502389706688544",1,NA,NA
"HOXB6","HOXB6",3,0.0191979733676341,20,"0.00724077356486575",1,NA,NA
"CES1","CES1",5,0.0206648931156682,18,"0.539344620060732",1,NA,NA
"CA10","CA10",2,0.0212910057129481,21,"0.56921006434511",1,NA,NA
"IL1RAP","IL1RAP",3,0.0217141884807305,20,"0.160913670453971",1,NA,NA
"CHRD","CHRD",2,0.0219900668571147,21,"0.175176250853413",1,NA,NA
"KCNMB3","KCNMB3",2,0.0221665964765953,21,"0.0254302015799469",1,NA,NA
