"","#wt","#mut","pvalue","p_adj"
"ACTB",21,2,0.0108493289563777,0.928998302647566
"IL7R",21,2,0.0125000440979316,0.928998302647566
"ALKBH5",22,1,0.0149503190483232,0.928998302647566
"PKP3",21,2,0.0155819912709672,0.928998302647566
"PAQR9",20,3,0.0156485698120837,0.928998302647566
"WIPI1",21,2,0.0161307672954052,0.928998302647566
"EMID2",22,1,0.0166072411267987,0.928998302647566
"ATP6V1G2",21,2,0.0174371217699274,0.928998302647566
"DCAF7",21,2,0.0189506046136331,0.928998302647566
"NANOG",22,1,0.0207317240789478,0.928998302647566
"CCND2",21,2,0.0208074833340777,0.928998302647566
"OR2T29",17,6,0.0214120001067671,0.928998302647566
"NKX2-5",22,1,0.0217301089122863,0.928998302647566
"TMEM207",20,3,0.0226186362934873,0.928998302647566
"CIAO1",22,1,0.0237074127961509,0.928998302647566
"SMO",22,1,0.0253244507427427,0.928998302647566
"PSENEN",21,2,0.0253702777246797,0.928998302647566
"LCP2",22,1,0.0264713504202002,0.928998302647566
"CCNY",22,1,0.0274805596617322,0.928998302647566
"CCNB2",22,1,0.0279826825799054,0.928998302647566
"CA10",21,2,0.0281310736119699,0.928998302647566
"NOTCH4",21,2,0.028530329735915,0.928998302647566
"STC2",22,1,0.0294665620144583,0.928998302647566
"HLA-B",21,2,0.0310184321393713,0.928998302647566
"HEY2",22,1,0.031689987188398,0.928998302647566
"NTSR1",21,2,0.0321619365670935,0.928998302647566
"CES1",18,5,0.033698934115278,0.928998302647566
"LRCH4",22,1,0.0341509738769077,0.928998302647566
"ECHDC1",22,1,0.0353274597632807,0.928998302647566
"NFKBIZ",21,2,0.0357825246173403,0.928998302647566
"GNA13",21,2,0.0366831707046009,0.928998302647566
"SFXN1",22,1,0.0381746697290809,0.928998302647566
"TFAP2A",22,1,0.0382043307834563,0.928998302647566
"NRIP1",22,1,0.0382498591369297,0.928998302647566
"PDE6A",22,1,0.0386187683507968,0.928998302647566
"CD36",21,2,0.0390418515227366,0.928998302647566
"MED17",21,2,0.0391810221527232,0.928998302647566
"RSPO3",22,1,0.0393113903798874,0.928998302647566
"FANCC",22,1,0.0395894568409136,0.928998302647566
"LEP",22,1,0.0404611549323639,0.928998302647566
"RNF213",22,1,0.0408689811774113,0.928998302647566
"AATK",21,2,0.0409553907969132,0.928998302647566
"IKZF1",20,3,0.041070433573308,0.928998302647566
"TPP2",22,1,0.0413393494644387,0.928998302647566
"HEATR2",21,2,0.0420453715262414,0.928998302647566
"FLOT2",22,1,0.0421431382574536,0.928998302647566
"FOXK1",21,2,0.0425666449575666,0.928998302647566
"TNS3",20,3,0.0428420044288398,0.928998302647566
"RBM11",22,1,0.0432275840743452,0.928998302647566
"SOX7",22,1,0.0459705441851378,0.928998302647566
"TPCN2",22,1,0.0460729073596038,0.928998302647566
"SEMA3C",21,2,0.0467057145976302,0.928998302647566
"TRIO",22,1,0.046778928984993,0.928998302647566
"FKBP4",20,3,0.047294560472791,0.928998302647566
"PCOLCE2",20,3,0.0476083862730975,0.928998302647566
"PHC3",21,2,0.047783480368046,0.928998302647566
"MPP7",22,1,0.0481336362200158,0.928998302647566
"DDX5",21,2,0.048524496800467,0.928998302647566
"CYP27B1",22,1,0.0485468383464189,0.928998302647566
"WASL",22,1,0.0488222344695619,0.928998302647566
"ANKRD33B",22,1,0.0500230744034498,0.928998302647566
"SPTY2D1",22,1,0.051121287944665,0.928998302647566
"ATP2A2",22,1,0.0513973657746178,0.928998302647566
"GTF2E1",22,1,0.0521173076207695,0.928998302647566
"TXNDC11",22,1,0.0528830899453167,0.928998302647566
"RBPMS2",22,1,0.0532953265039412,0.928998302647566
"ARNTL",22,1,0.0535119532854783,0.928998302647566
"ADRB3",22,1,0.0537015313637468,0.928998302647566
"WIPI2",21,2,0.0539144325693381,0.928998302647566
"DOCK9",22,1,0.054054397696786,0.928998302647566
"PHLDA2",22,1,0.0541865575394322,0.928998302647566
"CD300LF",22,1,0.0547893324548961,0.928998302647566
"OR51B5",22,1,0.0554693849030205,0.928998302647566
"CAMK2B",21,2,0.0563600867066994,0.928998302647566
"CAPRIN2",21,2,0.056802626991974,0.928998302647566
"SMARCD2",21,2,0.0571001065021718,0.928998302647566
"B4GALNT3",21,2,0.0571377741710356,0.928998302647566
"WBP2",22,1,0.0571538292559793,0.928998302647566
"PHF20L1",21,2,0.0574176678891975,0.928998302647566
"CHRD",21,2,0.0577063091536271,0.928998302647566
"PSPC1",22,1,0.0595977647683591,0.928998302647566
"CHN2",22,1,0.0598907674582067,0.928998302647566
"THOC6",22,1,0.0602134889955903,0.928998302647566
"ATP11A",22,1,0.0604857452248665,0.928998302647566
