"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"KRAS","KRAS",22,7.09811022450854e-15,1,"0.84672367405424",9.0571886464729e-12,NA,NA
"TP53","TP53",16,1.63188002704281e-05,7,"0.330073991622197",0.0208064703447958,NA,NA
"LRRC7","LRRC7",2,4.12974917341718e-05,21,"0.136801090252586",0.0526130044693349,NA,NA
"KDM4A","KDM4A",3,0.00101999055935829,20,"0.176442298878269",1,NA,NA
"TNS1","TNS1",2,0.0053622253470109,21,"0.890038060236666",1,NA,NA
"RRP9","RRP9",2,0.00719743909664646,21,"0.104651621048543",1,NA,NA
"PRDM7","PRDM7",2,0.00849763832457185,21,"0.837904547328923",1,NA,NA
"EFNB3","EFNB3",2,0.0146340055762576,21,"0.0559287110016959",1,NA,NA
"HNRNPA1","HNRNPA1",2,0.0169098002041913,21,"0.0728374325570148",1,NA,NA
"FCGBP","FCGBP",2,0.0225379843731113,21,"0.660066933252679",1,NA,NA
"PHKB","PHKB",2,0.0239539891215004,21,"0.000906099687194861",1,NA,NA
"NCAM1","NCAM1",3,0.0253892079126012,20,"0.748079543750326",1,NA,NA
"IL1RL1","IL1RL1",2,0.0292312427383453,21,"0.151554715380462",1,NA,NA
"MINA","MINA",2,0.0308408633969473,21,"0.0631193485587396",1,NA,NA
"PBX1","PBX1",2,0.0409879608842221,21,"0.267927932885714",1,NA,NA
"NRCAM","NRCAM",3,0.0588710586956677,20,"0.51243895794057",1,NA,NA
"ABCA13","ABCA13",3,0.0590047262963257,20,"0.675981327130698",1,NA,NA
"KLF5","KLF5",2,0.0595802440334987,21,"0.441283653351928",1,NA,NA
"MAP1B","MAP1B",2,0.0711635026029846,21,"0.12991269463243",1,NA,NA
"DMGDH","DMGDH",2,0.0723823774287611,21,"0.00834344325833421",1,NA,NA
"EPHA7","EPHA7",2,0.0741363292187374,21,"0.8318224838059",1,NA,NA
"SEMA4D","SEMA4D",2,0.0767860095742399,21,"0.000654975149087484",1,NA,NA
"DUSP19","DUSP19",2,0.0787948699545914,21,"0.930825176241947",1,NA,NA
"DDX46","DDX46",2,0.0886342087161923,21,"0.319918307520881",1,NA,NA
"ATP8B2","ATP8B2",2,0.0897308368479562,21,"0.975727944978095",1,NA,NA
"OBSCN","OBSCN",4,0.101399453090084,19,"0.41873048421115",1,NA,NA
"ITIH3","ITIH3",2,0.101859219068123,21,"0.0439829676967658",1,NA,NA
"KIF4B","KIF4B",4,0.103145769784125,19,"0.60344992900645",1,NA,NA
"ARL13B","ARL13B",2,0.104329920475524,21,"0.0666184486831003",1,NA,NA
"SYT4","SYT4",2,0.106473463842247,21,"0.901406061106587",1,NA,NA
"DCAF6","DCAF6",2,0.107838883987779,21,"0.584691651919983",1,NA,NA
"HIST1H1D","HIST1H1D",2,0.114354037264949,21,"0.72335412945129",1,NA,NA
"TEP1","TEP1",3,0.117155353936317,20,"0.430468822626357",1,NA,NA
"GLI3","GLI3",2,0.119449771014042,21,"0.707770070598002",1,NA,NA
"ATP10A","ATP10A",3,0.123596652443566,20,"0.0733694107647064",1,NA,NA
"TMEM97","TMEM97",2,0.12461844901132,21,"0.963884276156137",1,NA,NA
"COL5A1","COL5A1",2,0.132596386443695,21,"0.848356825305384",1,NA,NA
"PLXDC2","PLXDC2",2,0.134174196443836,21,"0.0103961031791766",1,NA,NA
"PXDN","PXDN",2,0.135522672238059,21,"0.0345098786125297",1,NA,NA
"ABCA1","ABCA1",3,0.141888474609551,20,"0.809418559706915",1,NA,NA
"ASAP1","ASAP1",2,0.164843361719905,21,"0.723413604483957",1,NA,NA
"BCLAF1","BCLAF1",2,0.166939087274384,21,"0.0755577986879205",1,NA,NA
"NPBWR1","NPBWR1",2,0.167690118878021,21,"0.827870992093966",1,NA,NA
"TERF2IP","TERF2IP",2,0.168861990429641,21,"0.0402180898202021",1,NA,NA
"CPS1","CPS1",2,0.195754279471014,21,"0.894506310748524",1,NA,NA
"SLC9C2","SLC9C2",2,0.201501950736027,21,"0.180485217878946",1,NA,NA
"HTR7","HTR7",2,0.205777959706168,21,"0.43108102398623",1,NA,NA
"RGPD4","RGPD4",2,0.206113979586886,21,"0.0862958617258016",1,NA,NA
"DUSP26","DUSP26",2,0.207735273819771,21,"0.976892740450691",1,NA,NA
"CIT","CIT",3,0.209929278342399,20,"0.534892574513047",1,NA,NA
"NIM1","NIM1",2,0.213990480165309,21,"0.999996916272915",1,NA,NA
"GABBR1","GABBR1",2,0.221594738048536,21,"0.908976102596881",1,NA,NA
"KIF3C","KIF3C",2,0.226348263856383,21,"0.0721248669359193",1,NA,NA
"UNC45B","UNC45B",2,0.227789313184069,21,"0.38909279690413",1,NA,NA
"NPFFR1","NPFFR1",2,0.23266056523779,21,"0.556238114985675",1,NA,NA
"CACNA1A","CACNA1A",3,0.23448169592279,20,"0.608173850384945",1,NA,NA
"MMS22L","MMS22L",2,0.234853739753524,21,"0.201447214575641",1,NA,NA
"SLIT2","SLIT2",2,0.240483094209196,21,"0.0810791008108336",1,NA,NA
"SPAG4","SPAG4",2,0.261495457372821,21,"0.913109269874707",1,NA,NA
"UTRN","UTRN",3,0.263004645115479,20,"0.606645791002935",1,NA,NA
"THBS2","THBS2",2,0.264321238258753,21,"0.845023987806403",1,NA,NA
"MERTK","MERTK",2,0.270612881879369,21,"0.35735173868659",1,NA,NA
"TNS3","TNS3",2,0.276374046250697,21,"0.00399214360583124",1,NA,NA
"ATP8B4","ATP8B4",2,0.279962726936407,21,"0.33889414648789",1,NA,NA
"ATP2C2","ATP2C2",3,0.283204051368164,20,"0.00645639768357927",1,NA,NA
"MSR1","MSR1",2,0.284668382401897,21,"0.138774660333124",1,NA,NA
"SEPT9","SEPT9",2,0.289036964159918,21,"0.222478692629273",1,NA,NA
"PARP9","PARP9",2,0.291217264825987,21,"0.891272922466612",1,NA,NA
"SLC25A15","SLC25A15",2,0.294255931291346,21,"0.0203497776666635",1,NA,NA
"CNGA3","CNGA3",2,0.29678746193919,21,"0.721945808670381",1,NA,NA
"RNF40","RNF40",3,0.297282465214241,20,"0.383734805235131",1,NA,NA
"NRK","NRK",3,0.297487645116901,20,"0.0245047125756069",1,NA,NA
"TMEM189-UBE2V1","TMEM189-UBE2V1",2,0.298430347377279,21,"0.539940839459706",1,NA,NA
"DSTYK","DSTYK",2,0.298666400624403,21,"0.292867974209758",1,NA,NA
"LTBP4","LTBP4",3,0.300262660794766,20,"0.458384597800533",1,NA,NA
"FKBP6","FKBP6",2,0.301810151065072,21,"0.414187814918506",1,NA,NA
"ST18","ST18",3,0.313543487199429,20,"0.349475512400192",1,NA,NA
"TMTC4","TMTC4",4,0.31567114578117,19,"0.101115182958499",1,NA,NA
"ARAP3","ARAP3",2,0.318096629745943,21,"0.208367644841473",1,NA,NA
"KAT6A","KAT6A",2,0.322620287627114,21,"0.695078224140679",1,NA,NA
"ALG8","ALG8",2,0.322681636858043,21,"0.0586845596923081",1,NA,NA
"BAZ1A","BAZ1A",2,0.324094278941409,21,"0.96578003904194",1,NA,NA
"SLITRK2","SLITRK2",2,0.325694893994932,21,"0.615108861228029",1,NA,NA
"PLXNB1","PLXNB1",2,0.330210004333184,21,"0.849495036608268",1,NA,NA
"BMP2K","BMP2K",2,0.338453227260873,21,"0.303627436359459",1,NA,NA
"ZFHX3","ZFHX3",3,0.350934951213756,20,"0.230689845026809",1,NA,NA
"TG","TG",3,0.353849294199131,20,"0.575559929668881",1,NA,NA
"MYLK3","MYLK3",2,0.356920229356156,21,"0.0976134407334394",1,NA,NA
"LRRCC1","LRRCC1",2,0.363271690105584,21,"0.64756209620435",1,NA,NA
"CFTR","CFTR",2,0.374752908317597,21,"0.110600117210146",1,NA,NA
"ITGB4","ITGB4",2,0.387286033837274,21,"0.828823790000504",1,NA,NA
"NAV2","NAV2",3,0.388554322174125,20,"0.104321408031259",1,NA,NA
"CPEB4","CPEB4",2,0.392817175716918,21,"0.0682585989213191",1,NA,NA
"PKHD1L1","PKHD1L1",3,0.393834607346372,20,"0.423723332211087",1,NA,NA
"PRKAG3","PRKAG3",2,0.393968783917537,21,"0.867633735763571",1,NA,NA
"TENM4","TENM4",4,0.395182826282887,19,"0.677513895960164",1,NA,NA
"TTBK2","TTBK2",2,0.39941074675441,21,"0.432770096008094",1,NA,NA
"GABRA5","GABRA5",2,0.404157943529829,21,"0.601752003482048",1,NA,NA
"BMPR2","BMPR2",2,0.405027498175268,21,"0.814940730202968",1,NA,NA
"CDC23","CDC23",2,0.416378654352951,21,"0.438959280067667",1,NA,NA
"DGKI","DGKI",2,0.418999586023892,21,"0.936074671890535",1,NA,NA
"MIB1","MIB1",2,0.428876341523009,21,"0.74601216535463",1,NA,NA
"ZHX2","ZHX2",2,0.429159311458341,21,"0.422483399818652",1,NA,NA
"DOPEY1","DOPEY1",3,0.42993739602769,20,"0.306595404595458",1,NA,NA
"CYP2U1","CYP2U1",3,0.430843238382597,20,"0.152912183287362",1,NA,NA
"OS9","OS9",2,0.431103222371255,21,"0.787241746349656",1,NA,NA
"MFI2","MFI2",2,0.43476708955612,21,"0.202656723458689",1,NA,NA
"ABCF2","ABCF2",2,0.435194484042765,21,"0.00027084630891238",1,NA,NA
"BTN3A2","BTN3A2",2,0.436406575343424,21,"0.0801670921693055",1,NA,NA
"LRIT3","LRIT3",2,0.436692018261824,21,"0.713169827284482",1,NA,NA
"YME1L1","YME1L1",2,0.439551580052192,21,"0.93552323299769",1,NA,NA
"CTNND1","CTNND1",2,0.450938081202336,21,"0.53029852025421",1,NA,NA
"MCM3","MCM3",3,0.45317077014233,20,"0.0614092488359254",1,NA,NA
"COL19A1","COL19A1",2,0.457343061002514,21,"0.340616245631332",1,NA,NA
"TCL1A","TCL1A",2,0.459683342980108,21,"0.492329264463294",1,NA,NA
"LYST","LYST",3,0.460812197730072,20,"0.563935371528732",1,NA,NA
"DDI1","DDI1",2,0.46799524652902,21,"0.302847507568441",1,NA,NA
"BPTF","BPTF",2,0.474594218439692,21,"0.29744333669996",1,NA,NA
"VCAN","VCAN",4,0.479592989293015,19,"0.17182791956173",1,NA,NA
"RPTOR","RPTOR",2,0.479978534256257,21,"0.741294724763893",1,NA,NA
"RNF213","RNF213",2,0.489894262119234,21,"0.733191540508894",1,NA,NA
"ANK3","ANK3",3,0.492496897453433,20,"0.630564821430478",1,NA,NA
"SETDB2","SETDB2",2,0.496569217014361,21,"0.0431263685631203",1,NA,NA
"GREB1","GREB1",2,0.502517062359235,21,"0.545477813149713",1,NA,NA
"PCSK7","PCSK7",2,0.508971154775899,21,"4.36688415934798e-05",1,NA,NA
"MC5R","MC5R",2,0.509046834477108,21,"0.536530434196973",1,NA,NA
"WDFY4","WDFY4",3,0.509069591400648,20,"0.930348923481716",1,NA,NA
"FES","FES",2,0.512459607298544,21,"0.964102835165017",1,NA,NA
"DNAH5","DNAH5",3,0.522958960104572,20,"0.286103540150389",1,NA,NA
"CSMD3","CSMD3",3,0.544663495519033,20,"0.981530881000708",1,NA,NA
"FIGN","FIGN",2,0.545830853638387,21,"0.79567350589123",1,NA,NA
"KIF24","KIF24",2,0.54688347723799,21,"0.860203996765029",1,NA,NA
"COL4A5","COL4A5",2,0.556285479366208,21,"0.399311206198944",1,NA,NA
"PCNXL4","PCNXL4",2,0.560448419947808,21,"0.915352714472201",1,NA,NA
"TRIP11","TRIP11",2,0.561235729725063,21,"0.599960835604552",1,NA,NA
"EP400","EP400",2,0.561807875383426,21,"0.731114921258244",1,NA,NA
"KCNQ2","KCNQ2",2,0.562165276863418,21,"0.0196078653346625",1,NA,NA
"RAPGEF4","RAPGEF4",2,0.570840688541659,21,"0.0836291999287458",1,NA,NA
"NOTCH3","NOTCH3",2,0.573379686809025,21,"0.00191267256190557",1,NA,NA
"ANKHD1","ANKHD1",2,0.576720824733205,21,"0.695424157930766",1,NA,NA
"GJA4","GJA4",2,0.578377994280663,21,"0.701796886250299",1,NA,NA
"ARHGAP29","ARHGAP29",2,0.591114134778137,21,"0.602748866701081",1,NA,NA
"SPEG","SPEG",3,0.595038921380408,20,"0.234151032670557",1,NA,NA
"HS3ST1","HS3ST1",2,0.600316175242531,21,"0.533306916993317",1,NA,NA
"WNK4","WNK4",2,0.600427232031778,21,"0.617763991236443",1,NA,NA
"PFKL","PFKL",2,0.600465620537604,21,"0.402724287509849",1,NA,NA
"ZNF350","ZNF350",2,0.600862237928533,21,"0.814823491883173",1,NA,NA
"BMP4","BMP4",2,0.607105793547205,21,"0.922292321297406",1,NA,NA
"TTF2","TTF2",2,0.612869098538956,21,"0.492764707113041",1,NA,NA
"PTPRZ1","PTPRZ1",2,0.613356023395552,21,"0.385930581593061",1,NA,NA
"CACNA2D1","CACNA2D1",3,0.616616279938745,20,"0.224327336073834",1,NA,NA
"CSMD1","CSMD1",2,0.621801106241696,21,"0.126349450745999",1,NA,NA
"WDR6","WDR6",2,0.621801106241696,21,"0.511659652892009",1,NA,NA
"NOMO2","NOMO2",2,0.624484159946008,21,"0.891817846684554",1,NA,NA
"FN1","FN1",3,0.627560300171475,20,"0.73093457224562",1,NA,NA
"SRGAP2","SRGAP2",2,0.628150607261563,21,"0.792001146307435",1,NA,NA
"MYO9A","MYO9A",2,0.629006303193294,21,"0.845001914513558",1,NA,NA
"ATP1A4","ATP1A4",2,0.637053720072217,21,"0.982820863376809",1,NA,NA
"DGKD","DGKD",2,0.644111424580825,21,"0.363827246433022",1,NA,NA
"CHUK","CHUK",2,0.644948543977008,21,"0.674342504921184",1,NA,NA
"SORL1","SORL1",2,0.645141585395954,21,"0.230732396918981",1,NA,NA
"LRP1B","LRP1B",6,0.650824333137704,17,"0.999552343366721",1,NA,NA
"SQLE","SQLE",2,0.658622197440374,21,"0.9504919966656",1,NA,NA
"CCKBR","CCKBR",2,0.660141158852658,21,"0.920897259383287",1,NA,NA
"CCNB3","CCNB3",2,0.667489645932189,21,"0.31817970371702",1,NA,NA
"CDC42BPG","CDC42BPG",2,0.672515153174694,21,"0.908743974086227",1,NA,NA
"CHD7","CHD7",4,0.673209441975815,19,"0.916003073218678",1,NA,NA
"RAPSN","RAPSN",2,0.698078403984653,21,"0.866158493364127",1,NA,NA
"IL6R","IL6R",2,0.698375059901779,21,"0.941285090072129",1,NA,NA
"TIAM1","TIAM1",2,0.703866281224862,21,"0.250039953740669",1,NA,NA
"PDE3A","PDE3A",2,0.706505213865578,21,"0.895649819577854",1,NA,NA
"ARID5B","ARID5B",3,0.707524092472831,20,"0.730812994038418",1,NA,NA
"NCOA3","NCOA3",2,0.716252873838117,21,"0.974771129564373",1,NA,NA
"FER1L6","FER1L6",2,0.716942836156912,21,"0.910107173277835",1,NA,NA
"FGD6","FGD6",2,0.718345303314455,21,"0.955021557576115",1,NA,NA
"ADAP1","ADAP1",2,0.722471027825932,21,"0.0485715732303779",1,NA,NA
"PLEKHG4B","PLEKHG4B",2,0.724817036373157,21,"0.541022843343458",1,NA,NA
"SCRT1","SCRT1",2,0.72579800994863,21,"0.838696150332767",1,NA,NA
"NIN","NIN",2,0.728431138045221,21,"0.953113755832606",1,NA,NA
"TDRD1","TDRD1",2,0.733918932788127,21,"0.282595177438293",1,NA,NA
"TBC1D17","TBC1D17",2,0.738964585546278,21,"0.0144972057957097",1,NA,NA
"BDP1","BDP1",3,0.741014560905963,20,"0.998501221013387",1,NA,NA
"HERC1","HERC1",2,0.741606571515228,21,"0.478824844317534",1,NA,NA
"CBWD3","CBWD3",2,0.749614059135174,21,"0.00134234054829876",1,NA,NA
"SLC1A3","SLC1A3",2,0.756624997286211,21,"0.951422885079622",1,NA,NA
"GPR158","GPR158",2,0.758659123341482,21,"0.10362302294206",1,NA,NA
"NTRK3","NTRK3",2,0.782453955459754,21,"0.253690127575372",1,NA,NA
"SAFB","SAFB",2,0.784564576668066,21,"0.677394031894365",1,NA,NA
"MET","MET",2,0.785816014091061,21,"0.33555521029758",1,NA,NA
"FGL2","FGL2",2,0.786601679839826,21,"0.880340996272955",1,NA,NA
"PRSS23","PRSS23",2,0.788932876824098,21,"0.818057761441121",1,NA,NA
"ACACB","ACACB",2,0.793248086971555,21,"0.962748081979221",1,NA,NA
"CLSPN","CLSPN",2,0.797255474670727,21,"0.595437153681238",1,NA,NA
"ANKRD36","ANKRD36",2,0.799776424463772,21,"0.998491637591914",1,NA,NA
"TTN","TTN",16,0.800030856334964,7,"0.791671469537604",1,NA,NA
"PLEKHH2","PLEKHH2",2,0.803918952873515,21,"0.667504994722536",1,NA,NA
"ARHGEF11","ARHGEF11",3,0.805662356539954,20,"0.0482268399540111",1,NA,NA
"HCAR1","HCAR1",2,0.808144541938463,21,"0.719111658718347",1,NA,NA
"PER2","PER2",2,0.812285015809142,21,"0.964857523625415",1,NA,NA
"CELSR1","CELSR1",2,0.816889060310424,21,"0.592744150299369",1,NA,NA
"ERCC2","ERCC2",2,0.81827293940931,21,"0.907209509004327",1,NA,NA
"PTN","PTN",2,0.823075178360376,21,"0.257082331815838",1,NA,NA
"MEIS2","MEIS2",2,0.828216230605132,21,"0.735472036951366",1,NA,NA
"MYOM2","MYOM2",2,0.832177171157885,21,"0.965631532201693",1,NA,NA
"AATK","AATK",2,0.833105038562677,21,"0.574392485030064",1,NA,NA
"NOS1","NOS1",2,0.834002574772692,21,"0.00569169848063062",1,NA,NA
"GPR101","GPR101",2,0.83681887754128,21,"0.389495179686336",1,NA,NA
"FAT3","FAT3",5,0.838046395305208,18,"0.988851859141582",1,NA,NA
"DPP6","DPP6",2,0.838444629382274,21,"0.859434979586712",1,NA,NA
"PAPL","PAPL",2,0.841124923308663,21,"0.999740380586835",1,NA,NA
"MTRR","MTRR",2,0.85128888457438,21,"0.498082948348078",1,NA,NA
"ARHGEF5","ARHGEF5",2,0.8564071106551,21,"0.995792139703411",1,NA,NA
"PTPN4","PTPN4",2,0.866765911033893,21,"0.974854809025423",1,NA,NA
"IRF1","IRF1",2,0.867600183649258,21,"0.844187786315103",1,NA,NA
"BAZ2B","BAZ2B",3,0.869999819377859,20,"0.954375207383743",1,NA,NA
"KCNN2","KCNN2",2,0.871345144809303,21,"0.807781188802003",1,NA,NA
"ATP1A2","ATP1A2",2,0.871887835085968,21,"0.0210771796807994",1,NA,NA
"PAPPA2","PAPPA2",3,0.878301927868053,20,"0.378822640883226",1,NA,NA
"ALDH4A1","ALDH4A1",2,0.879617003315249,21,"0.792319444129318",1,NA,NA
"PLXND1","PLXND1",3,0.879659257434875,20,"0.710589455101387",1,NA,NA
"UBR5","UBR5",2,0.879877379222004,21,"0.935440974108275",1,NA,NA
"NCOA1","NCOA1",2,0.885059899994962,21,"0.664959614487157",1,NA,NA
"LRRK2","LRRK2",2,0.885097459119814,21,"0.714643611735027",1,NA,NA
"STK11IP","STK11IP",2,0.885728717223361,21,"0.0742808662050852",1,NA,NA
"PPP1R12B","PPP1R12B",2,0.893073342170602,21,"0.930436005630969",1,NA,NA
"PLEKHG2","PLEKHG2",2,0.895014848357776,21,"0.75352834241888",1,NA,NA
"WDTC1","WDTC1",3,0.905507646006778,20,"0.290129212309213",1,NA,NA
"SIGLEC1","SIGLEC1",2,0.906543030502732,21,"0.291431526972887",1,NA,NA
"TET3","TET3",2,0.907294506388983,21,"0.909688040571029",1,NA,NA
"PRPF4","PRPF4",2,0.909198340952112,21,"2.60892103881106e-05",1,NA,NA
"ARHGEF19","ARHGEF19",2,0.913220948732216,21,"0.985519446683202",1,NA,NA
"RNF17","RNF17",2,0.917611473249511,21,"0.623757500487071",1,NA,NA
"SETD1B","SETD1B",2,0.918761075927943,21,"0.220494519174839",1,NA,NA
"GPR98","GPR98",5,0.920199184575779,18,"0.885333225007015",1,NA,NA
"ETV1","ETV1",2,0.924665689649932,21,"0.887872946045879",1,NA,NA
"COBLL1","COBLL1",4,0.929105648427484,19,"0.774265857457594",1,NA,NA
"NCOA2","NCOA2",3,0.940516237926,20,"0.889342589188264",1,NA,NA
"CLOCK","CLOCK",2,0.943284392287723,21,"0.186666803904859",1,NA,NA
"ALCAM","ALCAM",2,0.944864812350943,21,"0.965969585792873",1,NA,NA
"SPEN","SPEN",2,0.94811538872588,21,"0.96994868756465",1,NA,NA
"ZFHX4","ZFHX4",4,0.951138253245828,19,"0.516789836058483",1,NA,NA
"MSH6","MSH6",3,0.95223420172998,20,"0.603961665154184",1,NA,NA
"RNF43","RNF43",2,0.953921356004222,21,"0.0929223038602725",1,NA,NA
