"","#wt","#mut","pvalue","p_adj"
"KRAS",1,22,0.00272535542459193,0.86968441740946
"TNS1",21,2,0.0069483056622193,0.86968441740946
"PRDM7",21,2,0.0100050374938407,0.86968441740946
"NIM1",21,2,0.0160804608354856,0.86968441740946
"KDM4A",20,3,0.0170434890701446,0.86968441740946
"AK4",22,1,0.0181879475549979,0.86968441740946
"FH",22,1,0.0183692898524239,0.86968441740946
"NCAM1",20,3,0.0204548932739433,0.86968441740946
"JPH4",22,1,0.0214184122539863,0.86968441740946
"LRRC7",21,2,0.0229421183779926,0.86968441740946
"OR5W2",22,1,0.0240495405358475,0.86968441740946
"FCGBP",21,2,0.0246884544623472,0.86968441740946
"COL22A1",22,1,0.0262105358933647,0.86968441740946
"ATP8B2",21,2,0.0267591062451086,0.86968441740946
"KLHL26",22,1,0.0272063051946412,0.86968441740946
"PACSIN3",22,1,0.0284526233153549,0.86968441740946
"DNAJC27",22,1,0.0296512515105576,0.86968441740946
"PPHLN1",22,1,0.02989875228358,0.86968441740946
"CIC",22,1,0.0313236059054099,0.86968441740946
"ARHGAP6",22,1,0.031392815157362,0.86968441740946
"CYP27B1",22,1,0.0322287385716337,0.86968441740946
"DUSP19",21,2,0.0322702854968823,0.86968441740946
"ARID3A",22,1,0.0327090434318556,0.86968441740946
"STK31",22,1,0.0338865169086112,0.86968441740946
"TP53",7,16,0.035174040247277,0.86968441740946
"CD247",22,1,0.0377398447374365,0.86968441740946
"OPN4",22,1,0.03829814442364,0.86968441740946
"TAF3",22,1,0.0390767109758741,0.86968441740946
"KDM4D",22,1,0.0402822191031525,0.86968441740946
"PLXNB2",22,1,0.0412046116540434,0.86968441740946
"EPHA7",21,2,0.0424620016752218,0.86968441740946
"NBEAL2",22,1,0.0431699994444471,0.86968441740946
"INPP4A",22,1,0.0436122847924462,0.86968441740946
"TMEM97",21,2,0.0443615925047867,0.86968441740946
"RRP9",21,2,0.0455591166957316,0.86968441740946
"IGF1R",22,1,0.0456539381733665,0.86968441740946
"CCNE2",22,1,0.0470929527662124,0.86968441740946
"BCL11A",22,1,0.0472001610673949,0.86968441740946
"MTOR",22,1,0.047282122082977,0.86968441740946
"DLG5",22,1,0.0480932458724143,0.86968441740946
"KIT",22,1,0.0489056726295247,0.86968441740946
"NRG1",22,1,0.0490118403546264,0.86968441740946
"LRRC15",22,1,0.0492406519126966,0.86968441740946
"ABCA13",20,3,0.0500682374522885,0.86968441740946
"SYT4",21,2,0.050422641790194,0.86968441740946
"SMARCA2",22,1,0.0511726421009673,0.86968441740946
"TIE1",22,1,0.0523745230251201,0.86968441740946
"CD7",22,1,0.053561192756741,0.86968441740946
"HPN",22,1,0.0539858613464518,0.86968441740946
"HTR5A",22,1,0.0550133957527968,0.86968441740946
"KIF6",22,1,0.0557737721021515,0.86968441740946
"KIF2B",22,1,0.0565986056588853,0.86968441740946
"TAOK2",22,1,0.056764605333951,0.86968441740946
"WDR35",22,1,0.0570671515557861,0.86968441740946
"FAM8A1",22,1,0.0579832001459238,0.86968441740946
"STK19",22,1,0.0584824155079828,0.86968441740946
"SLC7A11",22,1,0.0589738799189595,0.86968441740946
"TTC16",22,1,0.0590511108823518,0.86968441740946
"ADCY3",22,1,0.0597603279018808,0.86968441740946
"RNF113A",22,1,0.0599989941226328,0.86968441740946
"MUC1",22,1,0.0607219065214083,0.86968441740946
"TXNDC11",22,1,0.0617611770905308,0.86968441740946
"SVEP1",22,1,0.0620449104672178,0.86968441740946
"ATF4",22,1,0.0627912095963865,0.86968441740946
"WDR11",22,1,0.0628678314483256,0.86968441740946
"BRAF",22,1,0.0636709346018613,0.86968441740946
"NACA2",22,1,0.0637419539302213,0.86968441740946
"ERAL1",22,1,0.0642544639939017,0.86968441740946
"CCDC6",22,1,0.0645290222090041,0.86968441740946
"LCP2",22,1,0.0648827150037914,0.86968441740946
"TRIP13",22,1,0.0648903734324645,0.86968441740946
"GRIN2B",22,1,0.0655228089818116,0.86968441740946
"RDH10",22,1,0.0657348410628645,0.86968441740946
"WDR88",22,1,0.0658572882746908,0.86968441740946
"ARHGAP24",22,1,0.066239438313808,0.86968441740946
"CNKSR1",22,1,0.0670055982683175,0.86968441740946
"DDX3X",22,1,0.0675120864677761,0.86968441740946
"NRCAM",20,3,0.0680453199405058,0.86968441740946
"KLF5",21,2,0.0682365775286893,0.86968441740946
"PBX1",21,2,0.068392608120087,0.86968441740946
"NUDT7",22,1,0.0684209017126143,0.86968441740946
"HNRNPA1",21,2,0.0692919170966384,0.86968441740946
"TTC30A",22,1,0.0697245838188406,0.86968441740946
