"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MCL1","MCL1",-1,-1,23,"1.42370983002849e-07",0.00093196045473665,NA,NA
"PIM3","PIM3",-1,-1,23,"2.45579556024111e-07",0.00160731819417781,NA,NA
"MAGEB3","MAGEB3",-1,-1,23,"2.49614765412964e-07",0.00163347902486244,NA,NA
"BCHE","BCHE",-1,-1,18,"3.20014145849257e-07",0.00209385255629169,NA,NA
"TNFRSF19","TNFRSF19",-1,-1,23,"4.62889144681178e-07",0.00302822078450427,NA,NA
"GPSM1","GPSM1",-1,-1,21,"8.20407442647664e-07",0.00536628508235837,NA,NA
"CLEC1A","CLEC1A",-1,-1,22,"1.71639790780276e-06",0.01122524231703,NA,NA
"ERCC6L2","ERCC6L2",-1,-1,23,"1.75822111425639e-06",0.0114970078661225,NA,NA
"NIM1","NIM1",-1,-1,20,"2.53568712038632e-06",0.0165783223930858,NA,NA
"MADD","MADD",-1,-1,21,"5.62327806141738e-06",0.0367593686874854,NA,NA
"WDR35","WDR35",-1,-1,22,"6.06132787694946e-06",0.0396168390037417,NA,NA
"FH","FH",-1,-1,22,"1.09044404749126e-05",0.0712605185035538,NA,NA
"CHRM1","CHRM1",-1,-1,23,"1.330706150382e-05",0.0869483398659599,NA,NA
"ADK","ADK",-1,-1,22,"1.41355033869139e-05",0.0923472436267085,NA,NA
"KCNK7","KCNK7",-1,-1,23,"1.8857750090473e-05",0.12317882359097,NA,NA
"UGT8","UGT8",-1,-1,23,"2.10442297315927e-05",0.137439864377032,NA,NA
"EP300","EP300",-1,-1,17,"2.15279069841756e-05",0.140577232606667,NA,NA
"ARHGAP22","ARHGAP22",-1,-1,22,"2.34980680517971e-05",0.153418886310183,NA,NA
"RBMS2","RBMS2",-1,-1,22,"2.61305029236603e-05",0.170579923085654,NA,NA
"CNR2","CNR2",-1,-1,23,"3.33448338963871e-05",0.217641730841719,NA,NA
"SMYD1","SMYD1",-1,-1,22,"3.4543794834363e-05",0.225432805089053,NA,NA
"GPR173","GPR173",-1,-1,23,"4.43754724942513e-05",0.28954995802499,NA,NA
