"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"ABCF1","ABCF1",-1,-1,19,"2.62440934624619e-07",0.00153947852250802,NA,NA
"BMPER","BMPER",-1,-1,21,"8.5023779029552e-07",0.00498664464008322,NA,NA
"EPSTI1","EPSTI1",-1,-1,22,"9.39954844097779e-07",0.00551189520578938,NA,NA
"RTN4RL2","RTN4RL2",-1,-1,22,"1.80789970065002e-06",0.0105997159449111,NA,NA
"GALR3","GALR3",-1,-1,22,"1.87066076536718e-06",0.0109658134065824,NA,NA
"EEF2","EEF2",-1,-1,22,"2.23253512600593e-06",0.0130848883735208,NA,NA
"PPP1R16A","PPP1R16A",-1,-1,20,"3.09703717513998e-06",0.0181486378463203,NA,NA
"ATP6V1B2","ATP6V1B2",-1,-1,22,"3.71569239619202e-06",0.021770241749289,NA,NA
"LANCL2","LANCL2",-1,-1,21,"3.89708969134384e-06",0.0228291514118922,NA,NA
"MTSS1L","MTSS1L",-1,-1,20,"4.03777077478625e-06",0.0236492234279231,NA,NA
"LRCH3","LRCH3",-1,-1,17,"6.00022171887611e-06",0.0351372983857385,NA,NA
"CDC40","CDC40",-1,-1,21,"1.15522366798595e-05",0.0676383457605774,NA,NA
"ARHGEF3","ARHGEF3",-1,-1,21,"1.2335075891063e-05",0.0722095342662828,NA,NA
"PGLYRP2","PGLYRP2",-1,-1,22,"1.54358959964784e-05",0.0903462992673881,NA,NA
"KIF23","KIF23",-1,-1,21,"1.88889017167437e-05",0.110537852846384,NA,NA
"IL17RA","IL17RA",-1,-1,21,"1.96165929047713e-05",0.114776685085817,NA,NA
"CASR","CASR",-1,-1,21,"2.03551754248752e-05",0.11907777623552,NA,NA
"ADRBK2","ADRBK2",-1,-1,21,"2.16561763830925e-05",0.126666975664708,NA,NA
"VPS28","VPS28",-1,-1,21,"2.6628732763939e-05",0.155724829203515,NA,NA
"COL4A3","COL4A3",-1,-1,21,"3.21514296397729e-05",0.187989409103752,NA,NA
"GRIA4","GRIA4",-1,-1,21,"3.28590187036011e-05",0.192093823341252,NA,NA
"COPS3","COPS3",-1,-1,22,"3.74300211062947e-05",0.218778473366293,NA,NA
"GALK1","GALK1",-1,-1,20,"3.74597546643345e-05",0.218914806258371,NA,NA
"SEMA4D","SEMA4D",-1,-1,19,"3.79085607008692e-05",0.221499720175179,NA,NA
"NCSTN","NCSTN",-1,-1,21,"3.80043055715343e-05",0.222021153148903,NA,NA
"VPRBP","VPRBP",-1,-1,22,"3.83021932520822e-05",0.223723110785412,NA,NA
"TRPM7","TRPM7",-1,-1,22,"4.09068606591758e-05",0.238896066249587,NA,NA
"ATP2A1","ATP2A1",-1,-1,22,"4.3657313373941e-05",0.254915052790442,NA,NA
"CDKN1B","CDKN1B",-1,-1,20,"4.40002231828199e-05",0.256873302941303,NA,NA
"HNF4G","HNF4G",-1,-1,22,"4.59274068284905e-05",0.268078273657899,NA,NA
"PRPF4","PRPF4",-1,-1,20,"4.87576680375447e-05",0.284549750667111,NA,NA
"TET1","TET1",-1,-1,22,"4.96788512265129e-05",0.289876096906703,NA,NA
"PCSK7","PCSK7",-1,-1,20,"5.18918902402852e-05",0.302737287661824,NA,NA
"MATN1","MATN1",-1,-1,22,"5.32982533657513e-05",0.310888711882427,NA,NA
"SIGLEC12","SIGLEC12",-1,-1,22,"5.65186996636895e-05",0.329617056438637,NA,NA
"MED4","MED4",-1,-1,22,"5.81487246660758e-05",0.339065213527888,NA,NA
"ILF3","ILF3",-1,-1,22,"6.07344482762651e-05",0.354081833450626,NA,NA
"MAT2A","MAT2A",-1,-1,22,"6.11806170569004e-05",0.356621816824672,NA,NA
"ACADSB","ACADSB",-1,-1,22,"6.39683648552582e-05",0.372807630376445,NA,NA
"NUP43","NUP43",-1,-1,22,"8.69635707895122e-05",0.506736726990488,NA,NA
"MED1","MED1",-1,-1,20,"8.76552241844718e-05",0.510679336098733,NA,NA
"FOSL1","FOSL1",-1,-1,22,"8.81781632471116e-05",0.513637800914425,NA,NA
"RAD9B","RAD9B",-1,-1,21,"8.88589341172355e-05",0.51751443229878,NA,NA
"RPP38","RPP38",-1,-1,21,"0.000100248333040385",0.583746043294162,NA,NA
"ABCF2","ABCF2",-1,-1,20,"0.000108684361115288",0.632760350413207,NA,NA
"MAPK11","MAPK11",-1,-1,22,"0.000110721365803006",0.644509070339298,NA,NA
"VPS4A","VPS4A",-1,-1,22,"0.000117868947940423",0.685997277013262,NA,NA
"ATP2B4","ATP2B4",-1,-1,22,"0.00012169946788374",0.708169203615483,NA,NA
"TAPBPL","TAPBPL",-1,-1,21,"0.000138152270933957",0.803769912293762,NA,NA
"JUNB","JUNB",-1,-1,21,"0.000146216645362457",0.850542226073412,NA,NA
"PKP4","PKP4",-1,-1,22,"0.000150041586567091",0.872641867474201,NA,NA
"CEACAM1","CEACAM1",-1,-1,22,"0.00015095014348558",0.877775084368648,NA,NA
"RAB5B","RAB5B",-1,-1,21,"0.000168252535508943",0.978220241448995,NA,NA
"MEIS1","MEIS1",-1,-1,21,"0.000169326236703075",0.984293413954975,NA,NA
"DRAP1","DRAP1",-1,-1,22,"0.000172596062393665",1,NA,NA
"HNRPDL","HNRPDL",-1,-1,22,"0.000174518750437513",1,NA,NA
"AHCTF1","AHCTF1",-1,-1,21,"0.00017590424925816",1,NA,NA
"OBP2A","OBP2A",-1,-1,21,"0.000182720672676285",1,NA,NA
"OPN5","OPN5",-1,-1,22,"0.000189632216341047",1,NA,NA
"MED30","MED30",-1,-1,20,"0.000189756060613861",1,NA,NA
"PWP2","PWP2",-1,-1,22,"0.000206911908765249",1,NA,NA
"KIF26A","KIF26A",-1,-1,21,"0.000212961339803049",1,NA,NA
"FBXO5","FBXO5",-1,-1,22,"0.000217204846444356",1,NA,NA
"ALDH3B2","ALDH3B2",-1,-1,22,"0.000227231153714795",1,NA,NA
"EIF4G3","EIF4G3",-1,-1,22,"0.000231824507268469",1,NA,NA
"KDM5B","KDM5B",-1,-1,21,"0.000236807103717175",1,NA,NA
"TRPC4","TRPC4",-1,-1,21,"0.000247386477614473",1,NA,NA
"DCT","DCT",-1,-1,22,"0.00025178480807172",1,NA,NA
"ALDH5A1","ALDH5A1",-1,-1,21,"0.000254045055604932",1,NA,NA
"LONP1","LONP1",-1,-1,22,"0.000260410786173369",1,NA,NA
"FOXI1","FOXI1",-1,-1,20,"0.000267976970690555",1,NA,NA
"FOXE1","FOXE1",-1,-1,21,"0.000276066932571861",1,NA,NA
"CDC25C","CDC25C",-1,-1,22,"0.000278315790678902",1,NA,NA
"RRAS","RRAS",-1,-1,22,"0.000295208501625042",1,NA,NA
"TTF1","TTF1",-1,-1,20,"0.000296561531508219",1,NA,NA
"ERBB4","ERBB4",-1,-1,21,"0.000303747887922496",1,NA,NA
"ZKSCAN4","ZKSCAN4",-1,-1,21,"0.00035710074249301",1,NA,NA
"ACTG1","ACTG1",-1,-1,21,"0.000371156815732095",1,NA,NA
"PTCH1","PTCH1",-1,-1,20,"0.000387068941895372",1,NA,NA
"MEF2D","MEF2D",-1,-1,22,"0.000397759536469769",1,NA,NA
"RTP1","RTP1",-1,-1,19,"0.000399983304533904",1,NA,NA
"FEV","FEV",-1,-1,22,"0.000403882848727047",1,NA,NA
"ITGB1","ITGB1",-1,-1,21,"0.000410459153082843",1,NA,NA
"PAX1","PAX1",-1,-1,21,"0.000414603647652991",1,NA,NA
"MYH9","MYH9",-1,-1,20,"0.000420461322444049",1,NA,NA
"MED6","MED6",-1,-1,22,"0.000424636241907514",1,NA,NA
"TIPARP","TIPARP",-1,-1,19,"0.000446568557292572",1,NA,NA
"ISG20","ISG20",-1,-1,22,"0.00044851157774153",1,NA,NA
"JAK2","JAK2",-1,-1,20,"0.000459590979687656",1,NA,NA
"KCNJ12","KCNJ12",-1,-1,22,"0.000532263311991192",1,NA,NA
"DENND5B","DENND5B",-1,-1,18,"0.000567146773112709",1,NA,NA
"WDR5B","WDR5B",-1,-1,21,"0.000577153072090206",1,NA,NA
"FUBP1","FUBP1",-1,-1,22,"0.000577359208705842",1,NA,NA
"CLC","CLC",-1,-1,20,"0.00059085527697851",1,NA,NA
"RHEB","RHEB",-1,-1,22,"0.000597312616490377",1,NA,NA
"PHIP","PHIP",-1,-1,22,"0.000626597976277198",1,NA,NA
"ATP1A1","ATP1A1",-1,-1,22,"0.000642121792459979",1,NA,NA
"ITLN1","ITLN1",-1,-1,22,"0.000703304891978705",1,NA,NA
"MYBL1","MYBL1",-1,-1,22,"0.000711533614190852",1,NA,NA
"HOXC9","HOXC9",-1,-1,22,"0.000712389907892279",1,NA,NA
"SETD4","SETD4",-1,-1,22,"0.000748326828388432",1,NA,NA
"SOX9","SOX9",-1,-1,19,"0.000752985271867674",1,NA,NA
"AMBRA1","AMBRA1",-1,-1,22,"0.000763559281682685",1,NA,NA
"BTRC","BTRC",-1,-1,22,"0.000792045757959412",1,NA,NA
"RPP14","RPP14",-1,-1,22,"0.000813564933646997",1,NA,NA
"DPF3","DPF3",-1,-1,22,"0.000823627008287613",1,NA,NA
"TMEM55A","TMEM55A",-1,-1,22,"0.000866056055493042",1,NA,NA
"BTD","BTD",-1,-1,22,"0.000869995647646912",1,NA,NA
"ZNF148","ZNF148",-1,-1,21,"0.000936395144474376",1,NA,NA
"ITGA6","ITGA6",-1,-1,22,"0.000951770712223919",1,NA,NA
"AKAP13","AKAP13",-1,-1,21,"0.000970214049719493",1,NA,NA
"RIOK1","RIOK1",-1,-1,21,"0.000976055991851749",1,NA,NA
"PAX7","PAX7",-1,-1,22,"0.000990504982334688",1,NA,NA
"TGIF1","TGIF1",-1,-1,22,"0.000993603341036209",1,NA,NA
"DHRS7B","DHRS7B",-1,-1,22,"0.00100647832910542",1,NA,NA
"PPP1CB","PPP1CB",-1,-1,22,"0.00102767708804163",1,NA,NA
