"","#wt","#mut","pvalue","p_adj"
"EPSTI1",23,0,2.75304094822307e-07,0.00113389238190061
"ABCF1",20,3,3.46438246837949e-07,0.00113389238190061
"EEF2",23,0,1.39093348562095e-06,0.00201336891890971
"LANCL2",22,1,1.46021895285644e-06,0.00201336891890971
"LRCH3",18,5,1.53786199122343e-06,0.00201336891890971
"ATP6V1B2",23,0,2.20458642960452e-06,0.00219314986445197
"PPP1R16A",21,2,2.59660784375764e-06,0.00219314986445197
"RTN4RL2",23,0,2.68029314323491e-06,0.00219314986445197
"BMPER",22,1,5.0686955524141e-06,0.00365724648060028
"MTSS1L",21,2,6.04661779461364e-06,0.00365724648060028
"CASR",22,1,6.39076653742225e-06,0.00365724648060028
"KIF23",22,1,6.72868889995408e-06,0.00365724648060028
"GABRQ",23,0,7.26309261347444e-06,0.00365724648060028
"GRIA4",22,1,1.05099945181046e-05,0.00468326450654534
"COPS3",23,0,1.1539675553183e-05,0.00468326450654534
"ARHGEF3",22,1,1.26647561696363e-05,0.00468326450654534
"COL4A3",22,1,1.38283117594616e-05,0.00468326450654534
"VPRBP",23,0,1.47563631293168e-05,0.00468326450654534
"GALR3",23,0,1.49973610762754e-05,0.00468326450654534
"HNF4G",23,0,1.51964125976525e-05,0.00468326450654534
"ADRBK2",22,1,1.62192753129803e-05,0.00468326450654534
"TET1",23,0,1.67950361611722e-05,0.00468326450654534
"MATN1",23,0,1.80996578779551e-05,0.00468326450654534
"IL17RA",22,1,1.90883915408018e-05,0.00468326450654534
"ATP2A1",23,0,1.91536052868348e-05,0.00468326450654534
"MED4",23,0,1.96359686848078e-05,0.00468326450654534
"SIGLEC12",23,0,2.01651181656165e-05,0.00468326450654534
"GALK1",21,2,2.10353574242988e-05,0.00468326450654534
"ILF3",23,0,2.10369255001841e-05,0.00468326450654534
"CDC40",22,1,2.14631737238558e-05,0.00468326450654534
"MAT2A",23,0,2.38057351987475e-05,0.0050268497616452
"NCSTN",22,1,2.51795920728803e-05,0.00515080030340858
"PRPF4",21,2,2.60892103881106e-05,0.00517515064244158
"NUP43",23,0,2.79606392003833e-05,0.00538324541781497
"CDKN1B",21,2,2.97722719232691e-05,0.00547473485817993
"GNL3L",22,1,3.01085326756e-05,0.00547473485817993
"RPP38",22,1,3.30765099922482e-05,0.00579973781706366
"RAD9B",22,1,3.3667894446749e-05,0.00579973781706366
"VPS4A",23,0,3.90228450635102e-05,0.00642802965466354
"SBDS",23,0,4.02611084389253e-05,0.00642802965466354
"SBDSP1",23,0,4.02611084389253e-05,0.00642802965466354
"PCSK7",21,2,4.36688415934798e-05,0.00680610088264092
"MAPK11",23,0,4.73590000155975e-05,0.00720958172330468
"ATP2B4",23,0,4.85669306634746e-05,0.00722543473007056
"VPS28",22,1,5.58064876288503e-05,0.00811798373374342
"AHCTF1",22,1,5.98037417619859e-05,0.00839667376091705
"CEACAM1",23,0,6.02877584422703e-05,0.00839667376091705
"PKP4",23,0,7.28068019331376e-05,0.00987309826929352
"TRPM7",23,0,7.39049519088577e-05,0.00987309826929352
"MED1",21,2,7.93502711190744e-05,0.0103470862915931
"PWP2",23,0,8.06143294945383e-05,0.0103470862915931
"PGLYRP2",23,0,8.44596518416112e-05,0.0104370568666419
"FOSL1",23,0,8.45041267846042e-05,0.0104370568666419
"FBXO5",23,0,8.94918772903743e-05,0.0104541424078287
"MED30",21,2,9.0572627638105e-05,0.0104541424078287
"MEIS1",22,1,9.06217250020356e-05,0.0104541424078287
"LONP1",23,0,9.15528293513669e-05,0.0104541424078287
"KDM5B",22,1,9.2952898822999e-05,0.0104541424078287
"RAB5B",22,1,9.42246260406195e-05,0.0104541424078287
"ERBB4",22,1,0.000102889917152983,0.0112252899613904
"EIF4G3",23,0,0.000110198687427845,0.0118255837361094
"ALDH5A1",22,1,0.00011275880439671,0.0119051473158204
"CDC25C",23,0,0.000115384070421192,0.0119889543647162
"ACADSB",23,0,0.000123634560422824,0.012645497383247
"RRAS",23,0,0.000125613390816626,0.0126502347120867
"SEMA4D",20,3,0.000133204966828304,0.01321151080088
"DRAP1",23,0,0.000139972211778049,0.0136754940044643
"FEV",23,0,0.000154248327205562,0.0145542666657727
"MEF2D",23,0,0.000154825385290182,0.0145542666657727
"MYL12A",23,0,0.000158738028871543,0.0145542666657727
"MYL12B",23,0,0.000158738028871543,0.0145542666657727
"MED6",23,0,0.000160820437905357,0.0145542666657727
"TTF1",21,2,0.000162306976260527,0.0145542666657727
"FOXE1",22,1,0.000171337544716026,0.0151564265906906
"PTCH1",21,2,0.00019098013821316,0.0166687464632446
"JUNB",22,1,0.000197432762068776,0.0170051955329238
"TRPC4",22,1,0.00020079814672333,0.0170493525827823
"FUBP1",23,0,0.000203154522067983,0.0170493525827823
"CBWD6",19,4,0.000207603207141992,0.0170604725963496
"RTP1",20,3,0.000208499512329357,0.0170604725963496
"KIF26A",22,1,0.000212693989207505,0.0171888253500287
"ISG20",23,0,0.000222647637102727,0.0177737979570055
"PHIP",23,0,0.000240048676334224,0.0188437851949798
"TAPBPL",22,1,0.000241808425966744,0.0188437851949798
"OPN5",23,0,0.000246861818977681,0.0190112643179753
"MYBL1",23,0,0.000260982308034541,0.0198650021906291
"ABCF2",21,2,0.00027084630891238,0.0203735244356524
"SOX9",20,3,0.000273887893421541,0.0203735244356524
"KCNJ12",23,0,0.000285597013679892,0.0209799428875747
