"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"ARID1A","ARID1A",4,0.00201059301774886,19,"0.0468601472303296",0.566987231005178,NA,NA
"ACACA","ACACA",2,0.0104281826457554,21,"0.352165464541682",1,NA,NA
"ERCC6L","ERCC6L",3,0.0794102500762496,20,"0.21156698560234",1,NA,NA
"PVRL1","PVRL1",2,0.129433130296835,21,"0.354540118324249",1,NA,NA
"EP300","EP300",4,0.132372519665718,19,"1.70783386466145e-06",1,NA,NA
"CNTRL","CNTRL",2,0.150423665095243,21,"0.0685046303023368",1,NA,NA
"ITGB5","ITGB5",2,0.163602146303403,21,"0.0593515485510457",1,NA,NA
"PPP3R1","PPP3R1",2,0.170800361936354,21,"0.217272603246355",1,NA,NA
"MCPH1","MCPH1",3,0.17648404055052,20,"0.581125183240412",1,NA,NA
"CALCR","CALCR",2,0.188745868258274,21,"0.306386009144989",1,NA,NA
"PLD1","PLD1",2,0.19789104005022,21,"0.586297912244211",1,NA,NA
"SVIL","SVIL",2,0.212139519917518,21,"0.966046594008974",1,NA,NA
"CBX8","CBX8",2,0.27252652762478,21,"0.060562960753016",1,NA,NA
"ATG2B","ATG2B",2,0.288171897791919,21,"0.698540732842374",1,NA,NA
"SMAD4","SMAD4",4,0.311772010584356,19,"0.965222137684999",1,NA,NA
"NEK1","NEK1",2,0.352995053837598,21,"0.337880139966419",1,NA,NA
"TICAM1","TICAM1",2,0.44475199583371,21,"0.471278939881915",1,NA,NA
"KIAA2026","KIAA2026",2,0.455671050117974,21,"0.657035392259278",1,NA,NA
"RABGAP1","RABGAP1",2,0.458512455430384,21,"0.615371412754484",1,NA,NA
"RNF4","RNF4",3,0.46372349735941,20,"0.646508109044865",1,NA,NA
"PBRM1","PBRM1",2,0.471622672510388,21,"0.347031630539006",1,NA,NA
"ATN1","ATN1",4,0.487357235886087,19,"0.936123086777119",1,NA,NA
"KIF5B","KIF5B",2,0.510030139834659,21,"0.00201496961379088",1,NA,NA
"GRB14","GRB14",2,0.529991869311475,21,"0.12905328482026",1,NA,NA
"RBM23","RBM23",2,0.537874621476125,21,"0.0646505023708667",1,NA,NA
"IRS2","IRS2",2,0.546760785696697,21,"0.786891153170199",1,NA,NA
"OBSCN","OBSCN",2,0.572748924611653,21,"0.759806438113704",1,NA,NA
"TEX15","TEX15",2,0.601476112263483,21,"0.0232292332635516",1,NA,NA
"NBR1","NBR1",2,0.621593493731026,21,"0.548168602078028",1,NA,NA
"RDH10","RDH10",2,0.62273042299958,21,"0.0794805412298174",1,NA,NA
"RABL2A","RABL2A",3,0.634429808677012,20,"0.95619266941691",1,NA,NA
"ZFP36L2","ZFP36L2",2,0.638159023997888,21,"0.203871467459841",1,NA,NA
"ZFHX4","ZFHX4",2,0.661232531812683,21,"0.184250677295754",1,NA,NA
"CDKN2A","CDKN2A",3,0.706708025355088,20,"0.994117249561919",1,NA,NA
"TTN","TTN",3,0.729864217651602,20,"0.067707550176765",1,NA,NA
"CACNA1F","CACNA1F",2,0.731070029865517,21,"0.371673852728947",1,NA,NA
"ERMAP","ERMAP",3,0.787601264938369,20,"0.403589447246898",1,NA,NA
"BRAF","BRAF",2,0.816472872975738,21,"0.17776234138275",1,NA,NA
"TP53","TP53",5,0.817177690502917,18,"0.999859066075764",1,NA,NA
"MACF1","MACF1",2,0.818478453108152,21,"0.66230864599007",1,NA,NA
"FANCM","FANCM",2,0.838168031149287,21,"0.914911985325351",1,NA,NA
"CHD9","CHD9",2,0.947275565887726,21,"0.447953432690274",1,NA,NA
"ABCA13","ABCA13",3,0.965053543392423,20,"0.293295822449524",1,NA,NA
"ANGEL2","ANGEL2",1,0.00244389064683448,22,"0.483005454362919",0.686733271760489,NA,NA
"PROKR2","PROKR2",1,0.00274937406009823,22,"0.0408639189536983",0.769824736827504,NA,NA
"SIGLEC10","SIGLEC10",1,0.0104628302450053,22,"0.333466134314015",1,NA,NA
"HOXA1","HOXA1",1,0.0148159688840123,22,"0.5184280902122",1,NA,NA
"CDK1","CDK1",1,0.0161906442436986,22,"0.972056477105802",1,NA,NA
"FZR1","FZR1",1,0.0283336099209286,22,"0.964069255938039",1,NA,NA
"BTNL3","BTNL3",1,0.0339850530663062,22,"0.473708104453697",1,NA,NA
