"","#wt","#mut","pvalue","p_adj"
"SLC35B3",32,4,0.000751994130179524,0.92309490289566
"SIRPB1",20,16,0.00219493665755444,0.92309490289566
"NRAS",32,4,0.00315914086906473,0.92309490289566
"LMLN",34,2,0.00606623242935987,0.92309490289566
"TACSTD2",34,2,0.00746577002190322,0.92309490289566
"FOXQ1",32,4,0.00868011847713677,0.92309490289566
"GSTM2",34,2,0.00926397020715755,0.92309490289566
"STK38L",34,2,0.00967611524368291,0.92309490289566
"PTGER4",33,3,0.0102660915149837,0.92309490289566
"FAM8A1",33,3,0.0117389426667457,0.92309490289566
"UBE2V1",33,3,0.0125105129122165,0.92309490289566
"TMEM189-UBE2V1",33,3,0.0125105129122165,0.92309490289566
"FEN1",35,1,0.0125735756769357,0.92309490289566
"WNT5B",35,1,0.0127180097932651,0.92309490289566
"PPME1",32,4,0.0128590737730657,0.92309490289566
"VWA1",35,1,0.0130596987562841,0.92309490289566
"PROCR",35,1,0.0135510292637067,0.92309490289566
"TWIST1",28,8,0.0139655685420836,0.92309490289566
"GPR37",31,5,0.0140552339916958,0.92309490289566
"NDRG1",35,1,0.0150970425221262,0.92309490289566
"MMP3",34,2,0.0153795180031557,0.92309490289566
"MMP10",34,2,0.0153795180031557,0.92309490289566
"PARP12",30,6,0.0159743347293294,0.92309490289566
"TMEM14B",32,4,0.0167453820862439,0.92309490289566
"ANGEL2",35,1,0.0169776786976262,0.92309490289566
"CDC25B",34,2,0.0170677182114985,0.92309490289566
"IRX1",34,2,0.0176935665371446,0.92309490289566
"RGS12",35,1,0.0177991548763006,0.92309490289566
"CEBPZ",35,1,0.0180364964029187,0.92309490289566
"SEMA4A",34,2,0.0193877374429962,0.92309490289566
"BCAN",34,2,0.0194097450376564,0.92309490289566
"TFAP2A",32,4,0.0198299181925887,0.92309490289566
"PROKR2",34,2,0.0198957661083143,0.92309490289566
"NOTCH3",34,2,0.0203951623781313,0.92309490289566
"L3MBTL2",34,2,0.0204386873727049,0.92309490289566
"ARFRP1",32,4,0.0205824843774671,0.92309490289566
"SEC62",35,1,0.0214488331789941,0.92309490289566
"ARL6",35,1,0.0214997829188217,0.92309490289566
"HES3",35,1,0.0224520995583586,0.92309490289566
"GPR151",35,1,0.0226361652093435,0.92309490289566
"DTL",35,1,0.0230826299310798,0.92309490289566
"NSF",34,2,0.0231928611358469,0.92309490289566
"TRA2B",35,1,0.0233499803355553,0.92309490289566
"BHLHE41",35,1,0.0234427514833621,0.92309490289566
"ZCCHC3",33,3,0.0235372090643881,0.92309490289566
"COL14A1",35,1,0.0238517951145443,0.92309490289566
"ECI2",31,5,0.0240914440409489,0.92309490289566
"TMEM189",33,3,0.0249466612683039,0.92309490289566
