"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"BRAF","BRAF",30,8.49624827217448e-16,6,"0.843309123240008",2.69076182779766e-12,NA,NA
"NRAS","NRAS",6,2.16651426254246e-07,30,"0.946401604980665",0.000685918415520943,NA,NA
"CDK4","CDK4",2,1.67984764756867e-06,34,"0.893098407272032",0.00531671780455484,NA,NA
"ATP10D","ATP10D",3,1.75501782395088e-06,33,"0.999645613404453",0.00555287639498058,NA,NA
"GPN3","GPN3",2,6.17095665169197e-06,34,"0.871402510973821",0.0195187358893017,NA,NA
"PRDM2","PRDM2",3,3.16970024969477e-05,33,"7.35118665772824e-06",0.100225921895349,NA,NA
"CPB2","CPB2",3,0.000418696030909949,33,"0.00344479235426912",1,NA,NA
"ASCC3","ASCC3",6,0.000654265522706662,30,"5.51663340891807e-09",1,NA,NA
"TTC28","TTC28",3,0.000756501970587335,33,"6.76751216380194e-07",1,NA,NA
"KCNS2","KCNS2",2,0.00113916379776039,34,"0.396293246077579",1,NA,NA
"ANKK1","ANKK1",2,0.00117220789959301,34,"0.00318331246608921",1,NA,NA
"TAS1R2","TAS1R2",4,0.00130554187363353,32,"1.58383609765527e-05",1,NA,NA
"CHRNA7","CHRNA7",2,0.00154557035293076,34,"0.0588909524241328",1,NA,NA
"ZFHX4","ZFHX4",10,0.00270512302966737,26,"0.00105953986139404",1,NA,NA
"COL6A6","COL6A6",4,0.00284434942670453,32,"6.249228851382e-05",1,NA,NA
"KIF2B","KIF2B",2,0.00294549264355054,34,"4.50539910265185e-05",1,NA,NA
"RASL11A","RASL11A",2,0.00325818520688304,34,"1.34678731537713e-06",1,NA,NA
"TTN","TTN",29,0.00358355909803782,7,"0.137082734045263",1,NA,NA
"CSMD3","CSMD3",13,0.00433166150956011,23,"7.79863346652558e-05",1,NA,NA
"ARHGEF28","ARHGEF28",3,0.00436662418320044,33,"2.88955576701996e-10",1,NA,NA
"GEMIN4","GEMIN4",2,0.005012231008605,34,"0.882990901238271",1,NA,NA
"VSIG8","VSIG8",2,0.00531487703187681,34,"3.31160959987214e-05",1,NA,NA
"KCNQ5","KCNQ5",4,0.00534140618688567,32,"0.000268527891312497",1,NA,NA
"CEL","CEL",3,0.0053987012997808,33,"0.0306438740340217",1,NA,NA
"MAGEA2","MAGEA2",3,0.0057960952258963,33,"0.874629430836342",1,NA,NA
"FCGBP","FCGBP",7,0.006681014788493,29,"0.065407817990932",1,NA,NA
"NMBR","NMBR",2,0.00767233076639898,34,"0.00170050776620094",1,NA,NA
"BTNL9","BTNL9",2,0.00809423116670128,34,"0.352114281418615",1,NA,NA
"CENPE","CENPE",4,0.00862063208322708,32,"0.00123838457897196",1,NA,NA
"CECR2","CECR2",8,0.00874700740381906,28,"0.0449792166105911",1,NA,NA
"PKHD1L1","PKHD1L1",13,0.0088541107604025,23,"0.0028516462348466",1,NA,NA
"KCNK10","KCNK10",5,0.00978365682463982,31,"0.00581887545981532",1,NA,NA
"TFEC","TFEC",2,0.0101433928897335,34,"7.16386413241968e-09",1,NA,NA
"GPR98","GPR98",11,0.0104520536745828,25,"0.000383607900166766",1,NA,NA
"PAPPA2","PAPPA2",7,0.0106371788927722,29,"2.44751793454672e-05",1,NA,NA
"PAK7","PAK7",4,0.0113182214521795,32,"0.000357299079026733",1,NA,NA
"GCLC","GCLC",2,0.0113637025210773,34,"9.28653569354435e-06",1,NA,NA
"SDK1","SDK1",7,0.011629114511394,29,"1.02985046481148e-05",1,NA,NA
"ARHGEF18","ARHGEF18",4,0.0121142548571918,32,"6.68669943614037e-05",1,NA,NA
"HCN1","HCN1",3,0.0125819906847673,33,"0.0154804191962739",1,NA,NA
"FRAS1","FRAS1",8,0.012980009778943,28,"0.344343461045911",1,NA,NA
"ANKRD32","ANKRD32",3,0.013128557739021,33,"0.139806282840317",1,NA,NA
"MAK","MAK",2,0.0134302770982055,34,"3.42350351968177e-12",1,NA,NA
"GTF3C2","GTF3C2",2,0.0136817748815325,34,"0.0068160305625234",1,NA,NA
"PROX1","PROX1",5,0.0143761315061082,31,"9.01799855713454e-05",1,NA,NA
"SLIT2","SLIT2",4,0.0144253499760272,32,"0.654276600597139",1,NA,NA
"LMBR1","LMBR1",2,0.014606484165476,34,"0.00244831771780983",1,NA,NA
"ADAMTS20","ADAMTS20",4,0.0149966399619777,32,"0.00871516890558767",1,NA,NA
"LRRN2","LRRN2",4,0.0154693865502401,32,"1.36967896704383e-05",1,NA,NA
"GLRA1","GLRA1",2,0.0165744076225184,34,"0.00452420277492677",1,NA,NA
"SVEP1","SVEP1",9,0.0174618927228773,27,"1.25156144955297e-07",1,NA,NA
"F2RL3","F2RL3",3,0.0176504508842232,33,"0.701351159799769",1,NA,NA
"DNM2","DNM2",2,0.0177773771242866,34,"3.4408631402009e-05",1,NA,NA
"VSIG10","VSIG10",2,0.0178927674759684,34,"0.169912781104742",1,NA,NA
