"","#wt","#mut","pvalue","p_adj"
"NRAS",30,6,1.16270678663315e-05,0.0224261515356691
"BRAF",6,30,1.41623944020645e-05,0.0224261515356691
"TP53",29,7,4.22416297199905e-05,0.04459308044107
"ATP10D",33,3,7.01010134781062e-05,0.0555024774212906
"TRPM7",33,3,0.000785368577272699,0.460704282167096
"EPSTI1",34,2,0.000872821500790204,0.460704282167096
"SLC5A1",34,2,0.00185740551737212,0.840343324788215
"GABRA2",32,4,0.00279025273475721,0.954601002749958
"CDK4",34,2,0.00380237647474189,0.954601002749958
"GPN3",34,2,0.00415540633326376,0.954601002749958
"CD1E",34,2,0.00445148234511585,0.954601002749958
"MAGEA2",33,3,0.0049570129668953,0.954601002749958
"ERN2",32,4,0.00513863247613732,0.954601002749958
"ATR",34,2,0.00563555099661286,0.954601002749958
"SELL",34,2,0.00640711363750675,0.954601002749958
"HS3ST2",33,3,0.00740089066194197,0.954601002749958
"GEMIN4",34,2,0.00770409056361187,0.954601002749958
"DHX38",35,1,0.0106201076834606,0.954601002749958
"AKAP13",35,1,0.0118074952400691,0.954601002749958
"PRKAA1",35,1,0.0118469079713394,0.954601002749958
"AGAP8",34,2,0.0122483902799734,0.954601002749958
"GALK1",34,2,0.0127282066543764,0.954601002749958
"SERPINI1",34,2,0.0131917597960264,0.954601002749958
"KCNS2",34,2,0.0137315056436868,0.954601002749958
"UBR5",34,2,0.0140378823152662,0.954601002749958
"PTPN21",35,1,0.0140692706870162,0.954601002749958
"XRCC5",35,1,0.0140828946802096,0.954601002749958
"DCLK1",33,3,0.0142363122933334,0.954601002749958
"WDR16",35,1,0.0157972692996035,0.954601002749958
"SLC2A14",33,3,0.0159480532548725,0.954601002749958
"SLIT2",32,4,0.0159498395976909,0.954601002749958
"NPY5R",32,4,0.0160313366042311,0.954601002749958
"SDHA",32,4,0.0161353769084059,0.954601002749958
"SLC7A8",35,1,0.0166156246138138,0.954601002749958
"DDX51",35,1,0.017000001367354,0.954601002749958
"F2RL3",33,3,0.0170522228712495,0.954601002749958
"PLK1",35,1,0.0170575086958475,0.954601002749958
"AGAP2",34,2,0.0174005674775017,0.954601002749958
"AIFM1",35,1,0.0184580483318489,0.954601002749958
"FKBP15",35,1,0.0188978716337214,0.954601002749958
"COL21A1",33,3,0.0189180632129058,0.954601002749958
"HSPA1A",35,1,0.0194114480613374,0.954601002749958
"KCNJ12",35,1,0.0196807338527072,0.954601002749958
"UTP18",35,1,0.0199452119894369,0.954601002749958
"CAMK2A",34,2,0.0201281240318517,0.954601002749958
"RGPD2",35,1,0.0206384848888558,0.954601002749958
"VAV3",33,3,0.0207711012177676,0.954601002749958
"CDK3",35,1,0.0207723221523184,0.954601002749958
"BRWD3",33,3,0.0218417873289129,0.954601002749958
"MCM6",35,1,0.0225364057475132,0.954601002749958
"TBR1",33,3,0.0226790337781666,0.954601002749958
"PKP4",34,2,0.0228797795035332,0.954601002749958
"KCND3",35,1,0.0230510548814326,0.954601002749958
"CCNB3",35,1,0.0230847600714675,0.954601002749958
"PLEKHF1",35,1,0.0231964851656527,0.954601002749958
"LRRC4B",34,2,0.0233548032765033,0.954601002749958
"BTNL9",34,2,0.0233991022385545,0.954601002749958
"PGBD5",35,1,0.0239179021690334,0.954601002749958
"CDK11B",35,1,0.0244809738612944,0.954601002749958
"CCAR1",35,1,0.024515078797621,0.954601002749958
"MPPED2",32,4,0.0254141253470386,0.954601002749958
"ELP3",35,1,0.0254818833282482,0.954601002749958
"DCAF8L2",35,1,0.026063709640106,0.954601002749958
"HTR5A",35,1,0.0270390174172897,0.954601002749958
"CYP3A5",33,3,0.0279916313246487,0.954601002749958
"CCR8",35,1,0.0282604751417547,0.954601002749958
"KLHL13",33,3,0.0283664455489458,0.954601002749958
"ITIH3",35,1,0.0293093136405044,0.954601002749958
"MAP3K15",34,2,0.02993953281317,0.954601002749958
"CD22",33,3,0.0300715859714128,0.954601002749958
"CHRNA7",34,2,0.0300913851707325,0.954601002749958
"POLG",35,1,0.0300916107422893,0.954601002749958
"WDR70",35,1,0.0301447666015398,0.954601002749958
"GPR87",34,2,0.0301965278675739,0.954601002749958
"MAP1B",35,1,0.0308118831790362,0.954601002749958
"KANSL3",34,2,0.0313247579228833,0.954601002749958
"MAN1B1",35,1,0.0330572624785102,0.954601002749958
"CPB2",33,3,0.0334805311419876,0.954601002749958
"MYL12A",35,1,0.0337602962343772,0.954601002749958
"NKX2-3",35,1,0.0340324814272909,0.954601002749958
"MYBBP1A",34,2,0.0344791017686931,0.954601002749958
"UBTF",35,1,0.0345688639201204,0.954601002749958
"RAPGEF5",33,3,0.0347832138480645,0.954601002749958
"ASXL3",31,5,0.0349406275409467,0.954601002749958
"MAGEF1",34,2,0.0353074351650157,0.954601002749958
"PTPN13",35,1,0.0362151174762314,0.954601002749958
"OR51V1",33,3,0.0366584782278256,0.954601002749958
"CORO1C",35,1,0.0367294027842157,0.954601002749958
"PFKFB4",35,1,0.0370008220185207,0.954601002749958
"GPR151",35,1,0.0372134596792212,0.954601002749958
"HRAS",35,1,0.0372168709290453,0.954601002749958
"BTNL8",35,1,0.0373037996463341,0.954601002749958
"ZDHHC20",35,1,0.037673614580529,0.954601002749958
"PCSK7",35,1,0.0378098380073761,0.954601002749958
"PKD1",35,1,0.0382648305987887,0.954601002749958
"NSUN2",35,1,0.0387487455441671,0.954601002749958
"GPR31",35,1,0.038974777713328,0.954601002749958
"FRAS1",28,8,0.0400678815765603,0.954601002749958
"ELF3",35,1,0.0400935696794536,0.954601002749958
"TDG",33,3,0.0406314666712431,0.954601002749958
"ANKRD32",33,3,0.0409884804992793,0.954601002749958
"CYP11B2",34,2,0.0412865559078985,0.954601002749958
"PTGER3",35,1,0.041329677415062,0.954601002749958
"FYCO1",35,1,0.0423608592937882,0.954601002749958
"OR2W3",35,1,0.0423757687436161,0.954601002749958
"CEL",33,3,0.0425665820357901,0.954601002749958
"SLC39A4",35,1,0.043419632385272,0.954601002749958
"MAP4K4",35,1,0.0437077153459626,0.954601002749958
"VSIG10",34,2,0.0440804514529142,0.954601002749958
"KIAA0195",35,1,0.044786901690209,0.954601002749958
"CYP2R1",35,1,0.0449407936474538,0.954601002749958
"GPR89A",35,1,0.0452287801078817,0.954601002749958
"SUV420H2",35,1,0.045551932136024,0.954601002749958
"SLC4A7",35,1,0.0459231946178215,0.954601002749958
"WIPI1",35,1,0.0462852130162603,0.954601002749958
"ROBO2",32,4,0.0466617464896856,0.954601002749958
"NBEA",28,8,0.0467510699603463,0.954601002749958
"PANK2",35,1,0.0468553806930473,0.954601002749958
"BDKRB2",35,1,0.0468891390710078,0.954601002749958
"EPN2",35,1,0.0475837011530263,0.954601002749958
"GPSM2",35,1,0.0477665738257802,0.954601002749958
"DGKG",33,3,0.0478914116850905,0.954601002749958
"NFIA",34,2,0.0484949114655759,0.954601002749958
"CNR2",35,1,0.0491874942804634,0.954601002749958
"NAT14",34,2,0.0492858934266642,0.954601002749958
"ERCC2",35,1,0.0493241229202754,0.954601002749958
"WDR24",35,1,0.0494245782257725,0.954601002749958
"SHPRH",34,2,0.0495106015692293,0.954601002749958
"RELA",33,3,0.0497398288651965,0.954601002749958
"MAGEE1",35,1,0.0501165653559139,0.954601002749958
"BTBD2",35,1,0.0503484427392618,0.954601002749958
"BTBD17",35,1,0.0504593737733473,0.954601002749958
"ITPKB",35,1,0.051756856698454,0.954601002749958
"RNF213",33,3,0.052030104583022,0.954601002749958
"CHD2",33,3,0.0521644240343498,0.954601002749958
"ANKK1",34,2,0.0523851280897769,0.954601002749958
"CDK18",35,1,0.0531008370066174,0.954601002749958
"LGSN",33,3,0.0534442904368086,0.954601002749958
"EIF2AK4",35,1,0.0536485363146678,0.954601002749958
"CDC42BPA",33,3,0.0543863624461807,0.954601002749958
"REG4",35,1,0.0545590280326679,0.954601002749958
"ITGA1",35,1,0.0546549083642784,0.954601002749958
"CORO7",31,5,0.0546848179942637,0.954601002749958
"TTC30B",35,1,0.0550112365329254,0.954601002749958
"PDHA2",35,1,0.055781756220009,0.954601002749958
"USP35",34,2,0.0566047477632239,0.954601002749958
"SIGLEC12",33,3,0.0567170624961688,0.954601002749958
"TAPBPL",35,1,0.0569571047111846,0.954601002749958
"NRP1",35,1,0.0571085611481478,0.954601002749958
"FCGR3A",35,1,0.0571221843398031,0.954601002749958
"TNFRSF17",35,1,0.0582578410639978,0.954601002749958
"ALDH3B2",35,1,0.0586402993081519,0.954601002749958
"PLXNB3",34,2,0.0587034254675839,0.954601002749958
"MAT2A",35,1,0.0591125407869763,0.954601002749958
"CBX2",34,2,0.0600685920205796,0.954601002749958
"SEMA3G",34,2,0.060320551377448,0.954601002749958
"HOXB3",35,1,0.0606146302814809,0.954601002749958
"NR3C1",35,1,0.0610345612404211,0.954601002749958
"SDS",32,4,0.0616376542698021,0.954601002749958
"ANKRD29",35,1,0.0618477669734208,0.954601002749958
"OR52I2",34,2,0.0625636230961645,0.954601002749958
"DOPEY1",33,3,0.0625852779092719,0.954601002749958
"FYN",35,1,0.0626403908006188,0.954601002749958
"NLRP12",33,3,0.0629677639052726,0.954601002749958
"OR2T10",34,2,0.063000922502339,0.954601002749958
"BCL2L2",35,1,0.0650698045713543,0.954601002749958
"PRDM2",33,3,0.0653554160317344,0.954601002749958
"MED1",32,4,0.0660029754934632,0.954601002749958
"FCGBP",29,7,0.0665908542514969,0.954601002749958
"ATP2A3",29,7,0.0666435750863335,0.954601002749958
"IDO2",34,2,0.0670658925830769,0.954601002749958
"KDM3A",35,1,0.0673632163162063,0.954601002749958
"TDRD1",31,5,0.0674459863524088,0.954601002749958
"SAFB",34,2,0.0675712513503154,0.954601002749958
"ALS2CL",35,1,0.0683342574116461,0.954601002749958
"ANKFY1",35,1,0.0689433458626349,0.954601002749958
"RANBP2",31,5,0.0692490566470579,0.954601002749958
"NBEAL1",33,3,0.0694466670642129,0.954601002749958
"DDX46",35,1,0.0700445749204832,0.954601002749958
"SAE1",34,2,0.0705238004484422,0.954601002749958
"FOSL1",35,1,0.0706632781148433,0.954601002749958
"MYO7B",33,3,0.0710021670469747,0.954601002749958
"SORCS2",32,4,0.07127582516995,0.954601002749958
"SAFB2",35,1,0.0716427674849827,0.954601002749958
"PACSIN2",35,1,0.0720986551701467,0.954601002749958
"LRP5",34,2,0.0722148686536773,0.954601002749958
"DHRS9",34,2,0.0731644816568045,0.954601002749958
"RAC1",35,1,0.073236406875814,0.954601002749958
"S1PR5",34,2,0.0743677225528776,0.954601002749958
"PPP1R12B",33,3,0.0745584142828552,0.954601002749958
"HCN1",33,3,0.074911657076963,0.954601002749958
"FGD3",35,1,0.0750860819694249,0.954601002749958
"ZSCAN16",35,1,0.0753071656020792,0.954601002749958
"TSC22D1",34,2,0.0764586812726167,0.954601002749958
"SH2D2A",35,1,0.0774169183182818,0.954601002749958
"FUK",34,2,0.0774748773517777,0.954601002749958
"HIRA",35,1,0.0774754932105829,0.954601002749958
"WDR36",35,1,0.0785973444164394,0.954601002749958
"GPR50",35,1,0.0789759007498598,0.954601002749958
"ADRA2B",35,1,0.079026081120095,0.954601002749958
"TFAP4",34,2,0.0792135182616509,0.954601002749958
"GABRA6",34,2,0.0793127649213681,0.954601002749958
"OPRK1",35,1,0.0793360309561909,0.954601002749958
"GTF3C2",34,2,0.0799711802922467,0.954601002749958
"USP5",35,1,0.0803709376605481,0.954601002749958
"EPHB1",33,3,0.0805819505054284,0.954601002749958
"MSH4",35,1,0.0809042432325771,0.954601002749958
"ATP8A2",33,3,0.0809335493920638,0.954601002749958
"UBA6",35,1,0.0811201517134248,0.954601002749958
"ARHGEF19",35,1,0.0811801105899328,0.954601002749958
"ANKRD62",32,4,0.0812846077087133,0.954601002749958
"NMBR",34,2,0.0814722976048759,0.954601002749958
"MMP3",35,1,0.0826333831492122,0.954601002749958
"VPREB1",34,2,0.0827608108725942,0.954601002749958
"ABCA10",35,1,0.0830495457565963,0.954601002749958
"LRP10",32,4,0.0830809132158402,0.954601002749958
"CCDC132",35,1,0.0834835967517862,0.954601002749958
"MCM2",35,1,0.083632266025572,0.954601002749958
"SNX31",35,1,0.0836588012553884,0.954601002749958
"DMRT2",35,1,0.0842719460693663,0.954601002749958
"POLM",35,1,0.0843670079193881,0.954601002749958
"CHRNA2",35,1,0.0845077832312281,0.954601002749958
"DUSP12",35,1,0.0846381235669494,0.954601002749958
"HSPA8",35,1,0.0849620299577898,0.954601002749958
"ZNF217",35,1,0.0853369751495555,0.954601002749958
"DUOX2",34,2,0.0856973049068989,0.954601002749958
"NSD1",35,1,0.0864774562131893,0.954601002749958
"DDX43",34,2,0.0866594306565451,0.954601002749958
"FRMD7",35,1,0.0871332447046763,0.954601002749958
"SIRT4",35,1,0.0871651373578003,0.954601002749958
"SLC39A2",35,1,0.0874410450240213,0.954601002749958
"ABCC3",33,3,0.0884423732430577,0.954601002749958
"HSD17B2",35,1,0.0884564330968351,0.954601002749958
"CDC25B",35,1,0.0886068293358013,0.954601002749958
"NPY1R",35,1,0.0887054821830082,0.954601002749958
"AFP",34,2,0.0888902083128022,0.954601002749958
"SIGLEC1",35,1,0.0889989647620689,0.954601002749958
"ARHGEF6",35,1,0.0890599451624717,0.954601002749958
"SYTL4",34,2,0.0891459759335162,0.954601002749958
"CNBD1",34,2,0.0891476879078897,0.954601002749958
"ACAD8",35,1,0.0892747983552658,0.954601002749958
"COL9A2",35,1,0.0903016833246824,0.954601002749958
"ERAL1",35,1,0.0907078380999357,0.954601002749958
"SEC31B",35,1,0.0909516359184928,0.954601002749958
"GLRA1",34,2,0.0914576154589674,0.954601002749958
"ABCG2",35,1,0.0915382810846682,0.954601002749958
"PIK3CD",34,2,0.0916933885460946,0.954601002749958
"ATG3",35,1,0.0919914307489757,0.954601002749958
"NOC2L",35,1,0.0920967718785128,0.954601002749958
"TMEM130",34,2,0.0921408675180993,0.954601002749958
"CACNB2",35,1,0.0931109063576183,0.954601002749958
"PTPN12",35,1,0.0932506222015364,0.954601002749958
"FOXM1",35,1,0.093772818490467,0.954601002749958
"LRRTM4",35,1,0.0937919071671863,0.954601002749958
"DLX5",35,1,0.0938709210864376,0.954601002749958
"PELP1",33,3,0.0943497737506036,0.954601002749958
"IL1RL1",32,4,0.0943611693794573,0.954601002749958
"F13B",32,4,0.094795386403976,0.954601002749958
"NUDT19",35,1,0.0948381898656585,0.954601002749958
"LMBR1",34,2,0.0950300750698266,0.954601002749958
"ZNF384",35,1,0.0951268398573461,0.954601002749958
"NWD1",33,3,0.0954505819598222,0.954601002749958
"ARSG",34,2,0.0957162408901901,0.954601002749958
"CADM3",35,1,0.0958321636294223,0.954601002749958
"NSMCE1",35,1,0.095853314841072,0.954601002749958
"HFE",35,1,0.0962507619024764,0.954601002749958
"TMEM68",35,1,0.0963835434160117,0.954601002749958
"LEPRE1",35,1,0.0964204350908914,0.954601002749958
