"","#wt","#mut","pvalue","p_adj"
"RBM15B",35,1,0.00997557773075297,0.934416668057303
"GHSR",35,1,0.0138271972213428,0.934416668057303
"MACF1",31,5,0.0178030944298027,0.934416668057303
"USP9X",35,1,0.0222641344621045,0.934416668057303
"UPK1A",35,1,0.0231070458043983,0.934416668057303
"SIK2",35,1,0.0243285374787425,0.934416668057303
"C1R",35,1,0.0245325913567502,0.934416668057303
"EP300",35,1,0.0246059717748088,0.934416668057303
"ATP2B4",35,1,0.027290137468125,0.934416668057303
"SLC46A3",35,1,0.0279668229768537,0.934416668057303
"ITGA8",35,1,0.0283900518789933,0.934416668057303
"PPM1G",35,1,0.030627139147969,0.934416668057303
"IL20RA",34,2,0.0317381959120527,0.934416668057303
"UBE4A",35,1,0.033170507563845,0.934416668057303
"H6PD",35,1,0.0347044928485315,0.934416668057303
"CD46",34,2,0.0387403589148875,0.934416668057303
"NOTCH4",35,1,0.0413186317797087,0.934416668057303
"RB1CC1",34,2,0.0426352598034048,0.934416668057303
"LRRIQ4",35,1,0.0426651775656272,0.934416668057303
"ERG",35,1,0.0434527973196913,0.934416668057303
"CBLC",34,2,0.0442433743399262,0.934416668057303
"BRWD3",35,1,0.0475067590468877,0.934416668057303
"EPHB2",35,1,0.0478904822077645,0.934416668057303
"PDGFA",34,2,0.0480334981022543,0.934416668057303
"DNMBP",35,1,0.0488330472598082,0.934416668057303
"G2E3",35,1,0.0491627919764822,0.934416668057303
"PPP1R13B",35,1,0.0492142069090098,0.934416668057303
"NTRK1",35,1,0.0494435242447754,0.934416668057303
"LAMA5",35,1,0.0501359164854241,0.934416668057303
"TAOK3",35,1,0.0507142115799726,0.934416668057303
"NBR1",35,1,0.0522695031576342,0.934416668057303
"FCN3",35,1,0.0527558578291552,0.934416668057303
"ADCK5",35,1,0.0557407554541043,0.934416668057303
"NR1D1",35,1,0.0569266864689497,0.934416668057303
"SYK",35,1,0.0627982060629294,0.934416668057303
