"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TP53","TP53",-1,-1,22,"1.77635683940025e-15",1.04201092199219e-11,NA,NA
"NBN","NBN",-1,-1,36,"3.78586051397178e-13",2.22040719144445e-09,NA,NA
"SNRPA","SNRPA",-1,-1,34,"6.78235245743508e-13",3.97717148103993e-09,NA,NA
"CFL1","CFL1",-1,-1,33,"1.0804690475652e-12",6.33479002587477e-09,NA,NA
"CDC37","CDC37",-1,-1,32,"1.13253850742012e-12",6.63894073049674e-09,NA,NA
"CDK1","CDK1",-1,-1,35,"2.60469423807308e-12",1.52661129293463e-08,NA,NA
"PTPN13","PTPN13",-1,-1,32,"3.37463390565063e-12",1.97753546871127e-08,NA,NA
"NR2E3","NR2E3",-1,-1,36,"8.48532355490761e-12",4.97155107082037e-08,NA,NA
"CLP1","CLP1",-1,-1,33,"1.0338285783007e-11",6.0561678116855e-08,NA,NA
"SNRPB2","SNRPB2",-1,-1,36,"1.33180133587985e-11",7.80036042424828e-08,NA,NA
"AGAP2","AGAP2",-1,-1,34,"1.54609658409299e-11",9.05394159644855e-08,NA,NA
"RNF20","RNF20",-1,-1,36,"3.25646176690952e-11",1.90665836452552e-07,NA,NA
"NCBP2","NCBP2",-1,-1,34,"3.58345575435237e-11",2.09775499859788e-07,NA,NA
"ATP5A1","ATP5A1",-1,-1,35,"4.05294686700586e-11",2.37218980125853e-07,NA,NA
"RFC4","RFC4",-1,-1,35,"4.51326753747594e-11",2.64116416293092e-07,NA,NA
"INPP5A","INPP5A",-1,-1,34,"5.05052666355255e-11",2.9550631508446e-07,NA,NA
"SERPINE3","SERPINE3",-1,-1,36,"5.95125060343094e-11",3.4814816030071e-07,NA,NA
"MAP3K3","MAP3K3",-1,-1,34,"6.77419231820409e-11",3.96222508691757e-07,NA,NA
"CD79A","CD79A",-1,-1,34,"7.59018403684308e-11",4.43873962474583e-07,NA,NA
"GABRA6","GABRA6",-1,-1,33,"9.12230291305605e-11",5.33381051326387e-07,NA,NA
"ICK","ICK",-1,-1,36,"1.38418609907376e-10",8.0919519351852e-07,NA,NA
"ARFRP1","ARFRP1",-1,-1,32,"1.53487889065218e-10",8.97136711586199e-07,NA,NA
"PTPN11","PTPN11",-1,-1,34,"2.0566204295136e-10",1.20188897900775e-06,NA,NA
"GPR149","GPR149",-1,-1,31,"2.52864840177836e-10",1.4774892611591e-06,NA,NA
"ACTG1","ACTG1",-1,-1,32,"2.6003399433705e-10",1.51911859491705e-06,NA,NA
"RASGEF1C","RASGEF1C",-1,-1,34,"3.7313263590022e-10",2.17946772629319e-06,NA,NA
"GNRHR","GNRHR",-1,-1,36,"4.89183582530472e-10",2.85683212197796e-06,NA,NA
"WDR24","WDR24",-1,-1,35,"1.04490849306416e-09",6.10122069100163e-06,NA,NA
"STAT3","STAT3",-1,-1,36,"1.15603870920467e-09",6.74895398433686e-06,NA,NA
"FADD","FADD",-1,-1,30,"1.43457745682696e-09",8.37362861549897e-06,NA,NA
"FUBP1","FUBP1",-1,-1,34,"1.46702561210077e-09",8.56156147222009e-06,NA,NA
"PDZK1IP1","PDZK1IP1",-1,-1,35,"1.61715707491794e-09",9.43611153214618e-06,NA,NA
"PLRG1","PLRG1",-1,-1,35,"2.28014884751104e-09",1.33023883763794e-05,NA,NA
"MAP4K1","MAP4K1",-1,-1,35,"2.5769542055798e-09",1.5031373881147e-05,NA,NA
"ATP1A1","ATP1A1",-1,-1,32,"2.57758947519449e-09",1.50325018193343e-05,NA,NA
"MAPKAP1","MAPKAP1",-1,-1,36,"2.67293343014785e-09",1.55858748311921e-05,NA,NA
"CDC40","CDC40",-1,-1,36,"3.0147334628694e-09",1.75758960885286e-05,NA,NA
"KRAS","KRAS",-1,-1,35,"3.03883962438078e-09",1.77133961705156e-05,NA,NA
"CCNA2","CCNA2",-1,-1,36,"3.04354075275626e-09",1.77377555070635e-05,NA,NA
"FGF3","FGF3",-1,-1,29,"3.05213687656902e-09",1.77848015797677e-05,NA,NA
"TNFRSF21","TNFRSF21",-1,-1,36,"3.24669346962736e-09",1.8915236154049e-05,NA,NA
"ZBTB49","ZBTB49",-1,-1,36,"3.89775167697337e-09",2.27044035183699e-05,NA,NA
"TRPM7","TRPM7",-1,-1,33,"3.89950860490984e-09",2.27107381149949e-05,NA,NA
"GPR31","GPR31",-1,-1,34,"4.37443736789334e-09",2.54723487932429e-05,NA,NA
"NACC1","NACC1",-1,-1,34,"4.86257389908928e-09",2.83099052404978e-05,NA,NA
"DGKZ","DGKZ",-1,-1,35,"5.06241115694195e-09",2.94682953445591e-05,NA,NA
"PRKACG","PRKACG",-1,-1,34,"5.26846666293324e-09",3.06624759782715e-05,NA,NA
"TCF7","TCF7",-1,-1,36,"5.33429544979924e-09",3.10402652223818e-05,NA,NA
"CDC27","CDC27",-1,-1,34,"5.9856082312848e-09",3.4824268689615e-05,NA,NA
"LIFR","LIFR",-1,-1,30,"6.37005281856062e-09",3.70545972455671e-05,NA,NA
"PHKB","PHKB",-1,-1,32,"6.98272306642878e-09",4.06115173543498e-05,NA,NA
"PBK","PBK",-1,-1,35,"8.13939593502511e-09",4.7330587362171e-05,NA,NA
"COPS8","COPS8",-1,-1,35,"9.76095515525799e-09",5.675019327267e-05,NA,NA
"TLE6","TLE6",-1,-1,35,"1.10980155065832e-08",6.45127641397682e-05,NA,NA
"NCOA7","NCOA7",-1,-1,33,"1.18092009504522e-08",6.86350759240282e-05,NA,NA
"RAPGEF3","RAPGEF3",-1,-1,31,"1.44277069180632e-08",8.38394049008653e-05,NA,NA
