"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"SOX10","SOX10",-1,-1,33,"1.51618904598043e-17",9.39279113984876e-14,NA,NA
"CLEC1A","CLEC1A",-1,-1,36,"4.5364316850433e-14",2.80986578571582e-10,NA,NA
"PAK1","PAK1",-1,-1,34,"4.10520769071259e-13",2.54235512285831e-09,NA,NA
"ATF1","ATF1",-1,-1,35,"1.82282494299138e-12",1.12869320470026e-08,NA,NA
"FERMT2","FERMT2",-1,-1,36,"2.21575641195799e-12",1.37177479464319e-08,NA,NA
"HSD17B6","HSD17B6",-1,-1,36,"2.62480489938668e-12",1.62475423272036e-08,NA,NA
"GTF2IRD2","GTF2IRD2",-1,-1,35,"2.97799653967552e-12",1.84308205840518e-08,NA,NA
"GTF2IRD2B","GTF2IRD2B",-1,-1,35,"2.97799653967552e-12",1.84308205840518e-08,NA,NA
"GTF2IRD2P1","GTF2IRD2P1",-1,-1,35,"2.97799653967552e-12",1.84308205840518e-08,NA,NA
"TBC1D2B","TBC1D2B",-1,-1,34,"4.45695970829371e-12",2.75707527555049e-08,NA,NA
"BRD2","BRD2",-1,-1,36,"1.30475666529346e-11",8.06991997484005e-08,NA,NA
"HIST1H2BD","HIST1H2BD",-1,-1,35,"1.40786391101509e-11",8.70623042571732e-08,NA,NA
"PKP1","PKP1",-1,-1,34,"1.48467253361907e-11",9.17973027536671e-08,NA,NA
"MAP3K11","MAP3K11",-1,-1,35,"1.63318653299635e-11",1.00963591469834e-07,NA,NA
"AGXT","AGXT",-1,-1,34,"1.82211703792375e-11",1.12625054114067e-07,NA,NA
"NR1D1","NR1D1",-1,-1,34,"2.07177450426855e-11",1.28035664363796e-07,NA,NA
"EMID2","EMID2",-1,-1,33,"2.36109910961067e-11",1.45892313982843e-07,NA,NA
"KDR","KDR",-1,-1,33,"2.82705921165082e-11",1.74655718095788e-07,NA,NA
"SPRYD4","SPRYD4",-1,-1,36,"5.17661060652556e-11",3.19759237165084e-07,NA,NA
"CYP2B6","CYP2B6",-1,-1,35,"6.35857303393802e-11",3.92705470576012e-07,NA,NA
"ULK4","ULK4",-1,-1,34,"9.22466765593343e-11",5.69623227753889e-07,NA,NA
"MAK","MAK",-1,-1,30,"9.65357366011844e-11",5.96011637775713e-07,NA,NA
"FOXJ3","FOXJ3",-1,-1,36,"1.22969814510118e-10",7.59092664970958e-07,NA,NA
"ZRANB2","ZRANB2",-1,-1,35,"2.13631509547934e-10",1.31853367692985e-06,NA,NA
"RHOBTB3","RHOBTB3",-1,-1,35,"2.41236776255514e-10",1.48867214627278e-06,NA,NA
"GJA10","GJA10",-1,-1,34,"4.15872491544977e-10",2.56593327283251e-06,NA,NA
"ESPN","ESPN",-1,-1,33,"5.19909000424843e-10",3.20731862362086e-06,NA,NA
"DUSP10","DUSP10",-1,-1,34,"6.67020521526613e-10",4.11418257677615e-06,NA,NA
"PARP8","PARP8",-1,-1,33,"7.6691076522858e-10",4.72953868916465e-06,NA,NA
"CXCL5","CXCL5",-1,-1,35,"8.81995120667525e-10",5.43838191403596e-06,NA,NA
"FANCE","FANCE",-1,-1,36,"9.05125338309648e-10",5.58009771067898e-06,NA,NA
"KCNB1","KCNB1",-1,-1,33,"9.64908963973025e-10",5.94769885392973e-06,NA,NA
"GSTP1","GSTP1",-1,-1,33,"1.97991651133753e-09",1.22022254593732e-05,NA,NA
"TBC1D9","TBC1D9",-1,-1,35,"2.09168332440613e-09",1.28889526449906e-05,NA,NA
"CBLC","CBLC",-1,-1,33,"2.57739589914397e-09",1.5879336134626e-05,NA,NA
"KCTD4","KCTD4",-1,-1,36,"2.75351806399909e-09",1.69616712742344e-05,NA,NA
"RAG2","RAG2",-1,-1,35,"2.78254156742564e-09",1.71376735137745e-05,NA,NA
"ARHGAP12","ARHGAP12",-1,-1,36,"3.02326609636681e-09",1.86172726214268e-05,NA,NA
"ACAP3","ACAP3",-1,-1,32,"3.1727231519809e-09",1.95344564467464e-05,NA,NA
"PAK6","PAK6",-1,-1,36,"3.58493024057468e-09",2.20688305609777e-05,NA,NA
"OXTR","OXTR",-1,-1,34,"3.90914080005371e-09",2.40607616243306e-05,NA,NA
"PSTPIP1","PSTPIP1",-1,-1,36,"3.94865146812527e-09",2.43000011348429e-05,NA,NA
"CHRNA10","CHRNA10",-1,-1,36,"5.00512676467157e-09",3.07965449830242e-05,NA,NA
"ASCC3","ASCC3",-1,-1,30,"5.51663340891807e-09",3.3938328731664e-05,NA,NA
"GRIK4","GRIK4",-1,-1,28,"5.7713655751967e-09",3.54996696530349e-05,NA,NA
"VSTM1","VSTM1",-1,-1,36,"6.77043173358334e-09",4.16381551615375e-05,NA,NA
"ANGPTL4","ANGPTL4",-1,-1,35,"6.90894693432477e-09",4.2483114699163e-05,NA,NA
"PEA15","PEA15",-1,-1,34,"8.18445508655178e-09",5.03180298721203e-05,NA,NA
"CHST9","CHST9",-1,-1,33,"8.52456743437499e-09",5.24005160191031e-05,NA,NA
"AATK","AATK",-1,-1,31,"9.86173118169424e-09",6.06101998426928e-05,NA,NA
"KIAA0226","KIAA0226",-1,-1,32,"1.10299900576027e-08",6.77792889039686e-05,NA,NA
"TAF3","TAF3",-1,-1,34,"1.27303097007379e-08",7.82150228013337e-05,NA,NA
"CTCF","CTCF",-1,-1,35,"1.41365849133651e-08",8.68410411228018e-05,NA,NA
"ATP1A3","ATP1A3",-1,-1,36,"1.58778817511436e-08",9.7521949715524e-05,NA,NA
"RNF19A","RNF19A",-1,-1,34,"1.73822260730734e-08",0.000106744250314744,NA,NA
"UBN1","UBN1",-1,-1,34,"1.82122877778577e-08",0.000111823446956046,NA,NA
"TEX14","TEX14",-1,-1,33,"1.99495858318122e-08",0.000122470507421495,NA,NA
"CNST","CNST",-1,-1,33,"2.00211709054319e-08",0.000122889947017541,NA,NA
"TAAR2","TAAR2",-1,-1,35,"2.00909318871981e-08",0.000123298048991735,NA,NA
"GUCY2D","GUCY2D",-1,-1,34,"2.10768626524082e-08",0.000129327629235177,NA,NA
"BARX2","BARX2",-1,-1,32,"2.31936915449727e-08",0.000142293297628408,NA,NA
"DUSP4","DUSP4",-1,-1,34,"2.56559671741453e-08",0.000157373702646207,NA,NA
"BAG3","BAG3",-1,-1,36,"2.73242626491328e-08",0.000167579702827131,NA,NA
"IGSF21","IGSF21",-1,-1,34,"3.10845906477002e-08",0.000190610709851698,NA,NA
"LPAR1","LPAR1",-1,-1,34,"3.11641103389835e-08",0.000191067160488308,NA,NA
"UPK1A","UPK1A",-1,-1,33,"3.35633796003967e-08",0.000205743516950432,NA,NA
"SDR9C7","SDR9C7",-1,-1,36,"3.66783632882205e-08",0.000224801688593503,NA,NA
"SH2D4A","SH2D4A",-1,-1,33,"3.6921138540429e-08",0.000226252736975749,NA,NA
"LCN9","LCN9",-1,-1,36,"3.76249847466644e-08",0.000230528281542813,NA,NA
"GABARAP","GABARAP",-1,-1,35,"4.02706201123584e-08",0.000246697818808308,NA,NA
"SLC44A4","SLC44A4",-1,-1,35,"4.14029050781299e-08",0.000253592793603546,NA,NA
"UGT8","UGT8",-1,-1,36,"4.33737741023577e-08",0.000265620992602839,NA,NA
"MADD","MADD",-1,-1,32,"5.309080715864e-08",0.000325075012232353,NA,NA
"FKBP2","FKBP2",-1,-1,35,"5.51341732622253e-08",0.000337531408711343,NA,NA
"SUMO2","SUMO2",-1,-1,33,"5.69884145476251e-08",0.000348826085446013,NA,NA
"TBC1D24","TBC1D24",-1,-1,34,"6.01530183580089e-08",0.000368136472351014,NA,NA
"DET1","DET1",-1,-1,33,"6.03791857117265e-08",0.000369460237370054,NA,NA
"ARHGAP22","ARHGAP22",-1,-1,32,"6.29356952807475e-08",0.000385040583727613,NA,NA
"SLC24A6","SLC24A6",-1,-1,35,"6.5205907802899e-08",0.000398864538030333,NA,NA
"ITIH1","ITIH1",-1,-1,32,"6.61461968691471e-08",0.000404550140051704,NA,NA
"PLEKHA4","PLEKHA4",-1,-1,34,"6.92407614762242e-08",0.000423407256427111,NA,NA
"PHOX2A","PHOX2A",-1,-1,33,"6.9498354147011e-08",0.000424912937254825,NA,NA
"MLNR","MLNR",-1,-1,36,"7.02766028995878e-08",0.00042960087352518,NA,NA
"DUSP27","DUSP27",-1,-1,33,"7.67227325040078e-08",0.000468929341064496,NA,NA
"FCHO2","FCHO2",-1,-1,36,"8.13999737966758e-08",0.000497435239871486,NA,NA
"REXO4","REXO4",-1,-1,36,"8.56840557275511e-08",0.000523529580495337,NA,NA
"CDKL1","CDKL1",-1,-1,36,"8.92250299845831e-08",0.000545075708175818,NA,NA
"LCN6","LCN6",-1,-1,36,"9.22694032081987e-08",0.000563581514795678,NA,NA
"CANT1","CANT1",-1,-1,33,"9.37665681048141e-08",0.0005726324314161,NA,NA
"ARHGAP26","ARHGAP26",-1,-1,35,"1.09556277975541e-07",0.000668950633318653,NA,NA
"LDLR","LDLR",-1,-1,31,"1.13588521939534e-07",0.000693457926440855,NA,NA
"ITGA10","ITGA10",-1,-1,30,"1.22962904152344e-07",0.000750565566945908,NA,NA
"SVEP1","SVEP1",-1,-1,27,"1.25156144955297e-07",0.000763827952662178,NA,NA
"CTBP2","CTBP2",-1,-1,36,"1.28639562783564e-07",0.000784958612105308,NA,NA
"TFEC","TFEC",-1,-1,27,"1.38259681780942e-07",0.000843522318545527,NA,NA
"HSPB1","HSPB1",-1,-1,33,"1.4492582273836e-07",0.000884047518703996,NA,NA
"MITF","MITF",-1,-1,28,"1.76044925582003e-07",0.00107369800112464,NA,NA
"ETV5","ETV5",-1,-1,34,"1.92353425847049e-07",0.0011729711908153,NA,NA
"NAV2","NAV2",-1,-1,33,"1.96263934192823e-07",0.00119662120677364,NA,NA
"C1R","C1R",-1,-1,34,"1.96566330201123e-07",0.00119826834890605,NA,NA
"KIAA1324","KIAA1324",-1,-1,31,"1.97860088512234e-07",0.00120595723948207,NA,NA
"SLC46A3","SLC46A3",-1,-1,34,"2.06658574674515e-07",0.00125937735406649,NA,NA
"UBE2T","UBE2T",-1,-1,34,"2.10084841220443e-07",0.00128004693755616,NA,NA
"CAMK1","CAMK1",-1,-1,36,"2.15042800906109e-07",0.00131004074312002,NA,NA
"PPP1R13B","PPP1R13B",-1,-1,32,"2.24532489229897e-07",0.0013676273918993,NA,NA
"LAMP5","LAMP5",-1,-1,32,"2.25966244938089e-07",0.00137613443167296,NA,NA
"WDFY3","WDFY3",-1,-1,30,"2.2728417809606e-07",0.00138393336042691,NA,NA
