"","#wt","#mut","pvalue","p_adj"
"SOX10",33,3,1.51618904598043e-17,9.92497349498789e-14
"CLEC1A",36,0,4.5364316850433e-14,1.48477409051467e-10
"HTR2C",35,1,2.83279630994606e-13,6.1811615483023e-10
"PAK1",34,2,4.10520769071259e-13,6.71817238585115e-10
"ATF1",35,1,1.82282494299138e-12,1.9493965348716e-09
"FERMT2",36,0,2.21575641195799e-12,1.9493965348716e-09
"HSD17B6",36,0,2.62480489938668e-12,1.9493965348716e-09
"GTF2IRD2",35,1,2.97799653967552e-12,1.9493965348716e-09
"GTF2IRD2B",35,1,2.97799653967552e-12,1.9493965348716e-09
"GTF2IRD2P1",35,1,2.97799653967552e-12,1.9493965348716e-09
"TBC1D2B",34,2,4.45695970829371e-12,2.65229620459006e-09
"BRD2",36,0,1.30475666529346e-11,6.94190457505031e-09
"HIST1H2BD",35,1,1.40786391101509e-11,6.94190457505031e-09
"PKP1",34,2,1.48467253361907e-11,6.94190457505031e-09
"MAP3K11",35,1,1.63318653299635e-11,7.12722602999607e-09
"AGXT",34,2,1.82211703792375e-11,7.45473633140554e-09
"NR1D1",34,2,2.07177450426855e-11,7.97755053231878e-09
"EMID2",33,3,2.36109910961067e-11,8.58653042861747e-09
"MAGEB3",36,0,2.4929328721501e-11,8.58880977952345e-09
"KDR",33,3,2.82705921165082e-11,9.25296479973313e-09
"SPRYD4",36,0,5.17661060652556e-11,1.61362347763411e-08
"CYP2B6",35,1,6.35857303393802e-11,1.89196450364356e-08
"ULK4",34,2,9.22466765593343e-11,2.62542062938001e-08
"MAK",30,6,9.65357366011844e-11,2.6330122157973e-08
"FOXJ3",36,0,1.22969814510118e-10,3.21984162313293e-08
"ZRANB2",35,1,2.13631509547934e-10,5.37858408269529e-08
"RHOBTB3",35,1,2.41236776255514e-10,5.84865161988368e-08
"ARHGEF28",33,3,2.88955576701996e-10,6.75536858961166e-08
"GJA10",34,2,4.15872491544977e-10,9.38724596432214e-08
"ESPN",33,3,5.19909000424843e-10,1.13444143892701e-07
