"","#wt","#mut","pvalue","p_adj"
"TP53",22,14,1.77635683940025e-15,1.1628031870714e-11
"NBN",36,0,3.78475029094716e-13,1.23874877022701e-09
"SNRPA",34,2,6.72351063712995e-13,1.46707002102176e-09
"CFL1",33,3,1.09157127781145e-12,1.49158578821585e-09
"CDC37",32,4,1.13931086787034e-12,1.49158578821585e-09
"CDK1",35,1,2.54485321704578e-12,2.77643485979695e-09
"PTPN13",32,4,3.3708591473669e-12,3.15223485409482e-09
"PPEF1",34,2,3.8924419243358e-12,3.18499060458777e-09
"NR2E3",36,0,8.56337223353876e-12,6.22842607119386e-09
"CLP1",33,3,1.02375885546735e-11,6.70152546788927e-09
"SNRPB2",36,0,1.37803102262524e-11,8.20053734009529e-09
"AGAP2",34,2,1.59217083961494e-11,8.6852919300995e-09
"RNF20",36,0,3.20058424208014e-11,1.61161726528128e-08
"NCBP2",34,2,3.58085783247475e-11,1.67430681224141e-08
"ATP5A1",35,1,4.12595513310521e-11,1.79866121580163e-08
"RFC4",35,1,4.39636105298291e-11,1.79866121580163e-08
"INPP5A",34,2,5.15074649598546e-11,1.9833403860424e-08
"SERPINE3",36,0,6.08720851502653e-11,2.21371482996465e-08
"MAP3K3",34,2,6.72500943821319e-11,2.31694272539703e-08
"CD79A",34,2,7.69344588036347e-11,2.51806483664296e-08
"GABRA6",33,3,9.23835452582011e-11,2.87972708219135e-08
"ICK",36,0,1.38586475628699e-10,4.12357758847938e-08
"ARFRP1",32,4,1.52146739651471e-10,4.33022851199361e-08
"PTPN11",34,2,2.0493662322707e-10,5.58964639851833e-08
"GPR149",31,5,2.54366083751734e-10,6.50294887169714e-08
"ACTG1",32,4,2.58290056009969e-10,6.50294887169714e-08
"RASGEF1C",34,2,3.72306407925294e-10,9.02636202325546e-08
"GNRHR",36,0,4.93856289196515e-10,1.154565453243e-07
"RBMX2",36,0,7.93215160221905e-10,1.79047808234917e-07
"WDR24",35,1,1.05993436250174e-09,2.3127767789788e-07
"STAT3",36,0,1.17694254342382e-09,2.48524706104914e-07
"FUBP1",34,2,1.4061036779367e-09,2.87636083617926e-07
"FADD",30,6,1.48443490832761e-09,2.94457906360986e-07
"PDZK1IP1",35,1,1.62806257364423e-09,3.13449929619857e-07
"PLRG1",35,1,2.24066754039853e-09,4.19068849127108e-07
"ATP1A1",32,4,2.59492305421105e-09,4.65402719099959e-07
"MAP4K1",35,1,2.64645994008106e-09,4.65402719099959e-07
"MAPKAP1",36,0,2.70169620009142e-09,4.65402719099959e-07
"CDC40",36,0,2.96305757707671e-09,4.88154668849929e-07
"CCNA2",36,0,3.03271219248558e-09,4.88154668849929e-07
"KRAS",35,1,3.0574918152837e-09,4.88154668849929e-07
"FGF3",29,7,3.16076542716814e-09,4.89591977765416e-07
"TNFRSF21",36,0,3.21607929176793e-09,4.89591977765416e-07
"ZBTB49",36,0,3.8729246476521e-09,5.76185562352969e-07
"TRPM7",33,3,4.0199058526369e-09,5.84762304696914e-07
"GPR31",34,2,4.32163860253354e-09,6.14987962873577e-07
"NACC1",34,2,4.79450923407398e-09,6.67762924388261e-07
"DGKZ",35,1,5.07187603027148e-09,6.91677093628273e-07
"TCF7",36,0,5.2926260041275e-09,7.00408598506285e-07
"PRKACG",34,2,5.3498976360089e-09,7.00408598506285e-07
"CDC27",34,2,6.09130845763417e-09,7.81837356150456e-07
"LIFR",30,6,6.53530951577608e-09,8.22694924812889e-07
"PHKB",32,4,6.83509504550983e-09,8.44198720149195e-07
"DDX39B",35,1,7.59941243266837e-09,9.04468250622675e-07
"ATP6V1G2-DDX39B",35,1,7.59941243266837e-09,9.04468250622675e-07
"PBK",35,1,8.32374436043892e-09,9.72986260418449e-07
"COPS8",35,1,9.87686943343391e-09,1.13428047914488e-06
"TLE6",35,1,1.10224971372475e-08,1.24402183207624e-06
"NCOA7",33,3,1.17732328330789e-08,1.30623020551414e-06
"RAPGEF3",31,5,1.46308674064954e-08,1.59622763404865e-06
"EEF2",36,0,1.53859265328293e-08,1.65108647678526e-06
"RRH",36,0,1.7590137235679e-08,1.85717803781862e-06
"WDR49",30,6,2.0450762749924e-08,2.12493163430163e-06
"ADRA1A",33,3,2.57790678803715e-08,2.63671528663925e-06
"KDM4A",36,0,2.77599884190849e-08,2.7956443721743e-06
"LCN12",36,0,2.93455243438601e-08,2.90663367955562e-06
"UPF3A",34,2,2.97501461243854e-08,2.90663367955562e-06
"CDH1",36,0,3.05729440652769e-08,2.94309546840151e-06
"GABRR3",35,1,3.12778006827941e-08,2.9673113517329e-06
"GRK7",35,1,3.33974866650877e-08,3.12314211013806e-06
"ARL6",35,1,3.70583123077139e-08,3.39620400246117e-06
"YAP1",32,4,3.73551310994813e-08,3.39620400246117e-06
"FZR1",33,3,3.92177432750884e-08,3.51670339011957e-06
"ARPC1B",31,5,4.22167227842607e-08,3.64191481501189e-06
"NCKIPSD",36,0,4.22274030187353e-08,3.64191481501189e-06
"DCAF4L2",35,1,4.22831539781399e-08,3.64191481501189e-06
"ATG4D",33,3,4.69892748045098e-08,3.99469860870547e-06
"PRPF4",36,0,5.46669164380731e-08,4.58781583337983e-06
"TRPC3",36,0,5.9692931597688e-08,4.94620164858817e-06
"FOXA2",34,2,6.24327818332659e-08,5.10856237350698e-06
"TFAP2E",33,3,6.49112648076766e-08,5.20408002016784e-06
"DHX40",33,3,6.5190125519976e-08,5.20408002016784e-06
"CDC7",34,2,6.7413320370413e-08,5.28346114695274e-06
"HEATR6",34,2,6.77987681552139e-08,5.28346114695274e-06
"RAB6A",33,3,7.04345277657836e-08,5.39857565486241e-06
"ATP10A",33,3,7.09253752395611e-08,5.39857565486241e-06
"PPP1CB",36,0,7.32648538503966e-08,5.50643190590462e-06
"PTGS2",33,3,7.46777895077599e-08,5.50643190590462e-06
"UCKL1",33,3,7.48659394478324e-08,5.50643190590462e-06
"ADRBK1",34,2,7.91968139957078e-08,5.76024827128781e-06
"RARA",35,1,8.07819554582423e-08,5.81097451021598e-06
"WHSC1",33,3,8.45636795032689e-08,6.01688963074346e-06
