"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"IL20RA","IL20RA",2,0.0022429783556317,34,"0.0606420814190151",1,NA,NA
"MACF1","MACF1",5,0.00697713553822299,31,"0.388901527485463",1,NA,NA
"DHX16","DHX16",2,0.0116883633036959,34,"1.16567074792684e-06",1,NA,NA
"ARID2","ARID2",3,0.01575662587729,33,"2.14455721563311e-05",1,NA,NA
"CD46","CD46",2,0.02919432296041,34,"0.433005153521437",1,NA,NA
"TTF1","TTF1",2,0.0303120648610615,34,"2.80347762227073e-07",1,NA,NA
"ATG9A","ATG9A",2,0.0348517189601792,34,"2.51268158341089e-05",1,NA,NA
"SIGLEC12","SIGLEC12",2,0.0366486447632949,34,"8.97518840636824e-06",1,NA,NA
"CACNA1B","CACNA1B",3,0.0392348412308889,33,"7.61509370340585e-05",1,NA,NA
"PTK2B","PTK2B",2,0.0477630256822219,34,"0.00087846246865797",1,NA,NA
"TCF20","TCF20",3,0.0775927364256631,33,"0.109997941778259",1,NA,NA
"ITGB5","ITGB5",2,0.0778578338127734,34,"0.0497108077236641",1,NA,NA
"ARID1B","ARID1B",2,0.0780689326883826,34,"0.298703444627423",1,NA,NA
"ABCA8","ABCA8",2,0.0851009775056522,34,"0.000804389704107789",1,NA,NA
"CYP3A4","CYP3A4",2,0.0878641776952775,34,"0.0472266314550218",1,NA,NA
"GGA2","GGA2",2,0.0923377345674568,34,"0.00235987074676092",1,NA,NA
"TAF1L","TAF1L",2,0.11130666858471,34,"0.875255071948474",1,NA,NA
"CNOT7","CNOT7",3,0.112202724317019,33,"0.0902121126176614",1,NA,NA
"RB1CC1","RB1CC1",2,0.11442709525772,34,"0.978978376777908",1,NA,NA
"IRF1","IRF1",2,0.122039290739016,34,"0.313819552163071",1,NA,NA
"PKHD1","PKHD1",2,0.132596386443695,34,"0.00191210658066587",1,NA,NA
"ZBTB41","ZBTB41",2,0.143223259316609,34,"0.000271612044863367",1,NA,NA
"ALS2","ALS2",2,0.144698510495248,34,"0.107523780494091",1,NA,NA
"MUC12","MUC12",2,0.145809909426632,34,"0.766625329700023",1,NA,NA
"PTPN13","PTPN13",4,0.147157465542347,32,"3.3708591473669e-12",1,NA,NA
"MPL","MPL",2,0.149963238186041,34,"0.0563364919064753",1,NA,NA
"BAI3","BAI3",2,0.156345293541127,34,"0.560574485238229",1,NA,NA
"SMARCC1","SMARCC1",5,0.159303367763846,31,"0.0576522861251701",1,NA,NA
"PDGFA","PDGFA",2,0.16549975360927,34,"0.997211927991508",1,NA,NA
"WDR36","WDR36",3,0.16743155221941,33,"0.00720542798784862",1,NA,NA
"FLOT2","FLOT2",2,0.175247926100996,34,"0.0226798862950855",1,NA,NA
"IRS2","IRS2",2,0.176470819240707,34,"0.169330815762599",1,NA,NA
"RABL2A","RABL2A",2,0.178335935634615,34,"0.000670651426173952",1,NA,NA
"L3MBTL3","L3MBTL3",2,0.178701003956064,34,"0.802879307912787",1,NA,NA
"BRCA2","BRCA2",3,0.181670786778279,33,"0.044159926758724",1,NA,NA
"COL3A1","COL3A1",2,0.191477184943705,34,"0.0593129609086717",1,NA,NA
"MYO9B","MYO9B",3,0.191635483153267,33,"0.00561093813652724",1,NA,NA
"PPP3R1","PPP3R1",5,0.19321986675282,31,"0.481321620611466",1,NA,NA
"CALCR","CALCR",2,0.197622358771468,34,"0.726510412710379",1,NA,NA
"COL4A2","COL4A2",2,0.2023556603783,34,"0.530351555414786",1,NA,NA
"PKD1","PKD1",2,0.205895402376366,34,"0.163147829079013",1,NA,NA
"PSG11","PSG11",2,0.2060159234681,34,"0.822869528899771",1,NA,NA
"AKR1C2","AKR1C2",2,0.212587465254105,34,"0.00430034888751918",1,NA,NA
"DHX36","DHX36",2,0.220347542721983,34,"0.014905496021677",1,NA,NA
"CSMD1","CSMD1",3,0.222895165816624,33,"0.100185668770939",1,NA,NA
"CNBD1","CNBD1",2,0.225373013169935,34,"0.940456303222529",1,NA,NA
"KCNH7","KCNH7",3,0.228583552568673,33,"0.0313937398037477",1,NA,NA
"CDKN2A","CDKN2A",5,0.23106352442748,31,"0.866869291746899",1,NA,NA
"DSC2","DSC2",3,0.234296275593368,33,"0.336709360360184",1,NA,NA
"FOXM1","FOXM1",2,0.236059123692252,34,"0.000426084913569547",1,NA,NA
"CACNA1C","CACNA1C",2,0.241601157861157,34,"0.00403634695008936",1,NA,NA
"NEK10","NEK10",2,0.245385070090105,34,"8.11189154958925e-06",1,NA,NA
"MAP3K2","MAP3K2",2,0.247207495422342,34,"0.000268527082060932",1,NA,NA
"GABBR2","GABBR2",2,0.252606647727403,34,"0.608122578336623",1,NA,NA
"CHKA","CHKA",2,0.254346694720305,34,"0.00445428723085428",1,NA,NA
"BCAS3","BCAS3",3,0.259166252897184,33,"0.872306295591097",1,NA,NA
"ARL13B","ARL13B",2,0.261256186531888,34,"0.965935213460025",1,NA,NA
"TIE1","TIE1",2,0.267531553529136,34,"0.558692031178764",1,NA,NA
"C6","C6",2,0.268090482733232,34,"0.193027579043818",1,NA,NA
"SP140L","SP140L",2,0.270758683432356,34,"0.906412389178437",1,NA,NA
"SSH2","SSH2",2,0.27574982504078,34,"0.902405330821375",1,NA,NA
"HERC5","HERC5",2,0.287209535971487,34,"0.151453268994789",1,NA,NA
"PXK","PXK",2,0.291567075301376,34,"0.993229973862503",1,NA,NA
"MYO10","MYO10",2,0.292442520109738,34,"0.287820823806163",1,NA,NA
"SUZ12","SUZ12",2,0.294666186959042,34,"0.177908852990344",1,NA,NA
"DNAH5","DNAH5",2,0.296310067558374,34,"0.083542262723131",1,NA,NA
"CAMK2B","CAMK2B",2,0.298135412049787,34,"0.0522182474127697",1,NA,NA
"TRIP12","TRIP12",2,0.301862253166908,34,"0.000323147798336088",1,NA,NA
"MAGEE1","MAGEE1",2,0.3059108533123,34,"0.337915986043526",1,NA,NA
"RNF4","RNF4",4,0.30873321635493,32,"0.796936749662073",1,NA,NA
"PIK3R1","PIK3R1",2,0.309745937018529,34,"0.03797623833637",1,NA,NA
"ZNF384","ZNF384",2,0.313786386231493,34,"0.434351122360442",1,NA,NA
"MARCO","MARCO",2,0.31621107628233,34,"0.99960778116505",1,NA,NA
"CPEB2","CPEB2",2,0.318889013811624,34,"0.999995665257359",1,NA,NA
"GRM8","GRM8",2,0.324770981051437,34,"0.000838767368350424",1,NA,NA
"SCN7A","SCN7A",2,0.327917639300963,34,"0.00221413381262947",1,NA,NA
"ANKRD11","ANKRD11",3,0.333240400122951,33,"0.607115805785739",1,NA,NA
"ACOX2","ACOX2",2,0.353146224901697,34,"0.0096673643060553",1,NA,NA
"SLC16A3","SLC16A3",2,0.363792649680442,34,"0.664474191624056",1,NA,NA
"STAT2","STAT2",2,0.365357768087796,34,"0.214682333446496",1,NA,NA
"COL21A1","COL21A1",2,0.383063137979714,34,"0.515248799967182",1,NA,NA
"TTC3","TTC3",2,0.383598095571939,34,"0.865303191046615",1,NA,NA
"ITGB7","ITGB7",2,0.388564149126976,34,"0.000570122203371937",1,NA,NA
"CBLC","CBLC",2,0.389439862223541,34,"0.999999999233192",1,NA,NA
"NCK1","NCK1",3,0.391688981145263,33,"0.0634994177367062",1,NA,NA
"ITGAD","ITGAD",2,0.391734848957069,34,"0.0253204393432971",1,NA,NA
"CACNA1F","CACNA1F",4,0.394225846440999,32,"0.221300189767475",1,NA,NA
"TASP1","TASP1",2,0.418821468902199,34,"0.921843661492244",1,NA,NA
"AHR","AHR",2,0.423236540040684,34,"0.915919309480237",1,NA,NA
"GUCY2C","GUCY2C",2,0.432278139874633,34,"0.417972724567533",1,NA,NA
"CACNA1D","CACNA1D",2,0.444938411096589,34,"0.0463040691109584",1,NA,NA
"ITGAX","ITGAX",4,0.44670711569392,32,"0.996824216330535",1,NA,NA
"CDH6","CDH6",2,0.446813503940648,34,"0.982739110632368",1,NA,NA
"SIGLEC9","SIGLEC9",2,0.454571733388744,34,"0.223995233841603",1,NA,NA
"MAP3K15","MAP3K15",3,0.468925636226419,33,"0.313515852988669",1,NA,NA
"GTF2E1","GTF2E1",2,0.473701774799685,34,"0.650139793430297",1,NA,NA
"PSEN2","PSEN2",2,0.478023032957704,34,"0.000332253357910539",1,NA,NA
"MTMR8","MTMR8",2,0.502288500971221,34,"0.868098706484369",1,NA,NA
"ABCA13","ABCA13",2,0.521304668482361,34,"4.65722299385352e-05",1,NA,NA
"CENPE","CENPE",2,0.521827608189861,34,"0.999896454070944",1,NA,NA
"SELL","SELL",3,0.522787338959533,33,"0.000108343459290561",1,NA,NA
"MYO9A","MYO9A",2,0.523245575338073,34,"0.989373313999849",1,NA,NA
"PRKCA","PRKCA",3,0.539301939311107,33,"0.314664199364803",1,NA,NA
"ABCG8","ABCG8",3,0.540329061661857,33,"0.418206310791459",1,NA,NA
"ROS1","ROS1",2,0.54768284864021,34,"0.999987899980802",1,NA,NA
"CDH12","CDH12",3,0.549449494051697,33,"0.00607857712796867",1,NA,NA
"RAPGEF4","RAPGEF4",2,0.55534971477514,34,"0.146795718422671",1,NA,NA
"FLNA","FLNA",2,0.572678325024247,34,"0.999150913167933",1,NA,NA
"LRP5","LRP5",2,0.579709412853997,34,"2.87804801787361e-05",1,NA,NA
"TBC1D5","TBC1D5",2,0.580129423386481,34,"0.300572747442006",1,NA,NA
"FBXW5","FBXW5",2,0.583551650098265,34,"0.546190395165545",1,NA,NA
"GLRA3","GLRA3",2,0.585570453015065,34,"0.999996779086985",1,NA,NA
"ITSN1","ITSN1",3,0.590138471576401,33,"0.339807694572699",1,NA,NA
"REV3L","REV3L",2,0.595109962362405,34,"0.98410422353405",1,NA,NA
"MCPH1","MCPH1",2,0.602089514165347,34,"0.26890941448794",1,NA,NA
"KLHL14","KLHL14",2,0.613184319984984,34,"0.999825709441925",1,NA,NA
"ZBTB45","ZBTB45",2,0.617204200836225,34,"0.398985739904779",1,NA,NA
"GPR83","GPR83",2,0.620804141145068,34,"0.49700990595609",1,NA,NA
"ATG2B","ATG2B",2,0.623923579069062,34,"0.0398507332708071",1,NA,NA
"RABL2B","RABL2B",2,0.630123802891595,34,"0.000208251846500196",1,NA,NA
"DMXL1","DMXL1",2,0.63353157374489,34,"0.150129181534377",1,NA,NA
"ZNF367","ZNF367",2,0.639522072265094,34,"0.506701571643328",1,NA,NA
"IGSF1","IGSF1",2,0.6434023228931,34,"0.999998747551619",1,NA,NA
"PRDM2","PRDM2",2,0.649503111219582,34,"0.999999753716588",1,NA,NA
"KIAA2026","KIAA2026",2,0.651482503892118,34,"0.69089265811688",1,NA,NA
"DYRK1A","DYRK1A",2,0.663930238621689,34,"0.0920161999138325",1,NA,NA
"COL6A3","COL6A3",3,0.669885663996574,33,"0.0147510336353377",1,NA,NA
"COLEC12","COLEC12",2,0.66997616055973,34,"0.999427285255224",1,NA,NA
"VANGL1","VANGL1",2,0.677318363141957,34,"0.999814465606772",1,NA,NA
"FIGNL1","FIGNL1",2,0.679278645608098,34,"0.0314009153575669",1,NA,NA
"GRIN2A","GRIN2A",3,0.683891699352245,33,"0.501015635271502",1,NA,NA
"ZFHX4","ZFHX4",3,0.686926824457969,33,"0.99997608144503",1,NA,NA
"GTF3C1","GTF3C1",2,0.690914918169339,34,"0.331101476937089",1,NA,NA
"WNT7A","WNT7A",2,0.6940891466877,34,"0.455033715006572",1,NA,NA
"ARID1A","ARID1A",2,0.698434373587683,34,"0.99998882878391",1,NA,NA
"ANKRD36","ANKRD36",3,0.702031465398788,33,"0.987929081838412",1,NA,NA
"ARID4B","ARID4B",3,0.703107904630688,33,"0.71885496691119",1,NA,NA
"ATP13A5","ATP13A5",3,0.70440826933794,33,"0.99829666250567",1,NA,NA
"ANK2","ANK2",4,0.710984152880777,32,"0.467367201849035",1,NA,NA
"COL5A1","COL5A1",2,0.723228354622309,34,"0.369566247324299",1,NA,NA
"PTEN","PTEN",3,0.727389641167655,33,"0.081343577342779",1,NA,NA
"HDAC7","HDAC7",2,0.729293383245427,34,"0.650442705709839",1,NA,NA
"SERPINA9","SERPINA9",2,0.751717340122435,34,"0.868666025167345",1,NA,NA
"BAZ2B","BAZ2B",3,0.768980786047064,33,"0.993409145716014",1,NA,NA
"FNIP1","FNIP1",2,0.779978560475172,34,"0.999272468111665",1,NA,NA
"BPTF","BPTF",3,0.784232577536084,33,"0.994999059639708",1,NA,NA
"PAMR1","PAMR1",2,0.787611679887228,34,"0.393152684741887",1,NA,NA
"ZNF638","ZNF638",2,0.793689838185457,34,"0.0802335662102327",1,NA,NA
