"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"AURKA","AURKA",2,0.00809423116670128,7,"0.307709790766602",1,NA,NA
"CDK14","CDK14",2,0.00942768277166388,7,"0.799733968166383",1,NA,NA
"ARFRP1","ARFRP1",2,0.0102633996815881,7,"0.762887448582267",1,NA,NA
"LRRC40","LRRC40",2,0.014961045292876,7,"0.0497952243415345",1,NA,NA
"LOC643387","LOC643387",2,0.0185635059721261,7,"0.991222187665582",1,NA,NA
"CTH","CTH",2,0.0327667576428509,7,"0.0898172854430293",1,NA,NA
"PDE6G","PDE6G",2,0.0348114046630325,7,"0.0358086702694967",1,NA,NA
"KIF5A","KIF5A",3,0.038799708395402,6,"0.705590836116109",1,NA,NA
"MAP2K3","MAP2K3",2,0.0388305161010413,7,"0.183523479785774",1,NA,NA
"BIRC7","BIRC7",2,0.0397510696201911,7,"0.364999594632356",1,NA,NA
"PTGER3","PTGER3",2,0.0405083187407137,7,"0.660443200834361",1,NA,NA
"APCDD1L","APCDD1L",2,0.0419778395915116,7,"0.714939455497787",1,NA,NA
"SS18L1","SS18L1",2,0.0451559412084068,7,"0.510011613600348",1,NA,NA
"CDK4","CDK4",3,0.0544274541402421,6,"0.117713958135509",1,NA,NA
"ALKBH5","ALKBH5",2,0.0600027975747886,7,"0.200776518852882",1,NA,NA
"METTL1","METTL1",3,0.061112302434445,6,"0.0672354690800295",1,NA,NA
"KLHL30","KLHL30",2,0.0643378470633731,7,"0.491230113206014",1,NA,NA
"COL6A3","COL6A3",2,0.0668549679544563,7,"0.672415713443112",1,NA,NA
"HDAC4","HDAC4",2,0.0712824014235831,7,"0.260441753696467",1,NA,NA
"PMS1","PMS1",2,0.0724986543072824,7,"0.874214205518233",1,NA,NA
"KCNJ2","KCNJ2",2,0.0771662354364827,7,"0.237866479971202",1,NA,NA
"HES6","HES6",2,0.0812389240720571,7,"0.14142403159165",1,NA,NA
"C20orf151","C20orf151",2,0.0849435143737174,7,"0.995079077658399",1,NA,NA
"IRS1","IRS1",2,0.0869382058268169,7,"0.463621855993434",1,NA,NA
"CD8B","CD8B",2,0.0902492301481513,7,"0.684247717045861",1,NA,NA
"GRAPL","GRAPL",2,0.102826668808229,7,"0.000537566300260105",1,NA,NA
"SEMA3E","SEMA3E",2,0.102930595349112,7,"0.143876358351995",1,NA,NA
"TSFM","TSFM",3,0.111851114392735,6,"0.264947819906158",1,NA,NA
"DMTF1","DMTF1",2,0.112354084918843,7,"0.344670515250403",1,NA,NA
"UBE2F","UBE2F",2,0.119337813110694,7,"0.327661769148939",1,NA,NA
"SEMA3D","SEMA3D",2,0.12576488674062,7,"0.02373444375183",1,NA,NA
"STAT1","STAT1",2,0.126724261363762,7,"0.379721729314828",1,NA,NA
"PAX3","PAX3",4,0.127332624764736,5,"0.325081423407303",1,NA,NA
"OMA1","OMA1",2,0.134372078850918,7,"0.497296063766568",1,NA,NA
"COL3A1","COL3A1",2,0.139326210939419,7,"0.188358282657344",1,NA,NA
"ESPNL","ESPNL",2,0.148794426966112,7,"0.0781706731002881",1,NA,NA
"STK25","STK25",3,0.156537823243328,6,"0.96021228933817",1,NA,NA
"MBD6","MBD6",3,0.157890019252562,6,"0.145665826874834",1,NA,NA
"SPG7","SPG7",2,0.164142835099623,7,"0.189104179568702",1,NA,NA
"HS3ST3B1","HS3ST3B1",2,0.169419442831325,7,"0.625577738667503",1,NA,NA
"CBLN4","CBLN4",2,0.169508365243778,7,"0.808038661400138",1,NA,NA
"TNNI3K","TNNI3K",2,0.173534020384136,7,"0.70432876976617",1,NA,NA
"FPGT-TNNI3K","FPGT-TNNI3K",2,0.173534020384136,7,"0.70432876976617",1,NA,NA
"FOXO3B","FOXO3B",2,0.17606271576105,7,"0.673170007132747",1,NA,NA
"TSSK2","TSSK2",2,0.178797078027488,7,"0.294918191779585",1,NA,NA
"GLS","GLS",2,0.184453679195107,7,"0.600557666498963",1,NA,NA
"RAB22A","RAB22A",2,0.185010730339003,7,"0.752189899255734",1,NA,NA
"GLI1","GLI1",3,0.185446823888394,6,"0.119902419175279",1,NA,NA
"MC3R","MC3R",2,0.185987590804579,7,"0.398400992178673",1,NA,NA
"ING5","ING5",3,0.191012280562555,6,"0.00012710632331102",1,NA,NA
"FARP2","FARP2",3,0.198834037274083,6,"0.998200982462571",1,NA,NA
"MSR1","MSR1",2,0.200961342318766,7,"0.604552315731581",1,NA,NA
"CABLES2","CABLES2",2,0.201094427255837,7,"0.540936266039706",1,NA,NA
"CRYZ","CRYZ",2,0.203036419007806,7,"0.380156363849061",1,NA,NA
"PCM1","PCM1",2,0.218770329934402,7,"0.86036881230846",1,NA,NA
"METTL21B","METTL21B",3,0.223347594578572,6,"0.307883114128746",1,NA,NA
