"","#wt","#mut","pvalue","p_adj"
"LOC643387",7,2,0.00224716573447151,0.817123781287162
"C20orf151",7,2,0.00708841302771535,0.817123781287162
"CEBPZ",8,1,0.00810597078105492,0.817123781287162
"FARP2",6,3,0.0103272356273103,0.817123781287162
"PARK2",8,1,0.0106908985784888,0.817123781287162
"CDK14",7,2,0.011705930686592,0.817123781287162
"PWP2",8,1,0.0135828650366796,0.817123781287162
"ARFRP1",7,2,0.0141068752515065,0.817123781287162
"MPP7",8,1,0.0155784049309465,0.817123781287162
"MBTPS1",8,1,0.015588001413401,0.817123781287162
"STK38L",8,1,0.0167929033808033,0.817123781287162
"HAT1",8,1,0.0178954915795737,0.817123781287162
"NCOA5",8,1,0.0200501380035618,0.817123781287162
"PTGFR",8,1,0.0236367600924604,0.817123781287162
"DDX39B",8,1,0.0250243309193867,0.817123781287162
"ATP6V1G2-DDX39B",8,1,0.0250243309193867,0.817123781287162
"CECR2",8,1,0.0287845201710266,0.817123781287162
"PMS1",7,2,0.0297190753803516,0.817123781287162
"KIAA0226",8,1,0.0298334074070782,0.817123781287162
"STK25",6,3,0.0313011335613862,0.817123781287162
"EPHA6",8,1,0.0325844411247572,0.817123781287162
"NHLH2",8,1,0.0328214596373594,0.817123781287162
"CDK6",8,1,0.0345593854625754,0.817123781287162
"APCDD1L",7,2,0.0353572706785155,0.817123781287162
"GABARAPL1",8,1,0.0380572815911772,0.817123781287162
"CD300E",8,1,0.0381452551061372,0.817123781287162
"CLCA2",8,1,0.038327146382144,0.817123781287162
"KIF5A",6,3,0.038837362665681,0.817123781287162
"DSEL",8,1,0.0392221076544528,0.817123781287162
"CDC7",8,1,0.0394704704776492,0.817123781287162
"ATP6V1G2",8,1,0.0396451627491514,0.817123781287162
"ZDHHC19",8,1,0.0399040673996224,0.817123781287162
"POLE",8,1,0.0404320709538863,0.817123781287162
"PTGER3",7,2,0.0405406595437689,0.817123781287162
"LYZ",8,1,0.0406421156170671,0.817123781287162
"WDR53",8,1,0.0420877976781584,0.817123781287162
"SP140",8,1,0.0453489331788484,0.817123781287162
"BAIAP2",7,2,0.0478702233409634,0.817123781287162
"RBL2",8,1,0.0483309197484069,0.817123781287162
"COL9A1",8,1,0.0484908748800332,0.817123781287162
"EIF4H",8,1,0.0494835609347772,0.817123781287162
"AURKA",7,2,0.0501114301265962,0.817123781287162
"AANAT",8,1,0.0513030827686969,0.817123781287162
"CXCR7",8,1,0.0528042090193981,0.817123781287162
"COL27A1",8,1,0.0533288877121013,0.817123781287162
"STRN",8,1,0.0550672212521294,0.817123781287162
"LLGL2",8,1,0.055242999058827,0.817123781287162
"NRIP1",8,1,0.0563131174250303,0.817123781287162
"COL6A3",7,2,0.0564602304645459,0.817123781287162
"KCNA2",8,1,0.0566531746407636,0.817123781287162
"MYO3B",8,1,0.0576615597413459,0.817123781287162
"NADSYN1",8,1,0.0583736688842307,0.817123781287162
"TEP1",8,1,0.0587511337944716,0.817123781287162
"CBLN2",8,1,0.0592901947470123,0.817123781287162
"FOXF1",8,1,0.0620973274986553,0.817123781287162
"SETBP1",8,1,0.0630721679665897,0.817123781287162
"OGG1",8,1,0.0638555374674899,0.817123781287162
"SS18L1",7,2,0.0638613285622889,0.817123781287162
"P2RY6",8,1,0.0642748380338549,0.817123781287162
"ARPC4",8,1,0.0652649834911826,0.817123781287162
"SDHA",8,1,0.065989935847902,0.817123781287162
