"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MCF2L2","MCF2L2",2,0.00412575506655486,7,"0.633038961130245",1,NA,NA
"SLC1A5","SLC1A5",2,0.00791580195055594,7,"0.398140694189798",1,NA,NA
"ACTA2","ACTA2",2,0.00839665420110983,7,"0.101260704984572",1,NA,NA
"TRPM7","TRPM7",2,0.0200062838674699,7,"0.609991510146247",1,NA,NA
"GABRD","GABRD",2,0.0212327479872739,7,"0.288658529544235",1,NA,NA
"UBR5","UBR5",4,0.0301957165007012,5,"0.888180514033176",1,NA,NA
"FGFR1OP","FGFR1OP",2,0.0710646298606244,7,"0.918901163293788",1,NA,NA
"NCOA1","NCOA1",2,0.0751435043019943,7,"0.454476354368793",1,NA,NA
"TJP1","TJP1",3,0.0899995239733808,6,"0.830535948008177",1,NA,NA
"ATG2A","ATG2A",2,0.09734888967191,7,"0.785261470745299",1,NA,NA
"BPTF","BPTF",3,0.0995520353879238,6,"0.606908353527595",1,NA,NA
"CACNA1F","CACNA1F",2,0.11109393519846,7,"0.236826062451441",1,NA,NA
"ALPK3","ALPK3",2,0.115386846692795,7,"0.64930471530262",1,NA,NA
"INPP5E","INPP5E",2,0.138195779639349,7,"0.0771519322937127",1,NA,NA
"TADA2B","TADA2B",2,0.142141361833248,7,"0.0136223273582013",1,NA,NA
"C11orf24","C11orf24",3,0.15216532664804,6,"0.475121345133997",1,NA,NA
"JAK1","JAK1",2,0.162210439343377,7,"0.761855188323242",1,NA,NA
"TP53","TP53",5,0.166390635069618,4,"0.974683559442",1,NA,NA
"RDH13","RDH13",2,0.166482798371297,7,"0.587703723101335",1,NA,NA
"CR1","CR1",3,0.173382266861762,6,"0.13231280546134",1,NA,NA
"KIF1A","KIF1A",2,0.194651203757199,7,"0.855712752603209",1,NA,NA
"HOXC12","HOXC12",2,0.1971061068396,7,"0.768720006812069",1,NA,NA
"IGSF9B","IGSF9B",2,0.197993637836139,7,"0.232768695354809",1,NA,NA
