"","#wt","#mut","pvalue","p_adj"
"BRIP1",8,1,0.00687196767038612,0.87236392507932
"NRAS",8,1,0.00922138899890898,0.87236392507932
"UBR5",5,4,0.0132609471542099,0.87236392507932
"GTF3C2",8,1,0.0144522024817587,0.87236392507932
"ENOX1",8,1,0.0160141207423218,0.87236392507932
"MCF2L2",7,2,0.0168266340830693,0.87236392507932
"TP53",4,5,0.0177028402503711,0.87236392507932
"HIVEP3",8,1,0.0194161423267282,0.87236392507932
"FGFR1OP",7,2,0.0221431042567817,0.87236392507932
"PPP3CC",8,1,0.0222275234764783,0.87236392507932
"RUFY1",8,1,0.0270616706143141,0.87236392507932
"TRPM7",7,2,0.0315200176386223,0.87236392507932
"NBN",8,1,0.0332409864022616,0.87236392507932
"CLPTM1L",8,1,0.0367936472474087,0.87236392507932
"PDE7B",8,1,0.0378176603615974,0.87236392507932
"XAF1",8,1,0.0384879932698461,0.87236392507932
"SLC1A5",7,2,0.0390213958023472,0.87236392507932
"APTX",8,1,0.0390958688781677,0.87236392507932
"EP400",8,1,0.0394148093559582,0.87236392507932
"NAT10",8,1,0.0397669848294383,0.87236392507932
"LRWD1",8,1,0.0407469396770026,0.87236392507932
"DNAH5",8,1,0.0408489862552633,0.87236392507932
"CHRFAM7A",8,1,0.0436482372043445,0.87236392507932
"SVEP1",8,1,0.0447640516993565,0.87236392507932
"DHX36",8,1,0.0448402427164205,0.87236392507932
"KLHL35",8,1,0.0450380872188632,0.87236392507932
"TJP1",6,3,0.0465484238241912,0.87236392507932
"LGR5",8,1,0.0482673571265195,0.87236392507932
"PGAM4",8,1,0.0522346225554468,0.87236392507932
"PXDN",8,1,0.0536585806897906,0.87236392507932
"ATG2A",7,2,0.0559389590408619,0.87236392507932
"PIP5K1B",8,1,0.0570533454545297,0.87236392507932
"LRFN2",8,1,0.0582570602466731,0.87236392507932
"JARID2",8,1,0.0585114154248254,0.87236392507932
"KIAA1875",8,1,0.0586460957507295,0.87236392507932
"NCBP2",8,1,0.0595917562622192,0.87236392507932
