"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"AHCTF1","AHCTF1",-1,-1,9,"2.7763198406916e-09",1.62858921854969e-05,NA,NA
"TP53","TP53",-1,-1,3,"3.81787806924549e-08",0.000223918548761248,NA,NA
"EEF2","EEF2",-1,-1,8,"4.32046752818493e-08",0.000253352215852764,NA,NA
"TFRC","TFRC",-1,-1,8,"4.49089041509865e-07",0.00263300905037234,NA,NA
"RTN4RL2","RTN4RL2",-1,-1,9,"3.68672418504801e-06",0.0216115771727514,NA,NA
"GKN1","GKN1",-1,-1,9,"4.83269823126076e-06",0.0283244443334193,NA,NA
"WDR70","WDR70",-1,-1,9,"9.81281222545149e-06",0.0575030796411457,NA,NA
"NFKBIA","NFKBIA",-1,-1,9,"1.10971287629047e-05",0.0650180774218586,NA,NA
"UBA2","UBA2",-1,-1,9,"3.25820462463433e-05",0.190865626911079,NA,NA
"FUBP1","FUBP1",-1,-1,8,"3.52987839996599e-05",0.206744977886008,NA,NA
"MCM6","MCM6",-1,-1,7,"7.02645053232143e-05",0.411468943172743,NA,NA
"CDC40","CDC40",-1,-1,9,"7.96111301861746e-05",0.466123167240052,NA,NA
"SSRP1","SSRP1",-1,-1,9,"9.58356753328893e-05",0.561022043398734,NA,NA
"SART3","SART3",-1,-1,9,"0.000103524957154377",0.605931574224569,NA,NA
"POU2F2","POU2F2",-1,-1,9,"0.000108610576842416",0.635589095681818,NA,NA
"WEE1","WEE1",-1,-1,8,"0.000113662079776922",0.665036828774771,NA,NA
"TTK","TTK",-1,-1,8,"0.000130327434445299",0.762415491504999,NA,NA
"SERPINB5","SERPINB5",-1,-1,8,"0.000132874603805955",0.777183557661031,NA,NA
"CEBPZ","CEBPZ",-1,-1,7,"0.000133933539285924",0.783243337744084,NA,NA
"WDR7","WDR7",-1,-1,8,"0.000153101209523832",0.895182772085846,NA,NA
"ATP6V1B2","ATP6V1B2",-1,-1,8,"0.000157517558761033",0.920847648516999,NA,NA
"GNL3","GNL3",-1,-1,8,"0.000164066259806694",0.958967288570126,NA,NA
"PSIP1","PSIP1",-1,-1,6,"0.000186202117105627",1,NA,NA
"EIF3I","EIF3I",-1,-1,9,"0.000191063189788454",1,NA,NA
"PNN","PNN",-1,-1,9,"0.000194791985113629",1,NA,NA
"TNFAIP3","TNFAIP3",-1,-1,9,"0.000215352067225894",1,NA,NA
"LLGL2","LLGL2",-1,-1,8,"0.000262613044810456",1,NA,NA
"USP5","USP5",-1,-1,9,"0.000297746626979678",1,NA,NA
"GAK","GAK",-1,-1,9,"0.000323432580169869",1,NA,NA
"DROSHA","DROSHA",-1,-1,8,"0.000361293778040062",1,NA,NA
"RANBP2","RANBP2",-1,-1,7,"0.000397431171244911",1,NA,NA
"ISG20","ISG20",-1,-1,9,"0.000480476137742158",1,NA,NA
"ACTR8","ACTR8",-1,-1,8,"0.000508776087788765",1,NA,NA
"DHX37","DHX37",-1,-1,9,"0.000524679132517858",1,NA,NA
"RNF43","RNF43",-1,-1,9,"0.000527556991205214",1,NA,NA
"GNL2","GNL2",-1,-1,9,"0.00056144738656827",1,NA,NA
"RPAP3","RPAP3",-1,-1,9,"0.000570655033478085",1,NA,NA
"DDX54","DDX54",-1,-1,8,"0.000636454396353514",1,NA,NA
"MKI67IP","MKI67IP",-1,-1,8,"0.000644463983091259",1,NA,NA
"MED19","MED19",-1,-1,9,"0.000651706017156695",1,NA,NA
"MPP7","MPP7",-1,-1,8,"0.00065391929234293",1,NA,NA
"DMAP1","DMAP1",-1,-1,9,"0.0006619504573665",1,NA,NA
"PSMC4","PSMC4",-1,-1,9,"0.00069013796488282",1,NA,NA
"LCN9","LCN9",-1,-1,9,"0.000693013871470027",1,NA,NA
"SUPT16H","SUPT16H",-1,-1,8,"0.000709425274625142",1,NA,NA
"FIP1L1","FIP1L1",-1,-1,8,"0.000717048620611505",1,NA,NA
"TMEM65","TMEM65",-1,-1,8,"0.000723851658197994",1,NA,NA
"COPS8","COPS8",-1,-1,6,"0.000757940248821587",1,NA,NA
"KIF18A","KIF18A",-1,-1,9,"0.000793726398959471",1,NA,NA
"IRX2","IRX2",-1,-1,9,"0.000830140837841498",1,NA,NA
