"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"JPH4","JPH4",-1,-1,9,"2.01750404498241e-05",0.118346787278668,NA,NA
"CLEC7A","CLEC7A",-1,-1,8,"3.77887088654694e-05",0.221630777495978,NA,NA
"FXR2","FXR2",-1,-1,8,"8.10603723526129e-05",0.475338023475722,NA,NA
"WDR65","WDR65",-1,-1,9,"8.14070400506967e-05",0.477289475817235,NA,NA
"ADRA2C","ADRA2C",-1,-1,9,"9.36254885918481e-05",0.548832614125414,NA,NA
"RPH3A","RPH3A",-1,-1,9,"0.000119119324215635",0.698158359227837,NA,NA
"HMGA2","HMGA2",-1,-1,8,"0.00014901759509635",0.873243107264611,NA,NA
"LGSN","LGSN",-1,-1,9,"0.000149708680632842",0.877143159827821,NA,NA
"ARHGEF26","ARHGEF26",-1,-1,8,"0.000162608697427627",0.952561749531039,NA,NA
"WISP1","WISP1",-1,-1,9,"0.000199893041554397",1,NA,NA
"EPB41","EPB41",-1,-1,9,"0.000256697342276194",1,NA,NA
"ALKBH2","ALKBH2",-1,-1,9,"0.000293789048622834",1,NA,NA
"PAAF1","PAAF1",-1,-1,8,"0.000386673490459765",1,NA,NA
"MCF2L","MCF2L",-1,-1,6,"0.000404060521293248",1,NA,NA
"ABCA10","ABCA10",-1,-1,9,"0.000452742251294857",1,NA,NA
"DGKG","DGKG",-1,-1,9,"0.000457627637794792",1,NA,NA
"TTC19","TTC19",-1,-1,8,"0.000486492270817823",1,NA,NA
"ARHGEF38","ARHGEF38",-1,-1,9,"0.00057619862683498",1,NA,NA
"ING5","ING5",-1,-1,5,"0.000616929200740367",1,NA,NA
"NR1H3","NR1H3",-1,-1,9,"0.000639401572384718",1,NA,NA
"SETD7","SETD7",-1,-1,9,"0.000681056979445985",1,NA,NA
"SPOP","SPOP",-1,-1,9,"0.000749412423347596",1,NA,NA
"ZCCHC3","ZCCHC3",-1,-1,8,"0.000796643998704267",1,NA,NA
"PYGO2","PYGO2",-1,-1,9,"0.000863872009914005",1,NA,NA
"DSG1","DSG1",-1,-1,8,"0.000951308349011146",1,NA,NA
"PTPN3","PTPN3",-1,-1,8,"0.000976833504091243",1,NA,NA
"ANO1","ANO1",-1,-1,7,"0.00105762393858752",1,NA,NA
"CACNG4","CACNG4",-1,-1,8,"0.00114902706472004",1,NA,NA
"KBTBD13","KBTBD13",-1,-1,9,"0.00118572737482566",1,NA,NA
"CLDN11","CLDN11",-1,-1,9,"0.00124134457805738",1,NA,NA
"POU3F2","POU3F2",-1,-1,9,"0.00129831843499881",1,NA,NA
"CHST3","CHST3",-1,-1,9,"0.00161711275646454",1,NA,NA
"DYNC1I1","DYNC1I1",-1,-1,8,"0.00167724665558471",1,NA,NA
"ELL2","ELL2",-1,-1,9,"0.00178170703986982",1,NA,NA
"CCNE1","CCNE1",-1,-1,9,"0.00204742046569419",1,NA,NA
"CCNI","CCNI",-1,-1,9,"0.00216990355322524",1,NA,NA
"DUSP27","DUSP27",-1,-1,8,"0.00223400975698457",1,NA,NA
"NMUR2","NMUR2",-1,-1,9,"0.00230690604919527",1,NA,NA
"MTAP","MTAP",-1,-1,5,"0.00231256616084699",1,NA,NA
"TCF21","TCF21",-1,-1,8,"0.00242076697244058",1,NA,NA
"BNC1","BNC1",-1,-1,9,"0.00248624870196679",1,NA,NA
"IL17RA","IL17RA",-1,-1,8,"0.00260545733930829",1,NA,NA
"GRAPL","GRAPL",-1,-1,6,"0.00261514754421073",1,NA,NA
"ZNF408","ZNF408",-1,-1,8,"0.00271339810729887",1,NA,NA
"TPM3","TPM3",-1,-1,9,"0.00280431144237242",1,NA,NA
"NR3C2","NR3C2",-1,-1,8,"0.00288837616530657",1,NA,NA
"TBC1D9","TBC1D9",-1,-1,9,"0.00294362622558248",1,NA,NA
"ATOH1","ATOH1",-1,-1,9,"0.00304865915240583",1,NA,NA
"RASGEF1A","RASGEF1A",-1,-1,9,"0.00321425453392323",1,NA,NA
"PRDM7","PRDM7",-1,-1,8,"0.00324789074152076",1,NA,NA
"IL7R","IL7R",-1,-1,9,"0.00333472967365981",1,NA,NA
"FRAS1","FRAS1",-1,-1,9,"0.00338858238816289",1,NA,NA
"PIM3","PIM3",-1,-1,8,"0.00343243478254059",1,NA,NA
"CBX4","CBX4",-1,-1,8,"0.00345640655062495",1,NA,NA
"DDX25","DDX25",-1,-1,9,"0.00347822253047993",1,NA,NA
"MMP14","MMP14",-1,-1,9,"0.00353514197678738",1,NA,NA
"BCKDK","BCKDK",-1,-1,9,"0.00357535129590198",1,NA,NA
"BRD3","BRD3",-1,-1,9,"0.00357972170613978",1,NA,NA
"OR4N5","OR4N5",-1,-1,8,"0.00367142312858826",1,NA,NA
"SLC47A2","SLC47A2",-1,-1,6,"0.0037451545995155",1,NA,NA
"MARCO","MARCO",-1,-1,9,"0.00375037348910761",1,NA,NA
"AKT1","AKT1",-1,-1,9,"0.00388319792532193",1,NA,NA
"PIGG","PIGG",-1,-1,9,"0.00405032931149736",1,NA,NA
"ALX4","ALX4",-1,-1,9,"0.00432028100946879",1,NA,NA
"LAMP3","LAMP3",-1,-1,9,"0.00435767189224265",1,NA,NA
"DLG1","DLG1",-1,-1,7,"0.00442648044078573",1,NA,NA
"KRTAP5-5","KRTAP5-5",-1,-1,9,"0.0045193571190706",1,NA,NA
"CBX5","CBX5",-1,-1,9,"0.00461500376153812",1,NA,NA
"FUK","FUK",-1,-1,7,"0.00465190464049559",1,NA,NA
"KIAA1549","KIAA1549",-1,-1,8,"0.00499428517643051",1,NA,NA
"KIF5C","KIF5C",-1,-1,8,"0.0051369218968522",1,NA,NA
"GDEP","GDEP",-1,-1,9,"0.00514046141687086",1,NA,NA
"KAT2B","KAT2B",-1,-1,9,"0.00531891521948919",1,NA,NA
"POU3F3","POU3F3",-1,-1,9,"0.00534505490429294",1,NA,NA
"RASD2","RASD2",-1,-1,9,"0.00545855037117829",1,NA,NA
"TNF","TNF",-1,-1,7,"0.00563746781089487",1,NA,NA
"BCAS3","BCAS3",-1,-1,9,"0.00573738378236345",1,NA,NA
"SMAD6","SMAD6",-1,-1,9,"0.00575541130113271",1,NA,NA
"KIF27","KIF27",-1,-1,8,"0.00590117361550525",1,NA,NA
"CBX8","CBX8",-1,-1,8,"0.00592104036169278",1,NA,NA
"DHX57","DHX57",-1,-1,7,"0.00597669527395929",1,NA,NA
"EGFL7","EGFL7",-1,-1,9,"0.00602142476353563",1,NA,NA
"TCF23","TCF23",-1,-1,9,"0.00605732788487625",1,NA,NA
"ARHGEF19","ARHGEF19",-1,-1,9,"0.00615222338984375",1,NA,NA
"CCNO","CCNO",-1,-1,9,"0.00645718166545701",1,NA,NA
"DHX33","DHX33",-1,-1,8,"0.00650461432304439",1,NA,NA
"ABCB10","ABCB10",-1,-1,8,"0.00664089809363804",1,NA,NA
"EHMT1","EHMT1",-1,-1,8,"0.00674316854900428",1,NA,NA
"TRIM13","TRIM13",-1,-1,7,"0.00687225051103743",1,NA,NA
"MAST1","MAST1",-1,-1,8,"0.00716561392403553",1,NA,NA
"SH3BP4","SH3BP4",-1,-1,7,"0.00718838408461825",1,NA,NA
"SLC44A5","SLC44A5",-1,-1,7,"0.0071999777755838",1,NA,NA
"CFHR4","CFHR4",-1,-1,9,"0.00722032218362145",1,NA,NA
"MLLT1","MLLT1",-1,-1,8,"0.00730912175683803",1,NA,NA
"CPEB3","CPEB3",-1,-1,9,"0.00734657372367776",1,NA,NA
"UHRF2","UHRF2",-1,-1,6,"0.00740515459672158",1,NA,NA
"HES2","HES2",-1,-1,9,"0.00748698684411834",1,NA,NA
