"","#wt","#mut","pvalue","p_adj"
"JPH4",9,0,2.00614413405949e-05,0.0663735740405903
"UTY",9,0,2.02791243631501e-05,0.0663735740405903
"CLEC7A",8,1,3.82370856545092e-05,0.0834333208981391
"WDR65",9,0,7.96224423223071e-05,0.0964556930058316
"FXR2",8,1,8.0627015136915e-05,0.0964556930058316
"ADRA2C",9,0,8.98381798530473e-05,0.0964556930058316
"RPH3A",9,0,0.000114015700369242,0.0964556930058316
"GRPR",9,0,0.000133311827606818,0.0964556930058316
"LGSN",9,0,0.000141153089278372,0.0964556930058316
"HMGA2",8,1,0.00015077957114302,0.0964556930058316
"ARHGEF26",8,1,0.000162085643608944,0.0964556930058316
"WISP1",9,0,0.000194509143339961,0.106104737691949
"EPB41",9,0,0.000250335921375155,0.126053764717059
"ALKBH2",9,0,0.000286876470056223,0.134135240927717
"PAAF1",8,1,0.000390922963578048,0.163800703606053
"MCF2L",6,3,0.000403015454464443,0.163800703606053
"ABCA10",9,0,0.000445785473963489,0.163800703606053
"DGKG",9,0,0.00045844349650231,0.163800703606053
"TTC19",8,1,0.000475437422626796,0.163800703606053
"ARHGEF38",9,0,0.000579484116820988,0.187464443957256
"ING5",5,4,0.000601398307837211,0.187464443957256
"NR1H3",9,0,0.000640529445036053,0.190586624873
"SETD7",9,0,0.000671668026972389,0.191162561067881
"SPOP",9,0,0.000728731675298872,0.198761564437767
"ZCCHC3",8,1,0.000785590586995615,0.205699039298932
"PYGO2",9,0,0.000869445563398208,0.218899640692487
"DSG1",8,1,0.000965150885110931,0.230150481386222
"PTPN3",8,1,0.000984450577270733,0.230150481386222
"ANO1",7,2,0.00105434824825021,0.237991849415375
"CACNG4",8,1,0.00116374468289466,0.24501257525483
"KBTBD13",9,0,0.00117340147370816,0.24501257525483
"CLDN11",9,0,0.00119773944518096,0.24501257525483
"POU3F2",9,0,0.00125621100034635,0.249186582068703
"CES1",6,3,0.00158841034188733,0.277982634822996
"MAGEB2",9,0,0.00162799114518278,0.277982634822996
"CHST3",9,0,0.00162966645614671,0.277982634822996
"HMGN2",9,0,0.00164550261581013,0.277982634822996
"TRMT5",9,0,0.00164550261581013,0.277982634822996
"DYNC1I1",8,1,0.00165617518455497,0.277982634822996
"ELL2",9,0,0.00178663752563345,0.292383231069914
"CCNE1",9,0,0.00201397531482487,0.32154835148399
"CCNI",9,0,0.00209312516287667,0.32622850752835
"DUSP27",8,1,0.00219237041331252,0.332649441540715
"MTAP",5,4,0.00226758081511724,0.332649441540715
"NMUR2",9,0,0.00228677434606358,0.332649441540715
"TCF21",8,1,0.0023928101810947,0.333057429173968
"BNC1",9,0,0.00243885868573383,0.333057429173968
"RRAGB",9,0,0.00244221762914,0.333057429173968
"IL17RA",8,1,0.00252089950327932,0.336771594866662
"GRAPL",6,3,0.00260351250148385,0.340851856694266
"TPM3",9,0,0.0027070125489364,0.344078482522234
"ZNF408",8,1,0.0027332846152087,0.344078482522234
"NR3C2",8,1,0.00284078387502802,0.350863608413838
"TBC1D9",9,0,0.0029396418761902,0.356244368835045
"ATOH1",9,0,0.00302100137499189,0.356244368835045
"RASGEF1A",9,0,0.00317794334303207,0.356244368835045
"PRDM7",8,1,0.00324619104364186,0.356244368835045
"FRAS1",9,0,0.0032942525321605,0.356244368835045
"IL7R",9,0,0.00331440438407122,0.356244368835045
"CBX4",8,1,0.00336644378758705,0.356244368835045
"PIM3",8,1,0.00338541026307733,0.356244368835045
"DDX25",9,0,0.00340402073314278,0.356244368835045
