"","#wt","#mut","pvalue","p_adj"
"AHCTF1",9,0,2.83959133984268e-09,1.85879649106102e-05
"TP53",3,6,3.80116372822314e-08,9.94522523019015e-05
"EEF2",8,1,4.557848409803e-08,9.94522523019015e-05
"TFRC",8,1,4.94191091826579e-07,0.000808743721774196
"RGPD5",9,0,2.49122566287063e-06,0.00232965188416445
"RGPD8",9,0,2.49122566287063e-06,0.00232965188416445
"RGPD6",9,0,2.49122566287063e-06,0.00232965188416445
"RTN4RL2",9,0,3.86887844372463e-06,0.00316570978657768
"GKN1",9,0,5.02900775323223e-06,0.00342685087895123
"PABPN1",8,1,5.23503036808926e-06,0.00342685087895123
"WDR70",9,0,1.04189691669809e-05,0.00620023383336882
"NFKBIA",9,0,1.14782126044988e-05,0.0062613649757541
"UBA2",9,0,3.42687225791671e-05,0.0167222117403856
"FUBP1",8,1,3.57639725581116e-05,0.0167222117403856
"MCM6",7,2,7.27415273589216e-05,0.0315815813446061
"CDC40",9,0,8.15976886303638e-05,0.0315815813446061
"RGPD4",7,2,9.63989158462297e-05,0.0315815813446061
"SSRP1",9,0,9.64062736519278e-05,0.0315815813446061
"SMN1",9,0,9.6491235394458e-05,0.0315815813446061
"SMN2",9,0,9.6491235394458e-05,0.0315815813446061
"SART3",9,0,0.00010445900947853,0.0318209837855339
"RGPD3",7,2,0.000108296229314186,0.0318209837855339
"POU2F2",9,0,0.000111806084183819,0.0318209837855339
"WEE1",8,1,0.000118012202189988,0.0321878281473192
"SERPINB5",8,1,0.000133702078580211,0.0345631082642175
"TTK",8,1,0.000138724950635383,0.0345631082642175
"CEBPZ",7,2,0.000142560941511438,0.0345631082642175
"ATP6V1B2",8,1,0.000159673142813732,0.0356934521917828
"RGPD2",7,2,0.000159769628568895,0.0356934521917828
"WDR7",8,1,0.000163581357432552,0.0356934521917828
"GNL3",8,1,0.000171818868464513,0.0362814939667323
"PSIP1",6,3,0.000194027058317614,0.0379476319835034
"EIF3I",9,0,0.000196179859776824,0.0379476319835034
"PNN",9,0,0.000197100441099773,0.0379476319835034
"TNFAIP3",9,0,0.000222686191417742,0.0416486802577297
"LLGL2",8,1,0.000272243025357,0.0495028567774145
"USP5",9,0,0.000306827608826832,0.0542836088481201
"GAK",9,0,0.000324260462028048,0.055858131169358
"DROSHA",8,1,0.000371901442354772,0.0624222267090856
"RANBP2",7,2,0.000391677001759683,0.0640979413379721
"ISG20",9,0,0.00049809253152322,0.0795247246670975
"ACTR8",8,1,0.000527410741067658,0.0817229479033117
"RNF43",9,0,0.000544619330770546,0.0817229479033117
"DHX37",9,0,0.000549314040291127,0.0817229479033117
"GNL2",9,0,0.000579403317907512,0.0837562495664732
"RPAP3",9,0,0.000610663627905517,0.0837562495664732
"DDX54",8,1,0.000665455971076145,0.0837562495664732
"DDX39B",7,2,0.000673244736499878,0.0837562495664732
"ATP6V1G2-DDX39B",7,2,0.000673244736499878,0.0837562495664732
"MPP7",8,1,0.000676855867560389,0.0837562495664732
"MKI67IP",8,1,0.000678764200978565,0.0837562495664732
"MED19",9,0,0.000690527322448564,0.0837562495664732
"DMAP1",9,0,0.000695328114963312,0.0837562495664732
"PSMC4",9,0,0.000699857049846098,0.0837562495664732
"LCN9",9,0,0.000707956795136688,0.0837562495664732
"SUPT16H",8,1,0.000725992997333003,0.0837562495664732
"FIP1L1",8,1,0.000731566953957152,0.0837562495664732
