"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"RGPD1","RGPD1",2,0.000129844587979266,7,"0.000163505933616914",0.0203856003127448,NA,NA
"DNMBP","DNMBP",2,0.00700630484339537,7,"0.542303273783854",1,NA,NA
"NAV2","NAV2",2,0.0488072546046268,7,"0.780667434259834",1,NA,NA
"MAP1B","MAP1B",2,0.086302462466769,7,"0.348461022185691",1,NA,NA
"CHRM5","CHRM5",2,0.0994946649797566,7,"0.503207104334146",1,NA,NA
"LPHN3","LPHN3",2,0.127455824065375,7,"0.0187942934069042",1,NA,NA
"PDGFRB","PDGFRB",2,0.218403268603133,7,"0.877516571788864",1,NA,NA
"TTN","TTN",2,0.241335793345353,7,"0.990880505978113",1,NA,NA
"CAPNS1","CAPNS1",2,0.322313628960077,7,"0.112131282088431",1,NA,NA
"LRRK2","LRRK2",2,0.401486882234323,7,"0.269362323522526",1,NA,NA
"DHX16","DHX16",2,0.621136608656625,7,"0.275414470038574",1,NA,NA
"ELF4","ELF4",3,0.671760063831848,6,"0.378315198533574",1,NA,NA
"LIG4","LIG4",2,0.695699907391126,7,"0.200506504795982",1,NA,NA
"GABRG2","GABRG2",2,0.704512444327001,7,"0.595421543576201",1,NA,NA
"MYO7B","MYO7B",2,0.72089382054851,7,"0.0476962364505853",1,NA,NA
"LRP2","LRP2",2,0.768536099102619,7,"0.0970377903110226",1,NA,NA
"TRO","TRO",2,0.835216219713075,7,"0.237172574453777",1,NA,NA
"NFATC2","NFATC2",2,0.857185191200793,7,"0.462387540795954",1,NA,NA
"SMO","SMO",2,0.982265798021225,7,"0.921302417835514",1,NA,NA
"BTN3A3","BTN3A3",2,0.99415274313732,7,"0.849677603818301",1,NA,NA
"RRAS","RRAS",1,0.00122195699377992,8,"0.394970538029622",0.190625291029668,NA,NA
"RGPD3","RGPD3",1,0.00840081720547559,8,"2.11778711133315e-05",1,NA,NA
"MUSK","MUSK",1,0.0119138764580076,8,"0.0714171783367928",1,NA,NA
"PDE10A","PDE10A",1,0.0195509617895988,8,"0.307227540721292",1,NA,NA
"SMARCB1","SMARCB1",1,0.0206201537360216,8,"0.271638631020586",1,NA,NA
"PRDM6","PRDM6",1,0.0233695044553943,8,"0.0109089489324059",1,NA,NA
"PLK4","PLK4",1,0.0301665104005104,8,"0.29544426713561",1,NA,NA
"PBX3","PBX3",1,0.0467389855700634,8,"0.826430675426",1,NA,NA
"ATP13A2","ATP13A2",1,0.0507102699424907,8,"0.313734008707141",1,NA,NA
"TBX20","TBX20",1,0.0600275140470321,8,"0.828080444782049",1,NA,NA
"OR2L13","OR2L13",1,0.0625477522064571,8,"0.0492858893751584",1,NA,NA
"BIRC3","BIRC3",1,0.0646097652459867,8,"0.497289027651805",1,NA,NA
"HPSE","HPSE",1,0.0695738707115211,8,"0.809488873244194",1,NA,NA
"MARK3","MARK3",1,0.0740033802038439,8,"0.0347241132376244",1,NA,NA
"ZFHX3","ZFHX3",1,0.0772109560431122,8,"0.432838213207811",1,NA,NA
"NBR1","NBR1",1,0.0840843328415443,8,"0.681128414041478",1,NA,NA
"SETX","SETX",1,0.0911104513466082,8,"0.540226583549344",1,NA,NA
"NCKIPSD","NCKIPSD",1,0.0916450473198195,8,"0.470750727602047",1,NA,NA
"CFTR","CFTR",1,0.0924087558529786,8,"0.405873370327773",1,NA,NA
"NLRP3","NLRP3",1,0.0975256030251447,8,"0.411941292436691",1,NA,NA
"PLEKHH2","PLEKHH2",1,0.100580437157781,8,"0.643731032306971",1,NA,NA
"MINK1","MINK1",1,0.116389203794175,8,"0.734144400476001",1,NA,NA
"MAP4K5","MAP4K5",1,0.133572645790255,8,"0.331840960688486",1,NA,NA
"CDK13","CDK13",1,0.141973439655005,8,"0.432575037305599",1,NA,NA
"MLH3","MLH3",1,0.152359875705969,8,"0.419600607509448",1,NA,NA
"ATRX","ATRX",1,0.154574630452131,8,"0.650340190275634",1,NA,NA
"ATP6AP1","ATP6AP1",1,0.180693462286173,8,"0.00272819053034612",1,NA,NA
"LRRK1","LRRK1",1,0.18298458788565,8,"0.707926820244475",1,NA,NA
"MBD4","MBD4",1,0.190392560657294,8,"0.310268821254671",1,NA,NA
"CTSB","CTSB",1,0.198411500255464,8,"0.0298143155306088",1,NA,NA
"DDX54","DDX54",1,0.215824054811492,8,"0.000665455971076145",1,NA,NA
"FIGNL1","FIGNL1",1,0.220024451743867,8,"0.281072132239822",1,NA,NA
"GPR89A","GPR89A",1,0.223384769289767,8,"0.310541082306248",1,NA,NA
"UBR5","UBR5",1,0.229570808408356,8,"0.749838807025209",1,NA,NA
"ABCG5","ABCG5",1,0.234305801313943,8,"0.622717630396746",1,NA,NA
"ABCA9","ABCA9",1,0.238142525015641,8,"0.29110563111327",1,NA,NA
"PKLR","PKLR",1,0.257980765841875,8,"0.859549994452673",1,NA,NA
"MYT1","MYT1",1,0.263250354720673,8,"0.139217933705924",1,NA,NA
"HCLS1","HCLS1",1,0.264166804960464,8,"0.906815793085574",1,NA,NA
"MAST2","MAST2",1,0.28478693535576,8,"0.0318249159504329",1,NA,NA
"HMGB1","HMGB1",1,0.294638775433513,8,"0.171422927928672",1,NA,NA
"PKHD1L1","PKHD1L1",1,0.300824814552102,8,"0.114517359984854",1,NA,NA
"ZNF165","ZNF165",1,0.30571254916432,8,"0.300414906790167",1,NA,NA
"HTR4","HTR4",1,0.309378350123484,8,"0.713294946386011",1,NA,NA
"EHMT1","EHMT1",1,0.311363992309698,8,"0.993310013225812",1,NA,NA
"RDH10","RDH10",1,0.314342455589018,8,"0.19414816315237",1,NA,NA
"STK38L","STK38L",1,0.336948228170528,8,"0.100611376343625",1,NA,NA
"EP400","EP400",1,0.338552016090162,8,"0.00627188626827302",1,NA,NA
"LRP5","LRP5",1,0.347792889341388,8,"0.87780884105472",1,NA,NA
"FRMPD1","FRMPD1",1,0.372412742610071,8,"0.906928675523596",1,NA,NA
"NPSR1","NPSR1",1,0.379486793467491,8,"0.488445791646247",1,NA,NA
"TP53BP1","TP53BP1",1,0.388880408425348,8,"0.634026926974099",1,NA,NA
