"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"LRRC7",4,1,0.0109726609121283,0.521508925564796,7.31472245208199e-19,"down"
"BMP4",4,1,0.0128767635941925,0.521508925564796,0.0751321655535949,"up"
"PIP4K2A",4,1,0.040184328078813,0.543673679765334,0.363238936361991,"up"
"ARAP2",4,1,0.045227449829936,0.543673679765334,1.49272931343449e-18,"down"
"PPP3R1",4,1,0.0459470273710817,0.543673679765334,0.000529339647023042,"up"
"LAMA5",4,1,0.0514943846017475,0.543673679765334,6.84698871742793e-20,"up"
"HERC1",4,1,0.0569841422812295,0.543673679765334,8.29221661260356e-16,"down"
"SP140L",4,1,0.0698507009691025,0.543673679765334,0.0690724536112052,"down"
"ABCC2",4,1,0.0705032764402358,0.543673679765334,1.29638643169562e-09,"down"
"ZMYND12",4,1,0.0716929450994312,0.543673679765334,2.56201072673798e-08,"down"
"GRB14",4,1,0.0783138516567592,0.543673679765334,6.6754473317723e-11,"down"
"NAT8",4,1,0.0805442488541235,0.543673679765334,0.0565437185732338,"down"
"HPD",4,1,0.0992825188673193,0.617997116349376,1.97978877427214e-05,"down"
"EP400",4,1,0.106814316406065,0.617997116349376,0.00364696615164758,"down"
"LRRN2",4,1,0.130800529167025,0.62311421321766,0.370036647657904,"up"
"PHOX2B",4,1,0.134198639105916,0.62311421321766,0.139796843096236,"down"
"RASGRF2",4,1,0.142730548520525,0.62311421321766,0.00184087588659447,"down"
"PRDM9",4,1,0.151274777034676,0.62311421321766,0.120320491212079,"down"
"RASGRP3",4,1,0.153504941122884,0.62311421321766,0.912464296565098,"up"
"ANKRD11",4,1,0.153855361288311,0.62311421321766,2.36180959205547e-06,"down"
"CPS1",4,1,0.163662759439777,0.631270643553426,8.21779445796818e-12,"down"
"CELF3",4,1,0.171628872535626,0.631906303426623,0.0115530717308203,"down"
"WDR33",4,1,0.19410769204502,0.649181305072521,0.00124031966327953,"down"
"PTPRA",4,1,0.199470496683125,0.649181305072521,0.0729692206202758,"up"
"PWWP2A",4,1,0.200364600331025,0.649181305072521,0.0593514125132992,"up"
"TGS1",4,1,0.294768095911616,0.911548179797682,7.95408413800824e-11,"down"
"MACF1",4,1,0.303849393265894,0.911548179797682,0.0107804734441134,"up"
"KIF19",4,1,0.351218303319144,0.922351167404351,2.859396914621e-12,"down"
"BCLAF1",4,1,0.356431672672984,0.922351167404351,9.81403840094679e-08,"down"
"ATN1",4,1,0.363846571547188,0.922351167404351,0.11149205120316,"down"
"CAPRIN2",4,1,0.368186512249249,0.922351167404351,6.23395797132401e-08,"down"
"GTF2E1",4,1,0.37308070680839,0.922351167404351,4.15140260744702e-13,"down"
"TFAP2D",4,1,0.382140123792127,0.922351167404351,0.0353010649294022,"down"
"PRDM2",4,1,0.402645439618055,0.922351167404351,5.09637336728952e-13,"down"
"BIRC3",4,1,0.409482290318044,0.922351167404351,0.159870818183059,"down"
