"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TFRC","TFRC",-1,-1,5,"1.4215332422296e-07",0.00093025135371505,1.24401290831749e-13,0.999999999999876
"RASL10A","RASL10A",-1,-1,5,"1.60182142772136e-06",0.0104807176015809,0.593368259546629,0.406631740453371
"ILF3","ILF3",-1,-1,5,"2.43676181654884e-06",0.0159412958038625,0.582881594602088,0.417118405397912
"EPHB2","EPHB2",-1,-1,5,"4.41774446380272e-06",0.0288964665377336,0.00027788915324735,0.999722110846753
"RRP9","RRP9",-1,-1,5,"7.74199967579214e-06",0.0506326778796806,1,5.62062724464354e-20
"ELL3","ELL3",-1,-1,5,"1.56945117022467e-05",0.102626412020991,0.253507417628743,0.746492582371257
"AATF","AATF",-1,-1,5,"1.73813185497806e-05",0.113639060678466,0.999980767135248,1.9232864752441e-05
"GUCA1B","GUCA1B",-1,-1,5,"1.86243604980429e-05",0.121747444575706,8.30852238412642e-06,0.999991691477616
"RFC4","RFC4",-1,-1,4,"2.10037299308574e-05",0.137280378828084,0.843321518419107,0.156678481580893
"FCGRT","FCGRT",-1,-1,5,"2.57318403077411e-05",0.168157576411088,1.00484830295902e-09,0.999999998995152
"TTC28","TTC28",-1,-1,5,"2.60455628897649e-05",0.170181707921724,0.000877369270682873,0.999122630729317
"RAD23B","RAD23B",-1,-1,5,"6.16567197867512e-05",0.402803350366846,1,8.19721472671299e-98
"MYLIP","MYLIP",-1,-1,5,"7.25981705477219e-05",0.474211250017719,0.0165484491139506,0.983451550886049
"ATP1A1","ATP1A1",-1,-1,5,"8.70082651884818e-05",0.568250979945975,1.2328413820301e-11,0.999999999987672
"WDR3","WDR3",-1,-1,5,"8.75058329413703e-05",0.571413089107148,9.84497090197986e-06,0.999990155029098
"KPNA6","KPNA6",-1,-1,5,"0.000134901571759438",0.880772362017371,0.999998913590592,1.08640940756234e-06
"CFL1","CFL1",-1,-1,5,"0.000137506685950917",0.897643645887586,0.999999970045011,2.99549890534004e-08
"FAM20B","FAM20B",-1,-1,5,"0.000161995025491413",1,0.00276794547945625,0.997232054520544
"PPP4C","PPP4C",-1,-1,5,"0.000163359990672185",1,1,1.51523789907832e-21
"ATP4A","ATP4A",-1,-1,5,"0.000186632802098741",1,8.38964384002452e-07,0.999999161035616
"CATSPERG","CATSPERG",-1,-1,5,"0.00019311999870919",1,0.999999894304943,1.05695057468614e-07
"CHRNA5","CHRNA5",-1,-1,5,"0.000224053518633194",1,0.99994165120487,5.83487951298905e-05
"KCNJ1","KCNJ1",-1,-1,5,"0.000225290598960926",1,0.647197122804578,0.352802877195422
"SDCBP","SDCBP",-1,-1,4,"0.000244485255616822",1,4.53085143945636e-09,0.999999995469149
"DSC2","DSC2",-1,-1,5,"0.000300908699639946",1,1,1.71753186602803e-37
"CAMK2G","CAMK2G",-1,-1,5,"0.000302923405789746",1,7.36309885714682e-06,0.999992636901143
"HNRNPA2B1","HNRNPA2B1",-1,-1,4,"0.000310447829714344",1,3.49688409535238e-08,0.999999965031159
"KEAP1","KEAP1",-1,-1,5,"0.000357163574433494",1,0.999999979924961,2.00750386006778e-08
"ATP2B2","ATP2B2",-1,-1,5,"0.000394204411079957",1,0.744825782474348,0.255174217525652
"GTPBP6","GTPBP6",-1,-1,5,"0.000404281547245922",1,0.000284408552143018,0.999715591447857
"DCLRE1B","DCLRE1B",-1,-1,5,"0.000463455051869621",1,0.373304622337105,0.626695377662895
"ATG4A","ATG4A",-1,-1,5,"0.000504245150168448",1,3.86166933048586e-05,0.999961383306695
"PPARGC1B","PPARGC1B",-1,-1,5,"0.000601786908359769",1,0.601568105796209,0.398431894203791
"PRDX1","PRDX1",-1,-1,5,"0.000640039278400062",1,5.01787116019006e-08,0.999999949821288
"PARP9","PARP9",-1,-1,5,"0.000643312710528976",1,1,8.22033447790706e-26
