"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MST1","MST1",-1,-1,5,"4.48679431916108e-06",0.0293615820245901,0.986484082635109,0.0135159173648907
"MST1P2","MST1P2",-1,-1,5,"4.48679431916108e-06",0.0293615820245901,0.998339929931529,0.00166007006847088
"LRRK2","LRRK2",-1,-1,5,"5.40274855508029e-06",0.0353447810473353,1,5.76994983277389e-73
"PSIP1","PSIP1",-1,-1,5,"1.40833586439653e-05",0.092119248890177,4.18415420961989e-06,0.99999581584579
"IL8","IL8",-1,-1,5,"1.71544115886523e-05",0.112189851789786,NA,NA
"CCNO","CCNO",-1,-1,5,"3.68133490873288e-05",0.240722489682043,0.987442925555176,0.0125570744448244
"NME7","NME7",-1,-1,5,"5.49928533151077e-05",0.359543274974174,1.8358592625092e-11,0.999999999981641
"CAPZA2","CAPZA2",-1,-1,5,"5.69106191437404e-05",0.372024717342631,0.894885397005568,0.105114602994432
"TMEM241","TMEM241",-1,-1,5,"7.9119813015866e-05",0.5171270978717,0.582995637890937,0.417004362109063
"TLN1","TLN1",-1,-1,5,"8.16042454178993e-05",0.533283743805972,0.663317851387048,0.336682148612952
"PAX8","PAX8",-1,-1,5,"8.33482010840907e-05",0.544597145883449,3.56218894236871e-12,0.999999999996438
"WNT11","WNT11",-1,-1,5,"8.96035945317358e-05",0.58538028307583,1.60307578523801e-14,0.999999999999984
"RHOB","RHOB",-1,-1,5,"9.41839735935439e-05",0.615209715513029,5.92765990491113e-06,0.999994072340095
"RNF43","RNF43",-1,-1,5,"0.000123443444357936",0.80620913510168,0.999999798549821,2.01450178787976e-07
"NFIA","NFIA",-1,-1,5,"0.000134197983922391",0.876312835013213,4.40164552822248e-15,0.999999999999996
"SMYD4","SMYD4",-1,-1,5,"0.000153734458931178",1,1.81888903949052e-11,0.999999999981811
"EGLN1","EGLN1",-1,-1,5,"0.000154387868474235",1,0.00604817651151108,0.993951823488489
"ACVR2A","ACVR2A",-1,-1,5,"0.000161587320201732",1,0.239981868107626,0.760018131892374
