"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"MST1",5,0,4.48679431916108e-06,0.0117851955148151,0.0270318347297814,"up"
"MST1P2",5,0,4.48679431916108e-06,0.0117851955148151,0.00332014013694176,"up"
"LRRK2",5,0,5.40274855508029e-06,0.0117851955148151,1.15398996655478e-72,"up"
"PSIP1",5,0,1.40833586439653e-05,0.0224516938872281,8.36830841923978e-06,"down"
"IL8",5,0,1.71544115886523e-05,0.0224516938872281,NA,NA
"CCNO",5,0,3.68133490873288e-05,0.0401510927379133,0.0251141488896487,"up"
"NME7",5,0,5.49928533151077e-05,0.0465528864595796,3.6717185250184e-11,"down"
"CAPZA2",5,0,5.69106191437404e-05,0.0465528864595796,0.210229205988864,"up"
"TMEM241",5,0,7.9119813015866e-05,0.0474107633227809,0.834008724218125,"up"
"TLN1",5,0,8.16042454178993e-05,0.0474107633227809,0.673364297225904,"up"
"PAX8",5,0,8.33482010840907e-05,0.0474107633227809,7.12437788473742e-12,"down"
"WNT11",5,0,8.96035945317358e-05,0.0474107633227809,3.20615157047602e-14,"down"
"RHOB",5,0,9.41839735935439e-05,0.0474107633227809,1.18553198098223e-05,"down"
"RNF43",5,0,0.000123443444357936,0.0577009928484524,4.02900357575953e-07,"up"
"NFIA",5,0,0.000134197983922391,0.0585461071192084,8.80329105644496e-15,"down"
"SMYD4",5,0,0.000153734458931178,0.0587459679666741,3.63777807898104e-11,"down"
"EGLN1",5,0,0.000154387868474235,0.0587459679666741,0.0120963530230222,"down"
"ACVR2A",5,0,0.000161587320201732,0.0587459679666741,0.479963736215252,"down"
"COL1A2",5,0,0.000176937806108724,0.0600757428407955,1.6940377686694e-09,"up"
"WBP2",5,0,0.000183605571029326,0.0600757428407955,1.10250910861716e-29,"up"
"WWTR1",5,0,0.000199786345724207,0.0622572307818672,2.82553855366267e-06,"down"
"BHLHA15",5,0,0.000224583028709547,0.0642513950955248,3.64462139058879e-05,"down"
"PARP4",5,0,0.000225822446087572,0.0642513950955248,4.62033570936419e-45,"up"
"CLTCL1",5,0,0.000243945185649693,0.0659131886160536,8.79738363325324e-16,"down"
"KCNK5",5,0,0.000253919614580453,0.0659131886160536,4.52843167647586e-40,"up"
"HIF1AN",5,0,0.000268266291334868,0.0659131886160536,0.00286043829948118,"down"
"PSTPIP2",5,0,0.000271952336893864,0.0659131886160536,6.22724806838477e-07,"up"
"TMEM55A",5,0,0.000307212117974139,0.0717998607150988,0.0680759944801207,"down"
"PKN3",5,0,0.00037598510026954,0.0832666061663941,6.37937843873573e-31,"up"
"TWIST1",4,1,0.000381723439026868,0.0832666061663941,0.00457129576717778,"up"
"IP6K2",5,0,0.000394481590316584,0.0832737911945718,2.29870564554376e-05,"up"
"WDR41",5,0,0.000482365186641078,0.0864947162575576,5.24941096638872e-12,"up"
"PARP12",5,0,0.000490891962187062,0.0864947162575576,6.40097082579413e-10,"up"
"FFAR1",5,0,0.000491222306630835,0.0864947162575576,0.000650768328777735,"up"
"PRDM14",4,1,0.000497334777960634,0.0864947162575576,0.000656679162359201,"up"
"KBTBD7",5,0,0.000498200726958719,0.0864947162575576,2.69667482124465e-11,"down"
"OR6F1",5,0,0.000506950321245461,0.0864947162575576,0.231840747097401,"down"
"KCND3",5,0,0.000507628424703337,0.0864947162575576,3.32750357891216e-12,"down"
"NR6A1",5,0,0.000515478901901703,0.0864947162575576,0.00037534417063076,"down"
"LRG1",5,0,0.000629089684524606,0.0990167284655282,1.05994682612824e-78,"up"
"SSTR1",5,0,0.00063556008065852,0.0990167284655282,0.0462293591197495,"down"
"TTC16",5,0,0.000649073436301101,0.0990167284655282,1.95355072817138e-06,"down"
"DUSP18",5,0,0.000656957497287497,0.0990167284655282,8.05587331899935e-08,"down"
"SLC37A3",5,0,0.000665760399218099,0.0990167284655282,0.00469740031156895,"down"
"OMD",5,0,0.00072553275337468,0.104911599541296,5.34263172123467e-13,"down"
"ELL2",5,0,0.000751631688730626,0.104911599541296,3.74765145708477e-07,"down"
"DIRAS2",5,0,0.000753491011375442,0.104911599541296,1.04258608299636e-19,"down"
"C5AR1",5,0,0.00078518565445145,0.107046977556881,0.569966009087514,"up"
"TLE1",5,0,0.000851261162951033,0.113535599758231,1.02470205724487e-18,"down"
"ARPC4",5,0,0.000878799385300784,0.113535599758231,0.000160001373468513,"up"
"PTPN1",5,0,0.000896837405541667,0.113535599758231,8.94674346971558e-06,"down"
"VSTM2B",5,0,0.00091137167973877,0.113535599758231,0.150740403196229,"down"
"RASL11A",5,0,0.00091952732078029,0.113535599758231,0.0138834999358016,"down"
"DPYD",4,1,0.00102130182954812,0.120127121308045,2.78738619530533e-08,"up"
"RPS6KA2",5,0,0.00102559869772157,0.120127121308045,5.0841393043428e-27,"up"
"MAP2K1",5,0,0.00102798270068009,0.120127121308045,2.15984428610611e-08,"up"
"NMBR",5,0,0.00108094169351751,0.124099691971554,2.59627910335788e-10,"down"
"ATRIP",5,0,0.0011206362835405,0.126438686887742,4.18938887035839e-05,"down"
"VIMP",5,0,0.00122190702404188,0.133676863226211,NA,NA
"LETM1",5,0,0.00123428693113471,0.133676863226211,1.03024128599041e-06,"up"
"ARPC4-TTLL3",5,0,0.00124607100501205,0.133676863226211,0.0727562422424852,"up"
"MYO3B",5,0,0.0013377187761514,0.139718979315826,4.97421057908483e-39,"up"
"BCAN",4,1,0.00137908940162185,0.139718979315826,0.0886268532746321,"up"
