"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"PKP4","PKP4",2,0.933273484714368,3,"0.937048124577588",1,1,2.94651489530556e-24
"EP400","EP400",1,0.00219644748536496,4,"0.259565457601025",0.175715798829197,0.00182348307582379,0.998176516924176
"SP140L","SP140L",1,0.00705995524709002,4,"0.45668425417298",0.557736464520112,0.0345362268056026,0.965463773194397
"LRRC7","LRRC7",1,0.020003161387165,4,"0.964472472327186",1,3.657361226041e-19,1
"PIP4K2A","PIP4K2A",1,0.0564010259265267,4,"0.790732787166919",1,0.818380531819004,0.181619468180996
"ABCC2","ABCC2",1,0.0602447659317612,4,"0.599839820719022",1,6.4819321584781e-10,0.999999999351807
"BMP4","BMP4",1,0.0898180308699927,4,"0.986403486573437",1,0.962433917223203,0.0375660827767975
"PPP3R1","PPP3R1",1,0.100486370476357,4,"0.834029775498816",1,0.999735330176488,0.000264669823511521
"NAT8","NAT8",1,0.102055243947882,4,"0.643480584342324",1,0.0282718592866169,0.971728140713383
"LAMA5","LAMA5",1,0.112331365186365,4,"0.823158523289394",1,1,3.42349435871396e-20
"GRB14","GRB14",1,0.119077521113919,4,"0.703066994547575",1,3.33772366588615e-11,0.999999999966623
"GTF2E1","GTF2E1",1,0.121901493362663,4,"0.0282425290693956",1,2.07570130372351e-13,0.999999999999792
"RASGRF2","RASGRF2",1,0.122764373772001,4,"0.415216905240948",1,0.000920437943297234,0.999079562056703
"ATN1","ATN1",1,0.137982446445786,4,"0.0411461731934608",1,0.0557460256015798,0.94425397439842
"ARAP2","ARAP2",1,0.159868231373549,4,"0.921295996155027",1,7.46364656717247e-19,1
"BCLAF1","BCLAF1",1,0.159868231373549,4,"0.0641185996354281",1,4.9070192004734e-08,0.999999950929808
"HPD","HPD",1,0.181754016301312,4,"0.74129193357312",1,9.89894387136069e-06,0.999990101056129
"PRDM9","PRDM9",1,0.191481031824762,4,"0.560110457639454",1,0.0601602456060396,0.93983975439396
"ANKRD11","ANKRD11",1,0.200658941633179,4,"0.576642350754397",1,1.18090479602774e-06,0.999998819095204
"CELF3","CELF3",1,0.212817711037491,4,"0.548716765508264",1,0.00577653586541017,0.99422346413459
"ARHGEF19","ARHGEF19",1,0.217289000431336,4,"0.0570454540334944",1,1,2.90433316361843e-20
"KIF19","KIF19",1,0.223172275949551,4,"0.153429851003672",1,1.4296984573105e-12,0.99999999999857
"ZMYND12","ZMYND12",1,0.225760917177566,4,"0.91234077132602",1,1.28100536336899e-08,0.999999987189946
"COL6A3","COL6A3",1,0.231722636369358,4,"0.0459822932039824",1,0.999999895499926,1.04500073666334e-07
"LRRN2","LRRN2",1,0.244822729856586,4,"0.773003939739243",1,0.814981676171048,0.185018323828952
"HERC1","HERC1",1,0.272591790302564,4,"0.975893879201177",1,4.14610830630178e-16,1
"TFAP2D","TFAP2D",1,0.296124892375428,4,"0.241931146940111",1,0.0176505324647011,0.982349467535299
"RASGRP3","RASGRP3",1,0.29690932911119,4,"0.802063530681088",1,0.543767851717451,0.456232148282549
"CPS1","CPS1",1,0.306714788308216,4,"0.799253560081136",1,4.10889722898409e-12,0.999999999995891
"PHOX2B","PHOX2B",1,0.329228122624589,4,"0.900401581118399",1,0.0698984215481178,0.930101578451882
"TGS1","TGS1",1,0.330091003033927,4,"0.5058569023207",1,3.97704206900412e-11,0.99999999996023
