"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TP63","TP63",2,7.10847786796265e-05,8,"2.65112016431179e-09",0.0984524184712827,1,2.55973985705062e-22
"TFRC","TFRC",2,0.000155759057967897,8,"0.941404366836916",0.215570536227569,1,1.35370501407536e-29
"VPS28","VPS28",2,0.000867512859268774,8,"1.51974050414663e-07",1,0.999986496775109,1.35032248907316e-05
"RELA","RELA",4,0.00167594980635698,6,"0.0486746483882068",1,0.999999906820409,9.31795907659171e-08
"ARHGAP39","ARHGAP39",2,0.00358867284021265,8,"0.00713169606369548",1,0.994794456625878,0.00520554337412252
"NTNG1","NTNG1",2,0.00848839234773422,8,"0.00342334010153193",1,0.991324001514873,0.00867599848512671
"ALDH3B2","ALDH3B2",5,0.00854463053824586,5,"0.10410414417698",1,0.0197865389449371,0.980213461055063
"ARHGAP42","ARHGAP42",2,0.00918699846538266,8,"2.46154599572409e-05",1,0.792790295725958,0.207209704274042
"ANXA13","ANXA13",2,0.0100128848253773,8,"1.81022933025132e-05",1,1,9.62526442784887e-18
"LRCH3","LRCH3",2,0.0133494893635884,8,"8.8293441897352e-06",1,1,2.85759411184155e-25
"KLHL35","KLHL35",3,0.0143182624787043,7,"0.170087726430065",1,0.999999999999946,5.37949475774792e-14
"VOPP1","VOPP1",4,0.0169172224921323,6,"0.141473929939933",1,1,9.00856451328288e-23
"CYC1","CYC1",2,0.0175891653775983,8,"0.904629903191385",1,0.779456801068381,0.220543198931619
"MFSD3","MFSD3",2,0.0176923057850854,8,"0.999684706847482",1,0.999999999743607,2.56393388965303e-10
"TMEM44","TMEM44",2,0.0189229757798895,8,"0.0179471452707314",1,1,4.77900850051566e-28
"FNBP1L","FNBP1L",2,0.0204321891629751,8,"0.0465193112684923",1,0.0268648862952891,0.973135113704711
"CLDN1","CLDN1",2,0.0207985355883711,8,"0.482933183869318",1,0.99999999999323,6.76996333573812e-12
"CD44","CD44",3,0.0216276630268532,7,"0.233670582928402",1,1,3.01727368471681e-17
"NCBP2","NCBP2",2,0.023081823488535,8,"0.0485698761940012",1,1,1.30228246406939e-55
"ALKBH1","ALKBH1",2,0.0242594110424046,8,"0.32329850163714",1,1,1.74203881216382e-22
"COLEC10","COLEC10",2,0.0256791783970188,8,"0.00915486856403987",1,0.999528038622707,0.000471961377293106
"BCL6","BCL6",2,0.0264492870452644,8,"0.0595492469033205",1,0.0710017801165061,0.928998219883494
"CLDN11","CLDN11",3,0.0294433599091521,7,"0.0095419603356007",1,0.00254547022061081,0.997454529779389
"UBR5","UBR5",2,0.0347761445499544,8,"0.308986578196074",1,0.999999999999995,5.36371487420568e-15
"CDC14A","CDC14A",2,0.0353369572046363,8,"7.53517176443759e-09",1,0.182042035936556,0.817957964063444
"GPR149","GPR149",2,0.0364085091291523,8,"0.229368846105274",1,0.999999986391059,1.36089410907805e-08
"ADIPOQ","ADIPOQ",2,0.0372387304234931,8,"0.926217789598177",1,0.00869479534508959,0.99130520465491
"SCYL1","SCYL1",4,0.0378807830004781,6,"0.0460883312493336",1,1,1.21225122496502e-19
"DPF3","DPF3",2,0.0396308074223724,8,"0.203056724803641",1,0.00203728967250592,0.997962710327494
"LANCL2","LANCL2",4,0.0448250376947573,6,"0.0773723941650993",1,0.999999985118,1.48819995017823e-08
"SEC62","SEC62",3,0.044911261917197,7,"0.272058434291507",1,0.997446650162232,0.00255334983776779
"ADCK1","ADCK1",2,0.0490060212676618,8,"0.00876049825391647",1,0.551306403112438,0.448693596887562
"TRPS1","TRPS1",2,0.0499436780187096,8,"0.0300386284220401",1,0.000837837429022778,0.999162162570977
"LIFR","LIFR",2,0.0502416261735967,8,"0.291621910972025",1,0.000730675636081976,0.999269324363918
"YAP1","YAP1",2,0.0556776570081493,8,"0.825479025929243",1,0.98497314870202,0.0150268512979799
"ACTG1","ACTG1",2,0.0580317458497308,8,"0.00150903768515023",1,0.464532258231988,0.535467741768012
"PRR5L","PRR5L",2,0.0593215992098301,8,"0.281968935690306",1,0.999999999884849,1.15150943807319e-10
"TIPARP","TIPARP",3,0.0593738900172673,7,"0.182410578240364",1,0.546332143912436,0.453667856087564
"HAS2","HAS2",2,0.0596462777774276,8,"0.0146478521367546",1,0.999995906101021,4.09389897923868e-06
"SIRPB1","SIRPB1",6,0.0637309097767352,4,"0.0614258517151978",1,0.999999999973739,2.62615069546349e-11
"SSH3","SSH3",5,0.0639578334555984,5,"0.0189959348244877",1,0.994393406948135,0.00560659305186466
"ANKRD42","ANKRD42",2,0.0649899212381116,8,"9.44401478204648e-05",1,0.108042918116552,0.891957081883448
"ADCK5","ADCK5",2,0.06851504104007,8,"0.00723813986827018",1,1,9.88769677825576e-18
"RAB38","RAB38",2,0.0696522005748364,8,"0.761557729157506",1,0.999999774867199,2.25132800944301e-07
"RBM14","RBM14",5,0.0716208206561663,5,"0.135240412489999",1,0.999940545036478,5.94549635221178e-05
"SCRT1","SCRT1",2,0.0716870258186466,8,"0.252141189006554",1,0.471297882021889,0.528702117978111
"RNF19A","RNF19A",2,0.0718653516614283,8,"0.157366514093339",1,0.999999771110201,2.28889799007797e-07
"FOLR1","FOLR1",4,0.0720017219915246,6,"0.0808448710697153",1,0.0007225663836,0.9992774336164
"IRX1","IRX1",2,0.0728501035160135,8,"0.638444190932504",1,0.138494311986323,0.861505688013677
"LY6E","LY6E",2,0.0728800490892726,8,"0.957688543793761",1,1,1.87990798808852e-30
"AHRR","AHRR",2,0.0749004199654443,8,"0.549960933608456",1,0.999999888785532,1.1121446812259e-07
"ADRBK1","ADRBK1",5,0.0762363724580997,5,"0.221776699333249",1,NA,NA
"NNT","NNT",3,0.0775406988300402,7,"0.052056401935719",1,0.00179753436895652,0.998202465631044
"KLF10","KLF10",2,0.0804965439423646,8,"0.0884101628354367",1,0.133118008756974,0.866881991243025
"SOCS3","SOCS3",2,0.0815385594297038,8,"0.0166715257970032",1,0.00179135308934083,0.998208646910659
"GPT","GPT",2,0.082714848490451,8,"0.379283764667433",1,0.000450694640075863,0.999549305359924
"MTNR1B","MTNR1B",2,0.083002246612433,8,"0.981266040739585",1,0.991779600872322,0.00822039912767819
"CFL1","CFL1",5,0.0834331097212827,5,"0.707995712518916",1,1,4.12627298729918e-25
"PAK2","PAK2",2,0.0875042449153011,8,"0.922373610845335",1,1,9.24274190008804e-38
"DHX36","DHX36",2,0.0890533998890349,8,"0.0791031414781251",1,1,1.24857734265921e-33
"CANT1","CANT1",2,0.0891196228943652,8,"0.6714513234054",1,0.997335759219668,0.00266424078033234
"MUS81","MUS81",5,0.0904612099361319,5,"0.215229987201792",1,1,1.176771441108e-28
"SERPINI1","SERPINI1",2,0.0910173255050655,8,"0.248002081223029",1,0.998877776928318,0.00112222307168211
"CORO1B","CORO1B",5,0.0930853029324727,5,"0.198378857463057",1,0.999955487045278,4.45129547215122e-05
"ALG8","ALG8",3,0.0947627739370088,7,"0.668246722887017",1,0.999999999995022,4.97825102027805e-12
"SLITRK3","SLITRK3",3,0.0952481366816755,7,"0.532875441957678",1,0.031364819644935,0.968635180355065
"INPPL1","INPPL1",4,0.0959245738492862,6,"0.157894038627121",1,0.99879662351335,0.00120337648664969
"MFN1","MFN1",2,0.0959692950123844,8,"0.707010370340528",1,0.999999999999215,7.84632016729374e-13
"TMEM65","TMEM65",2,0.0964854892453457,8,"0.173217040100347",1,0.999998267431745,1.73256825524058e-06
"MTMR12","MTMR12",3,0.0993852195150077,7,"0.431338531454931",1,0.415694084347858,0.584305915652142
"MAPK15","MAPK15",2,0.0996817676244886,8,"0.904563853450798",1,0.760340109113827,0.239659890886173
"FOSL1","FOSL1",5,0.10486576488792,5,"0.262641396584879",1,0.818930531568984,0.181069468431016
"KCTD21","KCTD21",3,0.107107313570834,7,"0.394146520329561",1,0.981502095183715,0.0184979048162848
"LRRC15","LRRC15",2,0.110392504851099,8,"0.10663829898869",1,0.999999999999999,7.56975032203854e-16
"LRRC8C","LRRC8C",2,0.115462225972093,8,"0.14181523803991",1,1,3.81265939810878e-27
"BATF","BATF",2,0.115575341041613,8,"0.355484517327404",1,0.997008468505939,0.00299153149406045
"MFI2","MFI2",2,0.116520120314424,8,"0.716908812159048",1,NA,NA
"LRP5","LRP5",4,0.118821361089857,6,"0.677412194511453",1,0.310479039228243,0.689520960771757
"ALDH3B1","ALDH3B1",4,0.12159042135256,6,"0.330975318574828",1,0.0112343357342281,0.988765664265772
"NSUN2","NSUN2",2,0.122114444283723,8,"0.0427275345815726",1,1,8.34350806216695e-25
"RAB6A","RAB6A",3,0.134377281873415,7,"0.000929119600601727",1,0.801179943056067,0.198820056943933
"MASP1","MASP1",2,0.134387055443299,8,"0.0102146724713426",1,0.894719365973119,0.105280634026881
