"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"RANBP2","RANBP2",3,0.00708929142696999,7,"0.0198951169737246",1,0.209692505257241,0.790307494742759
"TP53","TP53",5,0.00821310234611354,5,"0.00430402260604502",1,0.984133994989197,0.0158660050108035
"CELSR1","CELSR1",2,0.00928294554439516,8,"3.48090603147092e-07",1,0.999999987371843,1.26281567406112e-08
"MCM10","MCM10",2,0.0102249098678324,8,"0.384792776105038",1,1,1.19222698470733e-35
"KIF15","KIF15",2,0.0112123848110686,8,"0.0143310899404091",1,1,7.30689191004136e-18
"APC","APC",3,0.0317225246379059,7,"0.180925876940604",1,0.00563661872099279,0.994363381279007
"RNF123","RNF123",2,0.0606529480936161,8,"0.067860386170612",1,0.000452106796419851,0.99954789320358
"GUCY2C","GUCY2C",2,0.0696814815798238,8,"0.181913064221877",1,0.000991868904733691,0.999008131095266
"CLASP1","CLASP1",2,0.0705333074577743,8,"0.845895259348074",1,0.999996338882914,3.66111708628116e-06
"BFSP1","BFSP1",2,0.087143639667725,8,"0.159642854179272",1,1,1.71397850397163e-41
"LRP1","LRP1",2,0.0989475949751945,8,"0.733584299567401",1,0.999016448942234,0.000983551057766216
"HERC1","HERC1",2,0.101440720044471,8,"0.281136600147237",1,0.00210269313176952,0.99789730686823
"C3AR1","C3AR1",2,0.120260741665456,8,"0.00317691113327606",1,0.999928344442351,7.16555576492929e-05
"PIK3CA","PIK3CA",2,0.141974112136057,8,"0.73364666064615",1,1,1.53790850778747e-24
"ADCY1","ADCY1",2,0.143566959362186,8,"0.0744015062006649",1,0.499286747916159,0.500713252083841
"PRLR","PRLR",2,0.165714191255521,8,"0.931945924089804",1,0.261505586384671,0.738494413615329
"JMJD8","JMJD8",2,0.208090436676914,8,"0.041223156531463",1,0.978117420907222,0.0218825790927784
"PKHD1L1","PKHD1L1",2,0.210781178436362,8,"0.480078308306396",1,0.000779022454669854,0.99922097754533
"PCDH8","PCDH8",2,0.213540466109524,8,"0.157898905395449",1,0.695893970197457,0.304106029802543
"ARHGAP20","ARHGAP20",2,0.214772575778174,8,"0.260615861941697",1,4.74845094662504e-11,0.999999999952516
"DHX34","DHX34",2,0.24032220944757,8,"0.088347610627506",1,0.999999999997703,2.29701817850142e-12
"TCIRG1","TCIRG1",2,0.261602539237755,8,"0.990438747517432",1,0.999999999988924,1.10760523582215e-11
"COL1A2","COL1A2",2,0.293319846667289,8,"2.13305494277743e-05",1,1,3.92483942394437e-21
"PDE6H","PDE6H",2,0.326154197941377,8,"0.317609454257069",1,0.934461687642288,0.0655383123577121
"KDM6A","KDM6A",2,0.341796117683906,8,"0.993823009157506",1,0.53566812160672,0.46433187839328
"TTN","TTN",5,0.387891396262003,5,"0.995244673732131",1,0.00218127208685897,0.997818727913141
"PKD1","PKD1",2,0.404068629670429,8,"0.689644404250236",1,0.474391819949175,0.525608180050825
"RAB3IL1","RAB3IL1",2,0.440612160972346,8,"0.603322589556274",1,0.647499654483377,0.352500345516623
"PIK3C2A","PIK3C2A",2,0.455013700762838,8,"0.0464417954661129",1,0.732105554749259,0.267894445250741
"ABL1","ABL1",2,0.455537672875036,8,"0.848369618932248",1,0.999268093801217,0.000731906198783455
"MACF1","MACF1",2,0.469874934130008,8,"0.20868486610298",1,0.999999999997775,2.22523977475205e-12
"HTR5A","HTR5A",2,0.482660062253563,8,"0.0472606859494058",1,0.999911440395356,8.85596046435706e-05
"UTRN","UTRN",2,0.486676097748264,8,"0.0804101384007776",1,4.03423698366209e-07,0.999999596576302
"ZFPM2","ZFPM2",3,0.487705423064034,7,"0.590755291010627",1,0.0960099514613574,0.903990048538643
