"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"DDX10",9,1,0.00266935741378849,0.488492406723294,8.23375613098675e-07,"up"
"SLC5A1",9,1,0.028511299929046,0.915935615966409,1.94282935329014e-06,"down"
"RFX3",9,1,0.0329520929913079,0.915935615966409,0.450015533224717,"down"
"SPAG1",9,1,0.0410240246035208,0.915935615966409,0.135295995033933,"down"
"BCOR",9,1,0.0555997642315214,0.915935615966409,0.0110631015524179,"down"
"CREBBP",9,1,0.0619624101533934,0.915935615966409,1.07899978018693e-05,"up"
"CADM1",9,1,0.0691517865658673,0.915935615966409,0.00558955708024636,"down"
"ADAP2",9,1,0.0716474614347711,0.915935615966409,0.1094142192601,"up"
"TTF1",9,1,0.0791453571787269,0.915935615966409,3.65618264685158e-21,"up"
"XPO4",9,1,0.0815899280084281,0.915935615966409,0.136694344561917,"down"
"ATR",9,1,0.0883507175888993,0.915935615966409,1.8518486035273e-12,"up"
"TNFRSF10B",9,1,0.105972872985851,0.915935615966409,3.67889145778337e-17,"up"
"SGCE",9,1,0.111731617314501,0.915935615966409,0.963337737031777,"down"
"HSD17B12",9,1,0.115389273858291,0.915935615966409,0.309309428599033,"down"
"NEK4",9,1,0.115554071736232,0.915935615966409,0.0572767476219042,"down"
"COL6A5",9,1,0.119139487080534,0.915935615966409,0.305906024428817,"up"
"USP44",9,1,0.124264626542335,0.915935615966409,0.392515548412499,"down"
"ARHGEF6",9,1,0.136762531255028,0.915935615966409,0.0336177604071659,"down"
"ANKRD30B",9,1,0.136880100201635,0.915935615966409,0.0021111594021219,"up"
"COL4A4",9,1,0.152189915052884,0.915935615966409,0.487030239106046,"up"
"IRAK3",9,1,0.154296760461325,0.915935615966409,0.877617018224164,"down"
"IGSF8",9,1,0.161036510365418,0.915935615966409,5.77048067339628e-17,"up"
"CYP2S1",9,1,0.161578648050355,0.915935615966409,0.301473662870129,"up"
"SLC4A7",9,1,0.161791091475852,0.915935615966409,0.226175825838538,"up"
"MSH3",8,2,0.16387185521932,0.915935615966409,0.0768003831132265,"down"
"PHF20",9,1,0.167791406732813,0.915935615966409,3.65130799661991e-07,"up"
"COL7A1",9,1,0.170319772826991,0.915935615966409,1.50838528037411e-60,"up"
"RYK",9,1,0.177096047220717,0.915935615966409,1.1480978369013e-14,"up"
"GLTSCR2",9,1,0.181288234446465,0.915935615966409,NA,NA
"PTPN13",9,1,0.183020729205425,0.915935615966409,0.114523399966525,"down"
"RDH10",9,1,0.184731087754208,0.915935615966409,0.371326001265178,"down"
"SETX",9,1,0.19756037821373,0.915935615966409,9.51274189303799e-06,"up"
"SHC1",9,1,0.199054970498233,0.915935615966409,3.90011489155815e-30,"up"
"SP3",9,1,0.199440357701094,0.915935615966409,5.40349456993581e-12,"up"
"TBC1D5",9,1,0.204589253353999,0.915935615966409,0.00441386660792734,"down"
"CACNG1",9,1,0.204767538473713,0.915935615966409,0.0032685812298443,"down"
"CDKN2A",6,4,0.206276111527728,0.915935615966409,4.32836421782688e-34,"up"
"ABCD2",9,1,0.211161150578751,0.915935615966409,0.0116294678953063,"down"
"ZBTB41",9,1,0.222483826312548,0.915935615966409,1.38723044406765e-08,"up"
"COL20A1",9,1,0.222689743659744,0.915935615966409,0.268906311219909,"down"
"BRCC3",9,1,0.23717858985774,0.915935615966409,0.413366197558313,"down"
"PLXNB2",9,1,0.237751477238082,0.915935615966409,0.011542013535202,"up"
"STARD9",9,1,0.246986612256289,0.915935615966409,0.123078146179978,"up"
"TTC21B",9,1,0.248119247400277,0.915935615966409,0.394727682516413,"up"
"ASAP3",9,1,0.249182235725338,0.915935615966409,8.2384884508925e-12,"down"
"MYLIP",9,1,0.258829875992586,0.915935615966409,0.848656424079059,"down"
"S100A2",9,1,0.259274931521724,0.915935615966409,3.85993826692099e-06,"up"
"CTNND1",9,1,0.263954338984032,0.915935615966409,0.552606224623218,"down"
"BRD8",9,1,0.268478701678732,0.915935615966409,0.0335022933927547,"up"
"ABCA12",9,1,0.272107928640337,0.915935615966409,0.0113842938671376,"up"
"STAP1",9,1,0.286150845592129,0.915935615966409,0.000105372916204528,"up"
"ATP10D",9,1,0.304705306330095,0.915935615966409,0.00300065053248714,"up"
"LRP1B",9,1,0.307169135156469,0.915935615966409,0.00457111323599897,"down"
"CYP21A2",9,1,0.317170599477504,0.915935615966409,0.0154479409679408,"down"
"BPTF",9,1,0.317745031944194,0.915935615966409,0.175829944805799,"up"
"TP53",4,6,0.322538939181686,0.915935615966409,0.031732010021607,"up"
"SMARCA1",9,1,0.322725492635455,0.915935615966409,0.234776330021656,"up"
"ABCA13",9,1,0.326468816127274,0.915935615966409,0.899090609353068,"up"
"ABCA5",9,1,0.328555469597858,0.915935615966409,5.4159302857519e-06,"down"
"PKN2",9,1,0.334624827653722,0.915935615966409,0.207976829923542,"up"
"COL19A1",9,1,0.339692781291053,0.915935615966409,0.0173741393485639,"up"
"MAGEA12",9,1,0.343184082951513,0.915935615966409,5.04328957088391e-15,"up"
"HLA-B",9,1,0.348798780946583,0.915935615966409,3.55768921266011e-24,"up"
"ZMPSTE24",9,1,0.353289765600239,0.915935615966409,1.09721053485203e-07,"up"
"ZNF217",9,1,0.353329842849118,0.915935615966409,0.348417627122571,"up"
"ENTPD5",9,1,0.353584532061902,0.915935615966409,8.9305001446516e-05,"down"
"HTR5A",9,1,0.354154684399085,0.915935615966409,0.000177119209287141,"up"
"CRBN",8,2,0.359112156472891,0.915935615966409,3.88017041856958e-06,"down"
"KDM6A",9,1,0.36404369407422,0.915935615966409,0.928663756786559,"up"
"IL6",9,1,0.368753403619094,0.915935615966409,0.0286869622113154,"down"
"DOT1L",9,1,0.372697342471593,0.915935615966409,0.000234612563706109,"up"
"ABCC9",9,1,0.373963455162586,0.915935615966409,0.0300434038329233,"down"
