"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"FERMT2","FERMT2",-1,-1,9,"3.57501472869615e-10",2.2143641229544e-06,0.406781341915887,0.593218658084113
"CES1","CES1",-1,-1,9,"1.99042327064802e-09",1.23266913151232e-05,0.995368861842204,0.0046311381577956
"YIF1B","YIF1B",-1,-1,10,"2.22289642248796e-08",0.000137641746480454,1,3.19066299907688e-20
"RFWD2","RFWD2",-1,-1,9,"3.50045914476738e-08",0.000216713425652548,0.999999962636996,3.73630039677589e-08
"MDM2","MDM2",-1,-1,10,"1.41252088803334e-07",0.000874350429692637,0.96607952491925,0.03392047508075
"ITGB5","ITGB5",-1,-1,10,"2.21514359632913e-07",0.0013709523717681,1,1.19193432603668e-25
"ECHS1","ECHS1",-1,-1,10,"3.2559363816187e-07",0.00201477343294565,8.31579380776918e-09,0.999999991684206
"TLK2","TLK2",-1,-1,9,"6.97972912133693e-07",0.00431835840737116,1,3.56863184163444e-20
"CPEB2","CPEB2",-1,-1,8,"7.83634539813782e-07",0.00484756326328806,0.0333135281930445,0.966686471806956
"MLNR","MLNR",-1,-1,10,"8.60440000138851e-07",0.00532182140085879,0.999999999595536,4.04464041819297e-10
"SRSF4","SRSF4",-1,-1,9,"1.13780258903518e-06",0.00703617121059355,0.999999999999996,3.72022160495958e-15
"OR2T12","OR2T12",-1,-1,10,"1.6016609551972e-06",0.00990306968598429,0.746446542190544,0.253553457809456
"OR2T8","OR2T8",-1,-1,10,"1.6016609551972e-06",0.00990306968598429,0.782333002799501,0.217666997200498
"RHOQ","RHOQ",-1,-1,9,"1.94102107231586e-06",0.0119974512479843,0.0763386732254635,0.923661326774536
"DUSP27","DUSP27",-1,-1,9,"2.14835386125323e-06",0.013276826862545,0.00185087550191907,0.998149124498081
"ANGPTL4","ANGPTL4",-1,-1,10,"3.3675049549986e-06",0.0208078131169364,0.884052378274311,0.115947621725689
"CNKSR1","CNKSR1",-1,-1,9,"3.39078419797634e-06",0.0209482647750978,0.364982966208611,0.635017033791389
"SARDH","SARDH",-1,-1,8,"3.4133101040057e-06",0.0210840165124432,0.495708909532746,0.504291090467254
"ITGAV","ITGAV",-1,-1,8,"6.63361378205884e-06",0.0409691987179954,1,6.08064108964902e-26
"MAGOHB","MAGOHB",-1,-1,10,"7.18870637239633e-06",0.0443902618495473,1,1.13882006618234e-42
"OR2T33","OR2T33",-1,-1,9,"7.59702834951526e-06",0.0469040530299072,0.57750402012459,0.42249597987541
"OR2T5","OR2T5",-1,-1,10,"8.00675817369534e-06",0.0494257182062213,0.983214780877655,0.0167852191223445
"ADCY7","ADCY7",-1,-1,10,"8.15271978105159e-06",0.0503185864886504,0.99999827906237,1.72093762976103e-06
"SAR1B","SAR1B",-1,-1,10,"9.48058589644862e-06",0.0585046955669844,1.40987744948453e-06,0.999998590122551
"ONECUT3","ONECUT3",-1,-1,9,"1.06127426966474e-05",0.0654806224383145,0.999999999850041,1.49958678246407e-10
"SCYL2","SCYL2",-1,-1,10,"1.16344479428321e-05",0.0717729093593312,0.999234284037747,0.000765715962252604
"TRIM17","TRIM17",-1,-1,10,"1.20076988497919e-05",0.0740634865055164,0.989855290180519,0.0101447098194815
"SMUG1","SMUG1",-1,-1,10,"1.24371520809907e-05",0.0766999168834697,1,9.99731625046276e-22
"EZH2","EZH2",-1,-1,10,"1.2741179531317e-05",0.0785621129901006,1,4.20761281546807e-18
"MAPK10","MAPK10",-1,-1,10,"1.3404105190129e-05",0.0826363084971453,0.618395151176308,0.381604848823692
"EMP1","EMP1",-1,-1,10,"1.40865585128713e-05",0.0868295466733387,9.70734498087753e-08,0.99999990292655
"UPK1A","UPK1A",-1,-1,10,"1.43652340822698e-05",0.0885329376490288,0.000205762255866097,0.999794237744134
"MIR200A","MIR200A",-1,-1,10,"1.60127361067408e-05",0.0986704798897368,0.895266426424093,0.104733573575907
"FOXO1","FOXO1",-1,-1,10,"1.68705387870727e-05",0.103939389467155,0.188962896314771,0.811037103685229
