"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"PSMC4","PSMC4",-1,-1,9,"4.04751991389604e-11",2.37387042950003e-07,1,1.08140502874564e-20
"RPP38","RPP38",-1,-1,10,"2.25757662144993e-10",1.32384293081824e-06,0.998732917938512,0.00126708206148831
"WDR82","WDR82",-1,-1,10,"1.59829724560158e-09",9.37081675096206e-06,0.00368794256819567,0.996312057431804
"TP63","TP63",-1,-1,8,"2.65112016431179e-09",1.55408664031957e-05,1,2.55973985705062e-22
"MKI67IP","MKI67IP",-1,-1,9,"3.3655688435511e-09",1.9725598992053e-05,NA,NA
"VPRBP","VPRBP",-1,-1,10,"3.99136986045591e-09",2.33894273822716e-05,NA,NA
"CDH1","CDH1",-1,-1,10,"7.0450371367548e-09",4.12768725842464e-05,0.884206887274374,0.115793112725626
"PMP2","PMP2",-1,-1,10,"7.23060278008253e-09",4.23568710857235e-05,0.0151643694373248,0.984835630562675
"CDC14A","CDC14A",-1,-1,8,"7.53517176443759e-09",4.4133501024311e-05,0.182042035936556,0.817957964063444
"GNL3","GNL3",-1,-1,10,"7.72690193637545e-09",4.52487377394146e-05,0.000803468201435633,0.999196531798564
"SKIV2L2","SKIV2L2",-1,-1,9,"9.47023053521847e-09",5.54481997837041e-05,0.179256393206835,0.820743606793165
"FBXO5","FBXO5",-1,-1,10,"1.08630601844904e-08",6.35923543200068e-05,1,8.28324832951759e-37
"ELP3","ELP3",-1,-1,10,"1.7489452372247e-08",0.000102365764734762,0.995051093368111,0.00494890663188929
"GABRR3","GABRR3",-1,-1,10,"2.64329678203186e-08",0.000154685727684504,0.359826414420516,0.640173585579484
"POLG","POLG",-1,-1,10,"3.00452675139464e-08",0.0001757948602241,0.999999999538954,4.61045587022596e-10
"RBM28","RBM28",-1,-1,10,"5.42634530993599e-08",0.000317441200631255,1,3.9092483655133e-22
"QPCT","QPCT",-1,-1,9,"9.22279251917931e-08",0.000539441134446798,0.0158771391163877,0.984122860883612
