"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"RUNX1","RUNX1",3,6.16634682691817e-08,380,"0.570519152858867",0.000373310636901626
"KRAS","KRAS",32,1.32885568052273e-05,351,"0.999983001179746",0.0804356343420408
"CDK4","CDK4",14,1.8158053308168e-05,369,"0.984806295134232",0.109892538621033
"SOX10","SOX10",3,2.16358551900703e-05,380,"0.654805155167982",0.130918559755115
"IL6","IL6",32,8.43698371497975e-05,351,"0.572570115933695",0.510437514756275
"MITF","MITF",11,0.000176215499888096,372,"0.830876986209988",1
"ITGA4","ITGA4",7,0.000256203871861343,376,"0.946086949608752",1
"YAP1","YAP1",17,0.000306453052978622,366,"0.924149165302776",1
"TLK2","TLK2",21,0.000366608266481241,362,"0.980749350531564",1
"ERBB2","ERBB2",21,0.00047286439813019,362,"0.716771187587946",1
"RNFT1","RNFT1",16,0.00055929052961634,367,"0.179487170203365",1
"THRA","THRA",15,0.000676201820891784,368,"0.585070707780193",1
"RAB22A","RAB22A",44,0.00087348218668518,339,"0.815139231328897",1
"BRAF","BRAF",17,0.000874018599060026,366,"0.896494330326537",1
"NPY1R","NPY1R",7,0.00104191958926987,376,"0.720098197077617",1
"EGFR","EGFR",49,0.0011138334568082,334,"0.216388049648125",1
"NTSR1","NTSR1",41,0.00113969524906109,342,"0.88855928258325",1
"BCL2","BCL2",1,0.00152744040704358,382,"0.139231283916717",1
"ABCA1","ABCA1",5,0.00180985502350228,378,"0.149912631740984",1
"FOXC1","FOXC1",9,0.00216912622396305,374,"0.347452811473413",1
"HAS2","HAS2",50,0.00224991364541128,333,"0.996857064757089",1
"CLEC2D","CLEC2D",10,0.00275532128208634,373,"0.965136805558124",1
"PROX1","PROX1",12,0.00278713300452587,371,"0.25340000416565",1
"LY6K","LY6K",40,0.00285038198375112,343,"0.584932494230326",1
"KHSRP","KHSRP",2,0.00291042758865589,381,"0.598061212053177",1
"FOXA1","FOXA1",17,0.00333925200797798,366,"0.900542093823643",1
"VLDLR","VLDLR",11,0.0036036250837616,372,"0.301143411212579",1
"LY9","LY9",21,0.00367936177046236,362,"0.951752576831819",1
"GJC2","GJC2",16,0.00378924386102885,367,"0.251513880692175",1
"FOXQ1","FOXQ1",9,0.00402061277037931,374,"0.451453898528319",1
"MC2R","MC2R",5,0.00405102463965652,378,"0.948033438408596",1
"GPR39","GPR39",2,0.00412971099106451,381,"0.922378674890792",1
"PMEPA1","PMEPA1",44,0.00424613992525508,339,"0.674538155624753",1
"IGSF21","IGSF21",2,0.00441200448390071,381,"0.9750742040514",1
"AQP4","AQP4",5,0.00448098196930762,378,"0.782231864775743",1
"DYRK1A","DYRK1A",6,0.00449564010199916,377,"0.345573248631527",1
"PPM1D","PPM1D",18,0.00449590427689614,365,"0.980987114831407",1
"TAX1BP1","TAX1BP1",26,0.0049592766150478,357,"0.711343342809831",1
"CCNE1","CCNE1",20,0.0051787516462969,363,"0.663769648962451",1
"CACNA1E","CACNA1E",14,0.00525591911727261,369,"0.97173465330753",1
"UBE2MP1","UBE2MP1",9,0.00547113630704701,374,"0.905298693092473",1
"ARHGAP11B","ARHGAP11B",10,0.0056829313039958,373,"0.570370592322998",1
"SMAD4","SMAD4",2,0.00569139178781592,381,"0.253094400909518",1
"TLE3","TLE3",6,0.00578593447937225,377,"0.748420127329012",1
"COL25A1","COL25A1",1,0.00595694989936646,382,"0.998709857330649",1
"SLC35B3","SLC35B3",9,0.0059732685265799,374,"0.291636262140687",1
"BCL6","BCL6",27,0.00600868754176509,356,"0.247345083523278",1
"OR2T12","OR2T12",20,0.0060930286719409,363,"0.832797850578398",1
"OR2T33","OR2T33",20,0.0060930286719409,363,"0.832797850578398",1
"PATZ1","PATZ1",2,0.00611452578835439,381,"0.0512585190595345",1
"C20orf151","C20orf151",44,0.00619731238851554,339,"0.822230969652337",1
"KIF5A","KIF5A",14,0.00628523187223536,369,"0.458584538950777",1
"METTL1","METTL1",13,0.00650726151400352,370,"0.397591786540846",1
"ABCG8","ABCG8",2,0.00652662759076028,381,"0.302828498302155",1
"NRAS","NRAS",21,0.0066090363040819,362,"0.994461829449777",1
"HEY2","HEY2",8,0.00706037463700416,375,"0.755676471653887",1
"SPSB1","SPSB1",6,0.00739405430757,377,"0.389325375439859",1
"SP140","SP140",1,0.00778985037894835,382,"0.885731782965464",1
"DCLRE1C","DCLRE1C",3,0.0079011818458903,380,"0.452597334291885",1
"SUCLA2","SUCLA2",3,0.00791118967284179,380,"0.244372233756842",1
"NR1H3","NR1H3",7,0.00832911701505437,376,"0.777236950634917",1
"UBD","UBD",6,0.00920819684244727,377,"0.902134323621469",1
"BATF","BATF",8,0.00924595418980052,375,"0.356674922197417",1
"FLI1","FLI1",7,0.00926217629035369,376,"0.712976785321517",1
"PIK3CG","PIK3CG",17,0.00929974133122639,366,"0.636574816409801",1
"MAFG","MAFG",24,0.0093832824673328,359,"0.385194198989284",1
"PTPN14","PTPN14",12,0.0094483975342618,371,"0.648152225278902",1
"HAPLN2","HAPLN2",19,0.00945682391726909,364,"0.367499967824555",1
"WIF1","WIF1",5,0.0096326446884958,378,"0.868387281237088",1
"ATG4D","ATG4D",5,0.00985986970574371,378,"0.118505918460163",1
"MCM10","MCM10",2,0.00988400954236275,381,"0.294254798342735",1
"IRX2","IRX2",26,0.0100355698998904,357,"0.7971096785372",1
"MDM4","MDM4",10,0.0100793299201416,373,"0.90276221550002",1
"FOXL2","FOXL2",15,0.0101613581442558,368,"0.493845105348917",1
"SYDE2","SYDE2",13,0.0103486102886054,370,"0.270763231441087",1
"TTC8","TTC8",11,0.0104276752992025,372,"0.257437515004208",1
"BTN3A3","BTN3A3",7,0.0106122297202945,376,"0.125926352993949",1
"WRAP53","WRAP53",2,0.0106499346421778,381,"0.204058396096005",1
"HSD17B7","HSD17B7",17,0.0108051976836359,366,"0.693944027834089",1
"ITGB1","ITGB1",5,0.0110403350273305,378,"0.356581391754719",1
"ITCH","ITCH",19,0.0112451459589118,364,"0.628819047963198",1
"MYOC","MYOC",16,0.0115109571805159,367,"0.207598812024917",1
"TBC1D2B","TBC1D2B",4,0.0116964328501546,379,"0.669978072198689",1
"AHCY","AHCY",20,0.0116997576975005,363,"0.944255687216126",1
"FOXK1","FOXK1",32,0.0117074931296511,351,"0.620872676626916",1
"OR52I2","OR52I2",5,0.012329394533989,378,"0.835345143433484",1
"OR52I1","OR52I1",5,0.012329394533989,378,"0.835345143433484",1
"GNAS","GNAS",42,0.012390424852522,341,"0.610223548052385",1
"SERPINF1","SERPINF1",4,0.0125276605486834,379,"0.768420252121188",1
"LGR4","LGR4",8,0.0128381243431276,375,"0.898864580932962",1
"SDK1","SDK1",32,0.0130368546324179,351,"0.637062747992776",1
"KIRREL","KIRREL",20,0.0135323433667763,363,"0.868571282999128",1
"TSSK1B","TSSK1B",7,0.0136285266982721,376,"0.895492659865568",1
"DUSP23","DUSP23",20,0.013653246342272,363,"0.979488071353913",1
"HNF1B","HNF1B",12,0.0138197851234627,371,"0.661324902572498",1
"CDKN1B","CDKN1B",10,0.0141697158552646,373,"0.104069899910333",1
"PDGFRA","PDGFRA",14,0.0142351592409816,369,"0.730357245076787",1
"ANKRD20A4","ANKRD20A4",11,0.0142955293064651,372,"0.900851467186276",1
"MYCN","MYCN",10,0.0143016087992076,373,"0.324332088575631",1
"IQGAP2","IQGAP2",2,0.0144113430011443,381,"0.799251004686803",1
"SAMD8","SAMD8",7,0.0145718210935532,376,"0.786110598950993",1
"ANKRD28","ANKRD28",4,0.014621669315631,379,"0.659124540273584",1
"DKK4","DKK4",13,0.0146696760940014,370,"0.385164185259383",1
"TBX18","TBX18",5,0.0147941518607773,378,"0.818861633977954",1
"TRPS1","TRPS1",41,0.0156960595139235,342,"0.891715999639966",1
"RPS6KA4","RPS6KA4",7,0.0157008363592753,376,"0.184931765143055",1
"APCDD1L","APCDD1L",44,0.0159395844916758,339,"0.921875715972823",1
"PPME1","PPME1",14,0.0162450934381475,369,"0.941967519495776",1
"KCTD8","KCTD8",4,0.0164229797384208,379,"0.250726179507424",1
"HMGB1","HMGB1",9,0.0165072187590043,374,"0.589404894111703",1
"NCF1","NCF1",8,0.0170509806014399,375,"0.510276509693955",1
"CALM3","CALM3",2,0.0172060245728243,381,"0.959129590081092",1
"XPR1","XPR1",14,0.0173716590536435,369,"0.180714163864291",1
"IREB2","IREB2",5,0.0174408157284289,378,"0.295319531297173",1
"LINGO1","LINGO1",5,0.0174580311259285,378,"0.062909811392402",1
"SETD2","SETD2",1,0.0174889487500691,382,"0.0750263402197577",1
"NBN","NBN",30,0.0175163859550773,353,"0.228734172298539",1
"MFSD2A","MFSD2A",5,0.0177469415936658,378,"0.256492676447246",1
"ASPN","ASPN",10,0.0178706547782033,373,"0.320785393164473",1
"HSD11B1","HSD11B1",10,0.0179114918397584,373,"0.958194737689947",1
"NCF1C","NCF1C",8,0.018032951721392,375,"0.509045125426766",1
"COL18A1","COL18A1",10,0.0180344080454692,373,"0.771193834130943",1
"OR2T8","OR2T8",22,0.0182845016318735,361,"0.815662288114459",1
"SLC4A7","SLC4A7",2,0.0182995732905017,381,"0.690560714069142",1
"LEP","LEP",16,0.0183350971669608,367,"0.564911252512543",1
"MTMR9LP","MTMR9LP",2,0.0183580616873268,381,"0.903087024750316",1
"COL4A2","COL4A2",19,0.0184085725070601,364,"0.102649224683608",1
"GTPBP8","GTPBP8",9,0.0186800059402005,374,"0.763362857959687",1
"AGAP2","AGAP2",14,0.0188206188953916,369,"0.508133767692017",1
"PKD1L2","PKD1L2",8,0.0189412715692892,375,"0.36918673973957",1
"ARID3B","ARID3B",5,0.0189651556139439,378,"0.546021387810948",1
"CLCN2","CLCN2",24,0.0190064217001469,359,"0.271513960697756",1
"ERN2","ERN2",3,0.0190087274187854,380,"0.786264474422607",1
"PRKAA1","PRKAA1",40,0.0192407001045563,343,"0.806453324339484",1
"LAMP1","LAMP1",21,0.0192694382685383,362,"0.657872914260273",1
"TMEM128","TMEM128",4,0.0193697348331715,379,"0.0635720209042953",1
"ARHGAP18","ARHGAP18",4,0.0198121974454294,379,"0.11764087591015",1
"POLE","POLE",7,0.0200857247564382,376,"0.567719311889524",1
"DRAP1","DRAP1",17,0.020321772058783,366,"0.413269715308592",1
"C1QL4","C1QL4",4,0.0203405451577232,379,"0.918286337225966",1
"LRP5","LRP5",27,0.0205658745361289,356,"0.668328022449204",1
"NCAN","NCAN",9,0.0205734073451975,374,"0.928959372683558",1
"STAG3L2","STAG3L2",7,0.020716336679135,376,"0.546548471289511",1
"MDH1B","MDH1B",3,0.0207761134943674,380,"0.966943825073457",1
"PARP4","PARP4",2,0.0208364345768388,381,"0.0616726584353415",1
"OR2T10","OR2T10",196,0.0215372120011088,187,"0.274238592538705",1
"TCF7","TCF7",4,0.021713241095435,379,"0.665588672493144",1
"KCNMB3","KCNMB3",27,0.0219139879495046,356,"0.921037916188084",1
"SLC16A6","SLC16A6",20,0.022146421341762,363,"0.766796812741768",1
"DLL3","DLL3",13,0.0223304951072903,370,"0.910785906067845",1
"KIFC2","KIFC2",56,0.0230632805408493,327,"0.376645790342344",1
"OPN5","OPN5",3,0.0236015117193807,380,"0.505244280634621",1
"PSIP1","PSIP1",8,0.0242448007822453,375,"0.87110085816041",1
"ENPP3","ENPP3",7,0.0245576618543526,376,"0.161862636422652",1
"ALDH3B2","ALDH3B2",28,0.0248826283418995,355,"0.055180291247068",1
"FKBP1B","FKBP1B",5,0.0249617339973611,378,"0.641964860114486",1
"PROM1","PROM1",1,0.0249732923750285,382,"0.523893667514721",1
"PRKAG1","PRKAG1",5,0.0249961468018673,378,"0.175926517952784",1
"EPHA2","EPHA2",5,0.0251116761352825,378,"0.990008617069452",1
"ST6GAL1","ST6GAL1",27,0.025706475744377,356,"0.195575570059766",1
"BHMT","BHMT",4,0.0259220292030567,379,"0.266390858715301",1
"ASH1L","ASH1L",20,0.0260064899488056,363,"0.564957299901808",1
"CORO2B","CORO2B",6,0.0260284109383792,377,"0.762648432606933",1
"FOXF1","FOXF1",7,0.0266901439621569,376,"0.0549616820685817",1
"POU3F2","POU3F2",1,0.027111676267874,382,"0.126714368675768",1
"PIM3","PIM3",6,0.0271131468390594,377,"0.841858947482229",1
"PAX8","PAX8",7,0.0271566062335823,376,"0.233620036933536",1
"VTCN1","VTCN1",21,0.0271603997487483,362,"0.219829246284654",1
"PLEKHG6","PLEKHG6",12,0.0273912492168987,371,"0.46703777267369",1
"RAB32","RAB32",7,0.0275564913813056,376,"0.465015910246477",1
"SATB2","SATB2",3,0.0278714946215315,380,"0.547535516702334",1
"ANKRD42","ANKRD42",13,0.0278805831738431,370,"0.0842755992889609",1
"TGIF2","TGIF2",13,0.0281380794684964,370,"0.369468277768805",1
"NEK11","NEK11",10,0.0284554522435231,373,"0.0523455352614523",1
"GNB5","GNB5",6,0.0284958031588636,377,"0.29270424646212",1
"ACSL3","ACSL3",1,0.0286390933341923,382,"0.140797526313009",1
"KLHL2","KLHL2",6,0.0288703148866919,377,"0.138518407785898",1
"SAMD4B","SAMD4B",14,0.0290349736942562,369,"0.691834658406965",1
"RNF182","RNF182",11,0.0290562322026479,372,"0.520328410905658",1
"WDFY2","WDFY2",6,0.0290576094428378,377,"0.63769259839838",1
"PGAP3","PGAP3",21,0.0293021559159616,362,"0.462011065428697",1
"BRD2","BRD2",1,0.0295555435739832,382,"0.508826479545699",1
"CDH12","CDH12",47,0.0298409332159577,336,"0.51415510789638",1
"FARP2","FARP2",5,0.0300220153235252,378,"0.694051053498338",1
"PARP2","PARP2",12,0.0303554813524609,371,"0.862513809687",1
"ANKH","ANKH",46,0.0304388795203726,337,"0.224800170389248",1
"IQCA1","IQCA1",2,0.0309167793253941,381,"0.120656076927157",1
"IL6R","IL6R",23,0.0310342597711561,360,"0.967880097712454",1
"WDR91","WDR91",20,0.0310588256698635,363,"0.745630368504238",1
