"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"KRAS","KRAS",81,3.92410482615966e-32,302,"1",2.42745124546237e-28
"TP53","TP53",190,1.86132532521726e-17,193,"0.999995702757822",1.15122971364688e-13
"BRAF","BRAF",67,8.57816720683799e-15,316,"0.999985354075118",5.30473860070861e-11
"CTNNB1","CTNNB1",25,3.72955437655086e-12,358,"0.948627682292715",2.3059834710214e-08
"NRAS","NRAS",26,9.52710558299046e-10,357,"0.999826742099116",5.8896566714047e-06
"PIK3CA","PIK3CA",55,1.87984551421855e-09,328,"0.999376576045357",1.16193251233849e-05
"RRAS2","RRAS2",3,2.43268202990954e-06,380,"0.449941591257464",0.015033974944841
"DDX27","DDX27",10,9.77746342526709e-06,373,"0.999243611503683",0.0604149465047253
"RBM39","RBM39",10,3.08450287491283e-05,373,"0.710693443429497",0.190560587612115
"WDR82","WDR82",2,6.91624198336976e-05,381,"0.999083407243818",0.42721626731275
"DCAF8L2","DCAF8L2",16,7.18957827467422e-05,367,"0.851330980610872",0.44402835424388
"SCAP","SCAP",20,8.01883174841928e-05,363,"0.409512039433261",0.49516286046489
"ATP5B","ATP5B",3,9.77382213486851e-05,380,"0.86905164691248",0.603435778606782
"ANKRD29","ANKRD29",9,0.000187239431270399,374,"0.872438168447717",1
"MMS22L","MMS22L",17,0.000229491967065967,366,"0.842181148659667",1
"RNF20","RNF20",15,0.000249959427739451,368,"0.773105270604194",1
"MED8","MED8",3,0.000304083162698679,380,"0.791946262934105",1
"TOP2A","TOP2A",9,0.000323729484626176,374,"0.915301254290146",1
"SLC2A2","SLC2A2",9,0.000336195156292685,374,"0.846604940743371",1
"CCNK","CCNK",9,0.000447297147769287,374,"0.568414484192809",1
"PDE5A","PDE5A",13,0.000585970571648145,370,"0.391840161145969",1
"UBE2D3","UBE2D3",2,0.000630568596347352,381,"0.99822189548281",1
"FCGRT","FCGRT",7,0.000649727365429247,376,"0.908450029201893",1
"DDX39B","DDX39B",6,0.000701825782710265,377,"0.89655238527122",1
"PPIL2","PPIL2",6,0.00075380847251194,377,"0.529946236847949",1
"KIF2B","KIF2B",37,0.000839963145149765,346,"0.254468203637338",1
"DLX5","DLX5",7,0.00112036233679063,376,"0.812405790486418",1
"KCTD9","KCTD9",6,0.00113565807927042,377,"0.869711218317101",1
"GLDC","GLDC",18,0.00132274071011402,365,"0.227904552107046",1
